username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0903-1-my,36.0,word,1693712212.0247557,38.0,-44.0,5.385164807134504,36.0,0.0
0903-1-my,36.0,word,1693712212.0447552,39.0,-47.0,3.1622776601683795,36.0,0.0
0903-1-my,36.0,word,1693712212.0768833,38.0,-50.0,3.1622776601683795,36.0,0.0
0903-1-my,36.0,word,1693712212.1089685,37.0,-53.0,3.1622776601683795,36.0,0.0
0903-1-my,36.0,word,1693712212.1410792,37.0,-55.0,2.0,36.0,0.0
0903-1-my,36.0,word,1693712212.1574123,37.0,-55.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.1894448,38.0,-57.0,2.23606797749979,36.0,0.0
0903-1-my,36.0,word,1693712212.221295,38.0,-57.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.2534945,60.0,-50.0,23.08679276123039,36.0,0.0
0903-1-my,36.0,word,1693712212.284839,152.0,-19.0,97.082439194738,36.0,0.0
0903-1-my,36.0,word,1693712212.3172908,273.0,22.0,127.75758294520134,36.0,0.0
0903-1-my,36.0,word,1693712212.349619,357.0,52.0,89.19641248391103,36.0,0.0
0903-1-my,36.0,word,1693712212.3817048,410.0,70.0,55.97320787662612,36.0,0.0
0903-1-my,36.0,word,1693712212.4137044,440.0,81.0,31.95309061734092,36.0,0.0
0903-1-my,36.0,word,1693712212.4295957,458.0,86.0,18.68154169226941,36.0,0.0
0903-1-my,36.0,word,1693712212.4610083,467.0,88.0,9.219544457292889,36.0,0.0
0903-1-my,36.0,word,1693712212.4931529,473.0,87.0,6.082762530298219,36.0,0.0
0903-1-my,36.0,word,1693712212.5251467,475.0,86.0,2.23606797749979,36.0,0.0
0903-1-my,36.0,word,1693712212.557533,477.0,86.0,2.0,36.0,0.0
0903-1-my,36.0,word,1693712212.5895357,479.0,86.0,2.0,36.0,0.0
0903-1-my,36.0,word,1693712212.6216383,480.0,86.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.6536283,480.0,86.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.6855807,481.0,86.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.70163,480.0,87.0,1.4142135623730951,36.0,0.0
0903-1-my,36.0,word,1693712212.7336626,481.0,87.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.765555,481.0,87.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.7974746,481.0,87.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.8287668,482.0,87.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.861356,482.0,87.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.8935068,482.0,86.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.9256558,482.0,85.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712212.956992,482.0,85.0,0.0,36.0,0.0
0903-1-my,36.0,word,1693712212.9889932,482.0,84.0,1.0,36.0,0.0
0903-1-my,36.0,word,1693712213.004991,486.0,84.0,4.0,36.0,0.0
0903-1-my,36.0,word,1693712213.0369916,492.0,83.0,6.082762530298219,36.0,0.0
0903-1-my,36.0,word,1693712213.0691605,500.0,81.0,8.246211251235321,36.0,0.0
0903-1-my,36.0,word,1693712213.1014524,507.0,79.0,7.280109889280518,36.0,0.0
0903-1-my,36.0,word,1693712213.1328769,514.0,78.0,7.071067811865476,36.0,0.0
0903-1-my,36.0,word,1693712213.1653142,518.0,77.0,4.123105625617661,36.0,0.0
0903-1-my,36.0,word,1693712213.1976988,523.0,76.0,5.0990195135927845,36.0,0.0
0903-1-my,36.0,word,1693712213.228843,527.0,75.0,4.123105625617661,36.0,0.0
0903-1-my,36.0,word,1693712213.2612357,531.0,75.0,4.0,36.0,0.0
0903-1-my,36.0,word,1693712213.2772684,534.0,74.0,3.1622776601683795,36.0,0.0
0903-1-my,36.0,word,1693712213.3093026,536.0,74.0,2.0,36.0,0.0
0903-1-my,36.0,word,1693712213.3409674,539.0,74.0,3.0,36.0,0.0
