original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
12,0903-1-my,37.0,word,1693712250.1728272,362.0,-4.999999999999979,66.40783086353596,37.0,0.0,1,0
13,0903-1-my,37.0,word,1693712250.1897118,402.0,6.00000000000002,41.48493702538308,37.0,0.0,3,0
14,0903-1-my,37.0,word,1693712250.2210412,425.0,12.999999999999998,24.04163056034261,37.0,0.0,3,0
15,0903-1-my,37.0,word,1693712250.252901,441.9999999999999,19.00000000000003,18.027756377319943,37.0,0.0,5,0
16,0903-1-my,37.0,word,1693712250.2847872,469.00000000000006,26.0,27.892651361962702,37.0,0.0,7,0
17,0903-1-my,37.0,word,1693712250.316901,487.0,31.000000000000025,18.68154169226941,37.0,0.0,6,0
18,0903-1-my,37.0,word,1693712250.3491669,500.9999999999999,35.999999999999986,14.866068747318506,37.0,0.0,6,0
19,0903-1-my,37.0,word,1693712250.3813207,510.0000000000001,39.00000000000001,9.486832980505138,37.0,0.0,5,0
20,0903-1-my,37.0,word,1693712250.413558,516.0000000000001,42.0,6.708203932499369,37.0,0.0,5,0
21,0903-1-my,37.0,word,1693712250.4448545,520.0,44.99999999999999,5.0,37.0,0.0,5,0
22,0903-1-my,37.0,word,1693712250.5575402,456.0,329.0,291.1219675668602,37.0,0.0,0,4
23,0903-1-my,37.0,word,1693712250.5887313,526.0,336.00000000000006,70.34912934784623,37.0,0.0,0,4
24,0903-1-my,37.0,word,1693712250.6217294,573.0000000000001,277.99999999999994,74.65252842335616,37.0,0.0,0,3
25,0903-1-my,37.0,word,1693712250.65301,614.0000000000001,210.0,79.40403012442127,37.0,0.0,0,2
26,0903-1-my,37.0,word,1693712250.6852846,652.0,148.00000000000006,72.71863585079137,37.0,0.0,1,1
27,0903-1-my,37.0,word,1693712250.717662,681.0,108.99999999999996,48.60041152089147,37.0,0.0,5,1
28,0903-1-my,37.0,word,1693712250.7327724,698.0000000000002,88.0,27.018512172212592,37.0,0.0,8,0
29,0903-1-my,37.0,word,1693712250.76554,705.0000000000001,73.00000000000001,16.55294535724685,37.0,0.0,13,0
30,0903-1-my,37.0,word,1693712250.796971,709.0000000000001,65.00000000000001,8.94427190999916,37.0,0.0,13,0
31,0903-1-my,37.0,word,1693712250.828993,717.0,60.99999999999997,8.94427190999916,37.0,0.0,14,0
32,0903-1-my,37.0,word,1693712250.861145,732.0000000000001,61.000000000000014,15.0,37.0,0.0,14,0
33,0903-1-my,37.0,word,1693712250.8932626,742.0,61.00000000000001,10.0,37.0,0.0,14,0
34,0903-1-my,37.0,word,1693712250.9255335,749.9999999999999,60.999999999999964,8.0,37.0,0.0,15,0
35,0903-1-my,37.0,word,1693712250.9575195,755.0,61.0,5.0,37.0,0.0,15,0
36,0903-1-my,37.0,word,1693712250.9894383,759.0,61.0,4.0,37.0,0.0,14,0
