original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
10,0903-1-my,13.0,word,1693711408.1729195,331.99999999999994,43.99999999999999,83.6719785830358,13.0,0.0,0
11,0903-1-my,13.0,word,1693711408.205031,376.99999999999994,64.00000000000001,49.24428900898052,13.0,0.0,2
12,0903-1-my,13.0,word,1693711408.2209198,403.99999999999994,79.99999999999997,31.38470965295043,13.0,0.0,9
13,0903-1-my,13.0,word,1693711408.2536335,410.99999999999994,84.0,8.06225774829855,13.0,0.0,10
14,0903-1-my,13.0,word,1693711408.2850392,412.0,84.99999999999996,1.4142135623730951,13.0,0.0,9
15,0903-1-my,13.0,word,1693711408.3175056,412.99999999999994,84.00000000000004,1.4142135623730951,13.0,0.0,9
16,0903-1-my,13.0,word,1693711408.3496196,412.99999999999994,83.00000000000003,1.0,13.0,0.0,9
17,0903-1-my,13.0,word,1693711408.3807986,413.99999999999994,82.99999999999999,1.0,13.0,0.0,9
18,0903-1-my,13.0,word,1693711408.4129577,413.99999999999994,82.99999999999999,0.0,13.0,0.0,9
19,0903-1-my,13.0,word,1693711408.4450698,414.9999999999999,83.00000000000001,1.0,13.0,0.0,9
20,0903-1-my,13.0,word,1693711408.4769578,429.0,80.99999999999999,14.142135623730953,13.0,0.0,10
21,0903-1-my,13.0,word,1693711408.4929583,446.0,78.99999999999997,17.11724276862369,13.0,0.0,11
22,0903-1-my,13.0,word,1693711408.5249572,461.9999999999999,79.99999999999997,16.0312195418814,13.0,0.0,6
23,0903-1-my,13.0,word,1693711408.5570216,473.99999999999994,79.00000000000001,12.041594578792296,13.0,0.0,7
24,0903-1-my,13.0,word,1693711408.589418,484.99999999999994,78.00000000000001,11.04536101718726,13.0,0.0,7
25,0903-1-my,13.0,word,1693711408.6208937,492.9999999999999,78.0,8.0,13.0,0.0,7
26,0903-1-my,13.0,word,1693711408.6528926,499.0,78.00000000000003,6.0,13.0,0.0,7
27,0903-1-my,13.0,word,1693711408.6850102,502.99999999999994,76.99999999999996,4.123105625617661,13.0,0.0,6
28,0903-1-my,13.0,word,1693711408.7168944,509.9999999999999,75.99999999999999,7.071067811865476,13.0,0.0,7
