,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-1-my,17.0,word,1693711560.1990743,35.0,-114.0,0.0,17.0,0.0
1,0903-1-my,17.0,word,1693711560.2369063,35.0,-114.0,0.0,17.0,0.0
2,0903-1-my,17.0,word,1693711560.268893,35.0,-114.0,0.0,17.0,0.0
3,0903-1-my,17.0,word,1693711560.2852004,35.0,-114.0,0.0,17.0,0.0
4,0903-1-my,17.0,word,1693711560.3172731,35.0,-114.0,0.0,17.0,0.0
5,0903-1-my,17.0,word,1693711560.349508,35.0,-114.0,0.0,17.0,0.0
6,0903-1-my,17.0,word,1693711560.380888,36.0,-114.0,1.0,17.0,0.0
7,0903-1-my,17.0,word,1693711560.413013,96.0,-87.0,65.79513659838392,17.0,0.0
8,0903-1-my,17.0,word,1693711560.4453197,223.0,-28.0,140.03570973148243,17.0,0.0
9,0903-1-my,17.0,word,1693711560.4767559,322.0,17.0,108.74741376235114,17.0,0.0
10,0903-1-my,17.0,word,1693711560.5088072,381.0,44.0,64.88451279003334,17.0,0.0
11,0903-1-my,17.0,word,1693711560.5411716,417.0,61.0,39.81205847478876,17.0,0.0
12,0903-1-my,17.0,word,1693711560.5572963,419.0,60.0,2.23606797749979,17.0,0.0
13,0903-1-my,17.0,word,1693711560.5894096,418.0,58.0,2.23606797749979,17.0,0.0
14,0903-1-my,17.0,word,1693711560.6216223,417.0,57.0,1.4142135623730951,17.0,0.0
15,0903-1-my,17.0,word,1693711560.6527896,416.0,58.0,1.4142135623730951,17.0,0.0
16,0903-1-my,17.0,word,1693711560.684964,416.0,59.0,1.0,17.0,0.0
17,0903-1-my,17.0,word,1693711560.7170682,415.0,60.0,1.4142135623730951,17.0,0.0
18,0903-1-my,17.0,word,1693711560.7495384,414.0,61.0,1.4142135623730951,17.0,0.0
19,0903-1-my,17.0,word,1693711560.781013,415.0,61.0,1.0,17.0,0.0
20,0903-1-my,17.0,word,1693711560.8130145,416.0,62.0,1.4142135623730951,17.0,0.0
21,0903-1-my,17.0,word,1693711560.8290138,415.0,63.0,1.4142135623730951,17.0,0.0
22,0903-1-my,17.0,word,1693711560.8611608,416.0,64.0,1.4142135623730951,17.0,0.0
23,0903-1-my,17.0,word,1693711560.8936656,429.0,65.0,13.038404810405298,17.0,0.0
24,0903-1-my,17.0,word,1693711560.9252641,451.0,63.0,22.090722034374522,17.0,0.0
25,0903-1-my,17.0,word,1693711560.957267,474.0,62.0,23.021728866442675,17.0,0.0
26,0903-1-my,17.0,word,1693711560.989379,494.0,62.0,20.0,17.0,0.0
27,0903-1-my,17.0,word,1693711561.0208607,510.0,62.0,16.0,17.0,0.0
28,0903-1-my,17.0,word,1693711561.0530357,523.0,62.0,13.0,17.0,0.0
29,0903-1-my,17.0,word,1693711561.0850368,532.0,62.0,9.0,17.0,0.0
30,0903-1-my,17.0,word,1693711561.1010337,540.0,63.0,8.06225774829855,17.0,0.0
31,0903-1-my,17.0,word,1693711561.1331823,546.0,64.0,6.082762530298219,17.0,0.0
32,0903-1-my,17.0,word,1693711561.1654272,550.0,64.0,4.0,17.0,0.0
33,0903-1-my,17.0,word,1693711561.1973112,554.0,65.0,4.123105625617661,17.0,0.0
34,0903-1-my,17.0,word,1693711561.228928,589.0,64.0,35.014282800023196,17.0,0.0
35,0903-1-my,17.0,word,1693711561.2612474,631.0,65.0,42.01190307520001,17.0,0.0
36,0903-1-my,17.0,word,1693711561.293396,666.0,64.0,35.014282800023196,17.0,0.0
37,0903-1-my,17.0,word,1693711561.3253648,692.0,62.0,26.076809620810597,17.0,0.0
38,0903-1-my,17.0,word,1693711561.341364,710.0,61.0,18.027756377319946,17.0,0.0
39,0903-1-my,17.0,word,1693711561.3733842,723.0,62.0,13.038404810405298,17.0,0.0
40,0903-1-my,17.0,word,1693711561.4056697,731.0,64.0,8.246211251235321,17.0,0.0
41,0903-1-my,17.0,word,1693711561.4368699,738.0,64.0,7.0,17.0,0.0
42,0903-1-my,17.0,word,1693711561.4687762,743.0,65.0,5.0990195135927845,17.0,0.0
43,0903-1-my,17.0,word,1693711561.5009193,747.0,67.0,4.47213595499958,17.0,0.0
44,0903-1-my,17.0,word,1693711561.5329206,749.0,67.0,2.0,17.0,0.0
45,0903-1-my,17.0,word,1693711561.5652206,751.0,66.0,2.23606797749979,17.0,0.0
46,0903-1-my,17.0,word,1693711561.5972157,745.0,67.0,6.082762530298219,17.0,0.0
47,0903-1-my,17.0,word,1693711561.629286,740.0,67.0,5.0,17.0,0.0
48,0903-1-my,17.0,word,1693711561.6448548,738.0,67.0,2.0,17.0,0.0
49,0903-1-my,17.0,word,1693711561.6767702,735.0,68.0,3.1622776601683795,17.0,0.0
50,0903-1-my,17.0,word,1693711561.7096536,730.0,67.0,5.0990195135927845,17.0,0.0
51,0903-1-my,17.0,word,1693711561.74143,724.0,68.0,6.082762530298219,17.0,0.0
52,0903-1-my,17.0,word,1693711561.773583,719.0,69.0,5.0990195135927845,17.0,0.0
53,0903-1-my,17.0,word,1693711561.8047554,714.0,69.0,5.0,17.0,0.0
54,0903-1-my,17.0,word,1693711561.83684,709.0,69.0,5.0,17.0,0.0
55,0903-1-my,17.0,word,1693711561.869038,705.0,71.0,4.47213595499958,17.0,0.0
56,0903-1-my,17.0,word,1693711561.8850386,701.0,72.0,4.123105625617661,17.0,0.0
57,0903-1-my,17.0,word,1693711561.9171467,696.0,72.0,5.0,17.0,0.0
58,0903-1-my,17.0,word,1693711561.9491532,690.0,73.0,6.082762530298219,17.0,0.0
59,0903-1-my,17.0,word,1693711561.9809628,685.0,73.0,5.0,17.0,0.0
60,0903-1-my,17.0,word,1693711562.013408,681.0,74.0,4.123105625617661,17.0,0.0
61,0903-1-my,17.0,word,1693711562.0447776,678.0,75.0,3.1622776601683795,17.0,0.0
62,0903-1-my,17.0,word,1693711562.0767841,675.0,76.0,3.1622776601683795,17.0,0.0
63,0903-1-my,17.0,word,1693711562.1087902,672.0,77.0,3.1622776601683795,17.0,0.0
64,0903-1-my,17.0,word,1693711562.1408467,670.0,77.0,2.0,17.0,0.0
