original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
2,0903-1-ysc,16.0,word,1693716492.0266836,331.99999999999994,214.99999999999997,57.24508712544685,12.0,0.0,1
3,0903-1-ysc,16.0,word,1693716492.058709,366.99999999999994,224.99999999999994,36.40054944640259,12.0,0.0,4
4,0903-1-ysc,16.0,word,1693716492.0900943,383.99999999999994,230.99999999999994,18.027756377319943,12.0,0.0,5
5,0903-1-ysc,16.0,word,1693716492.122934,395.0,234.0,11.40175425099138,12.0,0.0,6
6,0903-1-ysc,16.0,word,1693716492.154965,401.00000000000006,235.99999999999997,6.324555320336759,12.0,0.0,6
7,0903-1-ysc,16.0,word,1693716492.1708963,406.9999999999999,237.99999999999994,6.324555320336759,12.0,0.0,6
8,0903-1-ysc,16.0,word,1693716492.2025073,417.99999999999994,247.99999999999997,14.866068747318506,12.0,0.0,7
9,0903-1-ysc,16.0,word,1693716492.2343426,426.99999999999994,255.99999999999997,12.041594578792296,12.0,0.0,7
10,0903-1-ysc,16.0,word,1693716492.2665706,435.0000000000001,262.0,10.0,12.0,0.0,5
11,0903-1-ysc,16.0,word,1693716492.298777,441.99999999999983,266.99999999999994,8.602325267042627,12.0,0.0,4
12,0903-1-ysc,16.0,word,1693716492.330052,457.99999999999994,267.99999999999994,16.0312195418814,12.0,0.0,4
13,0903-1-ysc,16.0,word,1693716492.362645,492.99999999999994,264.99999999999994,35.12833614050059,12.0,0.0,2
14,0903-1-ysc,16.0,word,1693716492.3949804,528.0000000000001,262.0,35.12833614050059,12.0,0.0,2
15,0903-1-ysc,16.0,word,1693716492.4262805,555.0,261.99999999999983,27.0,12.0,0.0,2
16,0903-1-ysc,16.0,word,1693716492.4424205,574.0,262.0,19.0,12.0,0.0,2
17,0903-1-ysc,16.0,word,1693716492.4748144,613.0,259.99999999999994,39.05124837953327,12.0,0.0,1
18,0903-1-ysc,16.0,word,1693716492.506219,704.0,253.99999999999997,91.19758768739445,12.0,0.0,0
19,0903-1-ysc,16.0,word,1693716492.5384476,788.9999999999999,248.9999999999999,85.14693182963201,12.0,0.0,0
20,0903-1-ysc,16.0,word,1693716492.5708785,845.0000000000001,244.99999999999994,56.1426753904728,12.0,0.0,7
21,0903-1-ysc,16.0,word,1693716492.6025877,882.0,246.00000000000006,37.01351104664349,12.0,0.0,17
22,0903-1-ysc,16.0,word,1693716492.634034,902.0,246.99999999999997,20.024984394500787,12.0,0.0,15
23,0903-1-ysc,16.0,word,1693716492.6660688,913.9999999999997,246.99999999999991,12.0,12.0,0.0,14
24,0903-1-ysc,16.0,word,1693716492.6985228,930.9999999999998,244.0,17.26267650163207,12.0,0.0,14
25,0903-1-ysc,16.0,word,1693716492.7144978,960.9999999999995,241.99999999999994,30.066592756745816,12.0,0.0,17
26,0903-1-ysc,16.0,word,1693716492.7462385,984.0000000000002,240.99999999999991,23.021728866442675,12.0,0.0,20
27,0903-1-ysc,16.0,word,1693716492.7786622,1000.9999999999998,240.99999999999991,17.0,12.0,0.0,15
28,0903-1-ysc,16.0,word,1693716492.810687,1013.9999999999999,242.0,13.038404810405298,12.0,0.0,10
29,0903-1-ysc,16.0,word,1693716492.842784,1020.0,243.99999999999997,6.324555320336759,12.0,0.0,10
30,0903-1-ysc,16.0,word,1693716492.874052,1018.9999999999999,245.99999999999994,2.23606797749979,12.0,0.0,10
31,0903-1-ysc,16.0,word,1693716492.9060917,1005.0,247.99999999999997,14.142135623730953,12.0,0.0,17
32,0903-1-ysc,16.0,word,1693716492.9383564,997.0,247.99999999999991,8.0,12.0,0.0,20
33,0903-1-ysc,16.0,word,1693716492.9707935,991.9999999999999,248.0,5.0,12.0,0.0,19
34,0903-1-ysc,16.0,word,1693716492.9860933,983.0000000000002,248.0,9.0,12.0,0.0,21
35,0903-1-ysc,16.0,word,1693716493.0181167,971.0,246.99999999999991,12.041594578792296,12.0,0.0,18
36,0903-1-ysc,16.0,word,1693716493.050275,958.9999999999999,248.9999999999999,12.16552506059644,12.0,0.0,17
37,0903-1-ysc,16.0,word,1693716493.082739,793.0000000000001,299.99999999999994,173.65770930194836,12.0,0.0,2
38,0903-1-ysc,16.0,word,1693716493.1140003,875.9999999999998,323.0,86.1278120005379,12.0,0.0,6
39,0903-1-ysc,16.0,word,1693716493.1462517,861.9999999999999,324.99999999999994,14.142135623730953,12.0,0.0,6
