index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-3-gsq,4,cali,1693719547.6092064,failed,failed,2.0,16,1
0,0903-3-gsq,4,cali,1693719547.673439,1061,390,1.0,16,1
1,0903-3-gsq,4,cali,1693719547.7055454,1062,390,1.0,16,1
2,0903-3-gsq,4,cali,1693719547.7375538,1063,391,1.4142135623730951,16,1
3,0903-3-gsq,4,cali,1693719547.7696342,1064,391,1.0,16,1
4,0903-3-gsq,4,cali,1693719547.80097,1064,391,0.0,16,1
5,0903-3-gsq,4,cali,1693719547.8335679,1065,392,1.4142135623730951,16,1
6,0903-3-gsq,4,cali,1693719547.865563,1065,392,0.0,16,1
7,0903-3-gsq,4,cali,1693719547.8816009,1066,392,1.0,16,1
8,0903-3-gsq,4,cali,1693719547.9129403,1066,392,0.0,16,1
9,0903-3-gsq,4,cali,1693719547.9448888,1067,391,1.4142135623730951,16,1
10,0903-3-gsq,4,cali,1693719547.9778643,1068,391,1.0,16,1
11,0903-3-gsq,4,cali,1693719548.009143,1068,391,0.0,16,1
12,0903-3-gsq,4,cali,1693719548.0412917,1069,392,1.4142135623730951,16,1
13,0903-3-gsq,4,cali,1693719548.073263,1069,391,1.0,16,1
14,0903-3-gsq,4,cali,1693719548.1054251,1070,391,1.0,16,1
15,0903-3-gsq,4,cali,1693719548.1374454,1070,391,0.0,16,1
16,0903-3-gsq,4,cali,1693719548.1534636,1070,390,1.0,16,1
17,0903-3-gsq,4,cali,1693719548.1855059,1070,390,0.0,16,1
18,0903-3-gsq,4,cali,1693719548.2175708,1071,390,1.0,16,1
19,0903-3-gsq,4,cali,1693719548.2489774,1071,390,0.0,16,1
20,0903-3-gsq,4,cali,1693719548.281174,1071,390,0.0,16,1
21,0903-3-gsq,4,cali,1693719548.3137019,1071,389,1.0,16,1
22,0903-3-gsq,4,cali,1693719548.3459277,1071,389,0.0,16,1
23,0903-3-gsq,4,cali,1693719548.376905,1072,389,1.0,16,1
24,0903-3-gsq,4,cali,1693719548.4092364,1072,389,0.0,16,1
25,0903-3-gsq,4,cali,1693719548.4263256,1072,389,0.0,16,1
26,0903-3-gsq,4,cali,1693719548.4574294,1072,389,0.0,16,1
27,0903-3-gsq,4,cali,1693719548.4894986,1072,389,0.0,16,1
28,0903-3-gsq,4,cali,1693719548.521535,1072,388,1.0,16,1
29,0903-3-gsq,4,cali,1693719548.553588,1072,389,1.0,16,1
30,0903-3-gsq,4,cali,1693719548.58567,1072,389,0.0,16,1
31,0903-3-gsq,4,cali,1693719548.6170437,1072,389,0.0,16,1
32,0903-3-gsq,4,cali,1693719548.649442,1072,389,0.0,16,1
33,0903-3-gsq,4,cali,1693719548.681548,1073,389,1.0,16,1
34,0903-3-gsq,4,cali,1693719548.697734,1073,388,1.0,16,1
35,0903-3-gsq,4,cali,1693719548.7288837,1073,388,0.0,16,1
36,0903-3-gsq,4,cali,1693719548.7616627,1073,388,0.0,16,1
0,0903-3-gsq,4,cali,1693719549.3369277,failed,failed,2.0,4,3
0,0903-3-gsq,4,cali,1693719549.4012225,583,503,2.8284271247461903,4,3
1,0903-3-gsq,4,cali,1693719549.4337125,582,504,1.4142135623730951,4,3
2,0903-3-gsq,4,cali,1693719549.4657915,581,505,1.4142135623730951,4,3
3,0903-3-gsq,4,cali,1693719549.4976764,581,505,0.0,4,3
4,0903-3-gsq,4,cali,1693719549.5138366,580,505,1.0,4,3
5,0903-3-gsq,4,cali,1693719549.5448775,580,506,1.0,4,3
6,0903-3-gsq,4,cali,1693719549.5770223,580,506,0.0,4,3
7,0903-3-gsq,4,cali,1693719549.6091356,579,507,1.4142135623730951,4,3
8,0903-3-gsq,4,cali,1693719549.6410506,579,507,0.0,4,3
9,0903-3-gsq,4,cali,1693719549.673694,579,507,0.0,4,3
10,0903-3-gsq,4,cali,1693719549.7057312,579,507,0.0,4,3
11,0903-3-gsq,4,cali,1693719549.7375486,579,507,0.0,4,3
12,0903-3-gsq,4,cali,1693719549.7688608,579,507,0.0,4,3
13,0903-3-gsq,4,cali,1693719549.785298,579,508,1.0,4,3
14,0903-3-gsq,4,cali,1693719549.8177133,579,508,0.0,4,3
15,0903-3-gsq,4,cali,1693719549.8490403,578,508,1.0,4,3
16,0903-3-gsq,4,cali,1693719549.8812823,579,507,1.4142135623730951,4,3
17,0903-3-gsq,4,cali,1693719549.9128907,579,507,0.0,4,3
18,0903-3-gsq,4,cali,1693719549.9448931,579,506,1.0,4,3
19,0903-3-gsq,4,cali,1693719549.9770763,578,506,1.0,4,3
20,0903-3-gsq,4,cali,1693719550.0096436,579,506,1.0,4,3
21,0903-3-gsq,4,cali,1693719550.0258007,579,505,1.0,4,3
22,0903-3-gsq,4,cali,1693719550.057159,579,505,0.0,4,3
