original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0903-3-gsq,1.0,word,1693719336.8656058,669.0000000000001,365.0,31.38470965295043,1.0,0.0,5,1
1,0903-3-gsq,1.0,word,1693719336.873719,681.9999999999999,371.0,14.317821063276352,1.0,0.0,12,1
2,0903-3-gsq,1.0,word,1693719336.8890018,688.9999999999999,376.0,8.602325267042627,1.0,0.0,12,1
3,0903-3-gsq,1.0,word,1693719336.9216137,698.0,380.00000000000006,9.848857801796104,1.0,0.0,12,1
4,0903-3-gsq,1.0,word,1693719336.9537325,708.0000000000001,384.00000000000006,10.770329614269007,1.0,0.0,11,1
5,0903-3-gsq,1.0,word,1693719336.984944,718.0000000000001,389.0,11.180339887498947,1.0,0.0,11,1
6,0903-3-gsq,1.0,word,1693719337.0172837,727.0000000000001,394.00000000000006,10.295630140987,1.0,0.0,10,1
7,0903-3-gsq,1.0,word,1693719337.049592,735.0,397.9999999999999,8.94427190999916,1.0,0.0,9,1
8,0903-3-gsq,1.0,word,1693719337.0655663,733.0,397.0,2.23606797749979,1.0,0.0,9,1
9,0903-3-gsq,1.0,word,1693719337.0977187,720.9999999999999,393.0,12.649110640673518,1.0,0.0,11,1
10,0903-3-gsq,1.0,word,1693719337.129354,703.0,385.0,19.697715603592208,1.0,0.0,12,1
11,0903-3-gsq,1.0,word,1693719337.161765,673.9999999999999,372.0,31.78049716414141,1.0,0.0,3,1
12,0903-3-gsq,1.0,word,1693719337.1937628,647.0,362.0,28.792360097775937,1.0,0.0,2,0
13,0903-3-gsq,1.0,word,1693719337.2252817,558.9999999999999,312.0,101.21264743103995,1.0,0.0,0,0
17,0903-3-gsq,1.0,word,1693719337.369778,594.0,489.0,273.7754554374808,1.0,0.0,0,3
18,0903-3-gsq,1.0,word,1693719337.4009142,531.0,405.0,105.0,1.0,0.0,5,1
19,0903-3-gsq,1.0,word,1693719337.4331872,516.0,374.9999999999999,33.54101966249684,1.0,0.0,15,1
20,0903-3-gsq,1.0,word,1693719337.465396,511.0,359.99999999999994,15.811388300841896,1.0,0.0,15,0
21,0903-3-gsq,1.0,word,1693719337.4973717,507.0,349.0,11.704699910719626,1.0,0.0,15,0
22,0903-3-gsq,1.0,word,1693719337.5290809,506.0,347.00000000000006,2.23606797749979,1.0,0.0,15,0
23,0903-3-gsq,1.0,word,1693719337.5612483,507.0,347.0,1.0,1.0,0.0,15,0
