username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0903-4-lcr,19.0,word,1693724406.9585989,74.0,65.0,0.0,17.0,0.0
0903-4-lcr,19.0,word,1693724406.9768796,74.0,65.0,0.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.0091867,74.0,64.0,1.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.0414858,73.0,62.0,2.23606797749979,17.0,0.0
0903-4-lcr,19.0,word,1693724407.0728278,72.0,60.0,2.23606797749979,17.0,0.0
0903-4-lcr,19.0,word,1693724407.088747,69.0,58.0,3.605551275463989,17.0,0.0
0903-4-lcr,19.0,word,1693724407.1210077,78.0,61.0,9.486832980505138,17.0,0.0
0903-4-lcr,19.0,word,1693724407.1527734,162.0,89.0,88.54377448471462,17.0,0.0
0903-4-lcr,19.0,word,1693724407.1846666,306.0,135.0,151.16877984557524,17.0,0.0
0903-4-lcr,19.0,word,1693724407.2166855,418.0,176.0,119.26860441876563,17.0,0.0
0903-4-lcr,19.0,word,1693724407.2493606,481.0,199.0,67.06713054842886,17.0,0.0
0903-4-lcr,19.0,word,1693724407.281411,470.0,201.0,11.180339887498947,17.0,0.0
0903-4-lcr,19.0,word,1693724407.313395,458.0,202.0,12.041594578792296,17.0,0.0
0903-4-lcr,19.0,word,1693724407.3454585,450.0,204.0,8.246211251235321,17.0,0.0
0903-4-lcr,19.0,word,1693724407.3613846,446.0,204.0,4.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.3928285,445.0,205.0,1.4142135623730951,17.0,0.0
0903-4-lcr,19.0,word,1693724407.4252112,443.0,205.0,2.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.4572735,442.0,205.0,1.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.489463,442.0,205.0,0.0,17.0,0.0
0903-4-lcr,19.0,word,1693724407.5210426,456.0,204.0,14.0356688476182,17.0,0.0
0903-4-lcr,19.0,word,1693724407.5526445,482.0,203.0,26.019223662515376,17.0,0.0
0903-4-lcr,19.0,word,1693724407.584673,504.0,202.0,22.02271554554524,17.0,0.0
0903-4-lcr,19.0,word,1693724407.6174324,525.0,201.0,21.02379604162864,17.0,0.0
0903-4-lcr,19.0,word,1693724407.6334789,542.0,203.0,17.11724276862369,17.0,0.0
0903-4-lcr,19.0,word,1693724407.6646495,556.0,205.0,14.142135623730953,17.0,0.0
0903-4-lcr,19.0,word,1693724407.697117,592.0,204.0,36.013886210738214,17.0,0.0
0903-4-lcr,19.0,word,1693724407.7292442,625.0,203.0,33.015148038438355,17.0,0.0
0903-4-lcr,19.0,word,1693724407.7614431,652.0,204.0,27.018512172212592,17.0,0.0
0903-4-lcr,19.0,word,1693724407.7928436,670.0,206.0,18.110770276274835,17.0,0.0
0903-4-lcr,19.0,word,1693724407.8248775,682.0,209.0,12.36931687685298,17.0,0.0
0903-4-lcr,19.0,word,1693724407.8570485,691.0,211.0,9.219544457292889,17.0,0.0
0903-4-lcr,19.0,word,1693724407.8892255,698.0,214.0,7.615773105863909,17.0,0.0
0903-4-lcr,19.0,word,1693724407.9051502,698.0,217.0,3.0,17.0,0.0
