,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-4-lcr,24.0,word,1693724717.9346366,44.0,19.0,2.8284271247461903,28.0,0.0
1,0903-4-lcr,24.0,word,1693724717.9526522,42.0,17.0,2.8284271247461903,28.0,0.0
2,0903-4-lcr,24.0,word,1693724717.984755,40.0,14.0,3.605551275463989,28.0,0.0
3,0903-4-lcr,24.0,word,1693724718.0167542,38.0,13.0,2.23606797749979,28.0,0.0
4,0903-4-lcr,24.0,word,1693724718.0486734,36.0,11.0,2.8284271247461903,28.0,0.0
5,0903-4-lcr,24.0,word,1693724718.0808568,34.0,10.0,2.23606797749979,28.0,0.0
6,0903-4-lcr,24.0,word,1693724718.113299,65.0,19.0,32.28002478313795,28.0,0.0
7,0903-4-lcr,24.0,word,1693724718.1454303,208.0,66.0,150.5257453062432,28.0,0.0
8,0903-4-lcr,24.0,word,1693724718.1774597,369.0,119.0,169.49926253526885,28.0,0.0
9,0903-4-lcr,24.0,word,1693724718.192915,473.0,156.0,110.38568747804219,28.0,0.0
10,0903-4-lcr,24.0,word,1693724718.2254562,484.0,158.0,11.180339887498949,28.0,0.0
11,0903-4-lcr,24.0,word,1693724718.2574677,481.0,156.0,3.605551275463989,28.0,0.0
12,0903-4-lcr,24.0,word,1693724718.2888627,481.0,156.0,0.0,28.0,0.0
13,0903-4-lcr,24.0,word,1693724718.321998,481.0,157.0,1.0,28.0,0.0
14,0903-4-lcr,24.0,word,1693724718.3532808,482.0,158.0,1.4142135623730951,28.0,0.0
15,0903-4-lcr,24.0,word,1693724718.3846908,483.0,159.0,1.4142135623730951,28.0,0.0
16,0903-4-lcr,24.0,word,1693724718.4171462,485.0,163.0,4.47213595499958,28.0,0.0
17,0903-4-lcr,24.0,word,1693724718.4493577,482.0,165.0,3.605551275463989,28.0,0.0
18,0903-4-lcr,24.0,word,1693724718.464681,479.0,166.0,3.1622776601683795,28.0,0.0
19,0903-4-lcr,24.0,word,1693724718.497317,477.0,168.0,2.8284271247461903,28.0,0.0
20,0903-4-lcr,24.0,word,1693724718.5286574,476.0,169.0,1.4142135623730951,28.0,0.0
21,0903-4-lcr,24.0,word,1693724718.5611038,476.0,171.0,2.0,28.0,0.0
22,0903-4-lcr,24.0,word,1693724718.5927198,475.0,172.0,1.4142135623730951,28.0,0.0
23,0903-4-lcr,24.0,word,1693724718.6250734,475.0,173.0,1.0,28.0,0.0
24,0903-4-lcr,24.0,word,1693724718.657553,475.0,175.0,2.0,28.0,0.0
25,0903-4-lcr,24.0,word,1693724718.688829,475.0,177.0,2.0,28.0,0.0
26,0903-4-lcr,24.0,word,1693724718.7208219,476.0,179.0,2.23606797749979,28.0,0.0
27,0903-4-lcr,24.0,word,1693724718.7367969,483.0,182.0,7.615773105863909,28.0,0.0
28,0903-4-lcr,24.0,word,1693724718.770498,492.0,185.0,9.486832980505138,28.0,0.0
29,0903-4-lcr,24.0,word,1693724718.8024838,499.0,188.0,7.615773105863909,28.0,0.0
30,0903-4-lcr,24.0,word,1693724718.832912,506.0,191.0,7.615773105863909,28.0,0.0
31,0903-4-lcr,24.0,word,1693724718.8651233,511.0,193.0,5.385164807134504,28.0,0.0
