index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-5-cx,4,cali,1693727993.4933395,failed,failed,1.4142135623730951,17,0
0,0903-5-cx,4,cali,1693727993.5564983,1119,210,1.0,17,0
1,0903-5-cx,4,cali,1693727993.6056812,1115,212,2.23606797749979,17,0
2,0903-5-cx,4,cali,1693727993.6369119,1114,213,1.4142135623730951,17,0
3,0903-5-cx,4,cali,1693727993.6691167,1113,213,1.0,17,0
4,0903-5-cx,4,cali,1693727993.7002804,1112,213,1.0,17,0
5,0903-5-cx,4,cali,1693727993.732281,1112,214,1.0,17,0
6,0903-5-cx,4,cali,1693727993.7655947,1112,214,0.0,17,0
7,0903-5-cx,4,cali,1693727993.7970717,1111,214,1.0,17,0
8,0903-5-cx,4,cali,1693727993.8283927,1111,214,0.0,17,0
9,0903-5-cx,4,cali,1693727993.8444011,1111,215,1.0,17,0
10,0903-5-cx,4,cali,1693727993.8768609,1111,215,0.0,17,0
11,0903-5-cx,4,cali,1693727993.909034,1111,215,0.0,17,0
12,0903-5-cx,4,cali,1693727993.9404857,1111,215,0.0,17,0
13,0903-5-cx,4,cali,1693727993.9726195,1111,216,1.0,17,0
14,0903-5-cx,4,cali,1693727994.0048478,1111,216,0.0,17,0
15,0903-5-cx,4,cali,1693727994.0371566,1111,216,0.0,17,0
16,0903-5-cx,4,cali,1693727994.0690393,1111,216,0.0,17,0
17,0903-5-cx,4,cali,1693727994.101195,1110,217,1.4142135623730951,17,0
18,0903-5-cx,4,cali,1693727994.117206,1110,217,0.0,17,0
19,0903-5-cx,4,cali,1693727994.1483657,1110,217,0.0,17,0
20,0903-5-cx,4,cali,1693727994.1805816,1110,217,0.0,17,0
21,0903-5-cx,4,cali,1693727994.2128115,1110,218,1.0,17,0
22,0903-5-cx,4,cali,1693727994.2449474,1110,217,1.0,17,0
23,0903-5-cx,4,cali,1693727994.2772703,1110,217,0.0,17,0
24,0903-5-cx,4,cali,1693727994.3092499,1110,218,1.0,17,0
25,0903-5-cx,4,cali,1693727994.340246,1110,218,0.0,17,0
26,0903-5-cx,4,cali,1693727994.3732445,1111,218,1.0,17,0
27,0903-5-cx,4,cali,1693727994.3883622,1111,218,0.0,17,0
28,0903-5-cx,4,cali,1693727994.4203596,1111,218,0.0,17,0
29,0903-5-cx,4,cali,1693727994.4526126,1111,219,1.0,17,0
30,0903-5-cx,4,cali,1693727994.4847286,1111,219,0.0,17,0
31,0903-5-cx,4,cali,1693727994.5169976,1111,218,1.0,17,0
32,0903-5-cx,4,cali,1693727994.549005,1112,219,1.4142135623730951,17,0
33,0903-5-cx,4,cali,1693727994.5804532,1112,218,1.0,17,0
34,0903-5-cx,4,cali,1693727994.6125052,1112,218,0.0,17,0
35,0903-5-cx,4,cali,1693727994.6453476,1113,218,1.0,17,0
36,0903-5-cx,4,cali,1693727994.6614904,1113,218,0.0,17,0
