original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
9,0903-5-cx,4.0,word,1693728051.9089243,419.0,197.0,127.88275880665071,4.0,0.0,0
10,0903-5-cx,4.0,word,1693728051.9409482,545.0,231.0,130.50670480860362,4.0,0.0,1
11,0903-5-cx,4.0,word,1693728051.973224,628.9999999999999,254.0,87.09190547921202,4.0,0.0,14
12,0903-5-cx,4.0,word,1693728052.004683,679.0,268.00000000000006,51.92301994298868,4.0,0.0,41
13,0903-5-cx,4.0,word,1693728052.0368428,705.9999999999999,277.99999999999994,28.792360097775937,4.0,0.0,24
14,0903-5-cx,4.0,word,1693728052.0688422,712.0,261.0,18.027756377319943,4.0,0.0,28
15,0903-5-cx,4.0,word,1693728052.0850272,713.9999999999999,248.99999999999991,12.16552506059644,4.0,0.0,25
16,0903-5-cx,4.0,word,1693728052.1170578,713.9999999999999,241.0,8.0,4.0,0.0,17
17,0903-5-cx,4.0,word,1693728052.149118,716.0,234.99999999999991,6.324555320336759,4.0,0.0,16
18,0903-5-cx,4.0,word,1693728052.1803331,717.0,232.0,3.1622776601683795,4.0,0.0,15
19,0903-5-cx,4.0,word,1693728052.2131956,708.9999999999998,232.0,8.0,4.0,0.0,17
20,0903-5-cx,4.0,word,1693728052.2450938,702.0,231.00000000000003,7.071067811865476,4.0,0.0,38
21,0903-5-cx,4.0,word,1693728052.2771552,698.9999999999999,231.00000000000003,3.0,4.0,0.0,42
22,0903-5-cx,4.0,word,1693728052.3091269,695.9999999999999,229.99999999999997,3.1622776601683795,4.0,0.0,44
23,0903-5-cx,4.0,word,1693728052.340252,690.9999999999999,228.99999999999997,5.0990195135927845,4.0,0.0,49
24,0903-5-cx,4.0,word,1693728052.357169,685.9999999999999,229.0,5.0,4.0,0.0,52
25,0903-5-cx,4.0,word,1693728052.3892076,679.9999999999999,228.99999999999991,6.0,4.0,0.0,53
26,0903-5-cx,4.0,word,1693728052.420355,674.9999999999998,227.99999999999997,5.0990195135927845,4.0,0.0,46
