index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-6-hyf,4,cali,1693732263.595617,failed,failed,2.8284271247461903,2,3
0,0903-6-hyf,4,cali,1693732263.6595855,451,387,2.0,2,3
1,0903-6-hyf,4,cali,1693732263.675572,450,386,1.4142135623730951,2,3
2,0903-6-hyf,4,cali,1693732263.7077382,449,385,1.4142135623730951,2,3
3,0903-6-hyf,4,cali,1693732263.7390633,448,384,1.4142135623730951,2,3
4,0903-6-hyf,4,cali,1693732263.771213,447,384,1.0,2,3
5,0903-6-hyf,4,cali,1693732263.8032134,446,383,1.4142135623730951,2,3
6,0903-6-hyf,4,cali,1693732263.8353825,445,382,1.4142135623730951,2,3
7,0903-6-hyf,4,cali,1693732263.8675492,444,380,2.23606797749979,2,3
8,0903-6-hyf,4,cali,1693732263.9000006,442,379,2.23606797749979,2,3
9,0903-6-hyf,4,cali,1693732263.9320016,441,377,2.23606797749979,2,3
10,0903-6-hyf,4,cali,1693732263.9480014,441,375,2.0,2,3
11,0903-6-hyf,4,cali,1693732263.9800143,441,374,1.0,2,3
12,0903-6-hyf,4,cali,1693732264.0112035,440,373,1.4142135623730951,2,3
13,0903-6-hyf,4,cali,1693732264.043755,440,372,1.0,2,3
14,0903-6-hyf,4,cali,1693732264.07526,440,372,0.0,2,3
15,0903-6-hyf,4,cali,1693732264.107453,439,371,1.4142135623730951,2,3
16,0903-6-hyf,4,cali,1693732264.1390643,439,370,1.0,2,3
17,0903-6-hyf,4,cali,1693732264.1710403,439,369,1.0,2,3
18,0903-6-hyf,4,cali,1693732264.2036355,439,369,0.0,2,3
19,0903-6-hyf,4,cali,1693732264.2197943,438,368,1.4142135623730951,2,3
20,0903-6-hyf,4,cali,1693732264.2521112,438,368,0.0,2,3
21,0903-6-hyf,4,cali,1693732264.2836552,438,367,1.0,2,3
22,0903-6-hyf,4,cali,1693732264.3158023,438,366,1.0,2,3
23,0903-6-hyf,4,cali,1693732264.3476558,438,366,0.0,2,3
24,0903-6-hyf,4,cali,1693732264.379964,438,366,0.0,2,3
