username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0903-6-hyf,22.0,word,1693733363.6290205,55.0,29.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.6592698,55.0,29.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.675167,55.0,29.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.7076273,55.0,30.0,1.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.7396278,55.0,30.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.7718058,55.0,30.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.80398,55.0,30.0,0.0,19.0,0.0
0903-6-hyf,22.0,word,1693733363.8359468,88.0,41.0,34.785054261852174,19.0,0.0
0903-6-hyf,22.0,word,1693733363.8674183,199.0,76.0,116.3872845288522,19.0,0.0
0903-6-hyf,22.0,word,1693733363.8997445,313.0,113.0,119.85407794480751,19.0,0.0
0903-6-hyf,22.0,word,1693733363.9310648,390.0,142.0,82.28000972289685,19.0,0.0
0903-6-hyf,22.0,word,1693733363.9472206,436.0,157.0,48.38388161361178,19.0,0.0
0903-6-hyf,22.0,word,1693733363.9798195,464.0,166.0,29.410882339705484,19.0,0.0
0903-6-hyf,22.0,word,1693733364.011745,480.0,172.0,17.08800749063506,19.0,0.0
0903-6-hyf,22.0,word,1693733364.0439534,489.0,175.0,9.486832980505138,19.0,0.0
0903-6-hyf,22.0,word,1693733364.075106,495.0,178.0,6.708203932499369,19.0,0.0
0903-6-hyf,22.0,word,1693733364.1075356,502.0,179.0,7.071067811865476,19.0,0.0
0903-6-hyf,22.0,word,1693733364.1394868,567.0,175.0,65.12296062065974,19.0,0.0
0903-6-hyf,22.0,word,1693733364.1716585,636.0,168.0,69.35416353759881,19.0,0.0
0903-6-hyf,22.0,word,1693733364.20311,686.0,165.0,50.08991914547278,19.0,0.0
0903-6-hyf,22.0,word,1693733364.2194176,717.0,164.0,31.016124838541646,19.0,0.0
0903-6-hyf,22.0,word,1693733364.251135,738.0,163.0,21.02379604162864,19.0,0.0
0903-6-hyf,22.0,word,1693733364.283045,752.0,163.0,14.0,19.0,0.0
0903-6-hyf,22.0,word,1693733364.3150492,789.0,160.0,37.12142238654117,19.0,0.0
0903-6-hyf,22.0,word,1693733364.347598,846.0,157.0,57.07889277132134,19.0,0.0
0903-6-hyf,22.0,word,1693733364.3798523,890.0,154.0,44.10215414239989,19.0,0.0
0903-6-hyf,22.0,word,1693733364.4113014,917.0,152.0,27.073972741361768,19.0,0.0
0903-6-hyf,22.0,word,1693733364.443517,935.0,151.0,18.027756377319943,19.0,0.0
0903-6-hyf,22.0,word,1693733364.4756958,947.0,150.0,12.041594578792296,19.0,0.0
0903-6-hyf,22.0,word,1693733364.4918203,980.0,150.0,33.0,19.0,0.0
0903-6-hyf,22.0,word,1693733364.523867,1012.0,150.0,32.0,19.0,0.0
0903-6-hyf,22.0,word,1693733364.5551257,1034.0,150.0,22.0,19.0,0.0
0903-6-hyf,22.0,word,1693733364.5874903,1048.0,151.0,14.0356688476182,19.0,0.0
0903-6-hyf,22.0,word,1693733364.6196942,1058.0,152.0,10.04987562112089,19.0,0.0
0903-6-hyf,22.0,word,1693733364.6512947,1025.0,188.0,48.83646178829912,19.0,0.0
0903-6-hyf,22.0,word,1693733364.683203,922.0,279.0,137.44089638822936,19.0,0.0
0903-6-hyf,22.0,word,1693733364.7153592,857.0,286.0,65.37583651472461,19.0,0.0
0903-6-hyf,22.0,word,1693733364.7476034,828.0,257.0,41.01219330881976,19.0,0.0
0903-6-hyf,22.0,word,1693733364.763513,809.0,236.0,28.319604517012596,19.0,0.0
0903-6-hyf,22.0,word,1693733364.7959335,796.0,224.0,17.69180601295413,19.0,0.0
0903-6-hyf,22.0,word,1693733364.827889,786.0,216.0,12.806248474865695,19.0,0.0
0903-6-hyf,22.0,word,1693733364.8599524,777.0,209.0,11.40175425099138,19.0,0.0
0903-6-hyf,22.0,word,1693733364.8918626,787.0,202.0,12.206555615733702,19.0,0.0
0903-6-hyf,22.0,word,1693733364.9248602,800.0,197.0,13.92838827718412,19.0,0.0
0903-6-hyf,22.0,word,1693733364.955876,811.0,193.0,11.704699910719626,19.0,0.0
0903-6-hyf,22.0,word,1693733364.9880023,819.0,190.0,8.54400374531753,19.0,0.0
0903-6-hyf,22.0,word,1693733365.0196192,827.0,187.0,8.54400374531753,19.0,0.0
0903-6-hyf,22.0,word,1693733365.0355072,833.0,185.0,6.324555320336759,19.0,0.0
0903-6-hyf,22.0,word,1693733365.0670977,839.0,184.0,6.082762530298219,19.0,0.0
0903-6-hyf,22.0,word,1693733365.099325,845.0,182.0,6.324555320336759,19.0,0.0
0903-6-hyf,22.0,word,1693733365.1316717,850.0,180.0,5.385164807134504,19.0,0.0
0903-6-hyf,22.0,word,1693733365.1636355,855.0,179.0,5.0990195135927845,19.0,0.0
0903-6-hyf,22.0,word,1693733365.1960278,859.0,177.0,4.47213595499958,19.0,0.0
0903-6-hyf,22.0,word,1693733365.2280104,861.0,179.0,2.8284271247461903,19.0,0.0
0903-6-hyf,22.0,word,1693733365.3400102,818.0,246.0,79.61155694998057,19.0,0.0
0903-6-hyf,22.0,word,1693733365.3712082,826.0,250.0,8.94427190999916,19.0,0.0
0903-6-hyf,22.0,word,1693733365.4048028,826.0,243.0,7.0,19.0,0.0
