,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-6-hyf,3.0,word,1693732182.1271465,40.0,-4.0,0.0,3.0,0.0
1,0903-6-hyf,3.0,word,1693732182.1598232,40.0,-4.0,0.0,3.0,0.0
2,0903-6-hyf,3.0,word,1693732182.187824,40.0,-4.0,0.0,3.0,0.0
3,0903-6-hyf,3.0,word,1693732182.2191675,39.0,-4.0,1.0,3.0,0.0
4,0903-6-hyf,3.0,word,1693732182.2511396,39.0,-4.0,0.0,3.0,0.0
5,0903-6-hyf,3.0,word,1693732182.2674205,39.0,-5.0,1.0,3.0,0.0
6,0903-6-hyf,3.0,word,1693732182.2997298,39.0,-5.0,0.0,3.0,0.0
7,0903-6-hyf,3.0,word,1693732182.3314264,38.0,-5.0,1.0,3.0,0.0
8,0903-6-hyf,3.0,word,1693732182.3637264,38.0,-4.0,1.0,3.0,0.0
9,0903-6-hyf,3.0,word,1693732182.395851,41.0,-3.0,3.1622776601683795,3.0,0.0
10,0903-6-hyf,3.0,word,1693732182.427963,127.0,26.0,90.75791976461338,3.0,0.0
11,0903-6-hyf,3.0,word,1693732182.4591532,280.0,77.0,161.27616066858735,3.0,0.0
12,0903-6-hyf,3.0,word,1693732182.4913003,393.0,118.0,120.20815280171308,3.0,0.0
13,0903-6-hyf,3.0,word,1693732182.5233727,460.0,146.0,72.61542535852834,3.0,0.0
14,0903-6-hyf,3.0,word,1693732182.5393403,497.0,162.0,40.311288741492746,3.0,0.0
15,0903-6-hyf,3.0,word,1693732182.5713658,504.0,168.0,9.219544457292887,3.0,0.0
16,0903-6-hyf,3.0,word,1693732182.6038299,496.0,171.0,8.54400374531753,3.0,0.0
17,0903-6-hyf,3.0,word,1693732182.6359844,491.0,174.0,5.830951894845301,3.0,0.0
18,0903-6-hyf,3.0,word,1693732182.6672869,489.0,177.0,3.605551275463989,3.0,0.0
19,0903-6-hyf,3.0,word,1693732182.6992035,487.0,180.0,3.605551275463989,3.0,0.0
20,0903-6-hyf,3.0,word,1693732182.7313275,486.0,182.0,2.23606797749979,3.0,0.0
21,0903-6-hyf,3.0,word,1693732182.763835,485.0,184.0,2.23606797749979,3.0,0.0
22,0903-6-hyf,3.0,word,1693732182.7950585,485.0,186.0,2.0,3.0,0.0
23,0903-6-hyf,3.0,word,1693732182.8110735,506.0,185.0,21.02379604162864,3.0,0.0
24,0903-6-hyf,3.0,word,1693732182.8432872,534.0,183.0,28.071337695236398,3.0,0.0
25,0903-6-hyf,3.0,word,1693732182.8757248,558.0,180.0,24.186773244895647,3.0,0.0
