original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
1,0903-8-py,10.0,word,1693743160.3970728,528.0000000000002,376.00000000000006,182.0109886792553,25.0,0.0,0,0
2,0903-8-py,10.0,word,1693743160.4270542,631.0000000000001,395.0000000000001,104.7377677822093,25.0,0.0,1,0
3,0903-8-py,10.0,word,1693743160.4581995,680.0000000000001,402.00000000000006,49.49747468305833,25.0,0.0,13,0
4,0903-8-py,10.0,word,1693743160.4901898,702.0000000000002,406.0000000000001,22.36067977499789,25.0,0.0,11,0
5,0903-8-py,10.0,word,1693743160.5214026,714.0000000000001,410.00000000000006,12.649110640673518,25.0,0.0,10,0
6,0903-8-py,10.0,word,1693743160.5535505,721.0000000000001,413.00000000000006,7.615773105863909,25.0,0.0,10,0
7,0903-8-py,10.0,word,1693743160.5698678,728.0000000000001,415.0,7.280109889280518,25.0,0.0,9,0
8,0903-8-py,10.0,word,1693743160.602141,734.0000000000002,416.0,6.082762530298219,25.0,0.0,9,1
9,0903-8-py,10.0,word,1693743160.6343331,722.0,415.00000000000006,12.041594578792296,25.0,0.0,9,0
10,0903-8-py,10.0,word,1693743160.6656852,702.0000000000002,411.00000000000006,20.39607805437113,25.0,0.0,11,0
11,0903-8-py,10.0,word,1693743160.697857,693.0,411.00000000000006,9.0,25.0,0.0,11,0
12,0903-8-py,10.0,word,1693743160.7293613,677.0,409.00000000000006,16.1245154965971,25.0,0.0,13,0
13,0903-8-py,10.0,word,1693743160.7615051,658.0000000000002,408.00000000000006,19.026297590440446,25.0,0.0,7,0
14,0903-8-py,10.0,word,1693743160.7933905,639.0,406.00000000000006,19.1049731745428,25.0,0.0,18,0
15,0903-8-py,10.0,word,1693743160.8096244,623.0000000000002,404.00000000000006,16.1245154965971,25.0,0.0,14,0
16,0903-8-py,10.0,word,1693743160.8427973,610.0000000000002,403.0000000000001,13.038404810405298,25.0,0.0,12,0
17,0903-8-py,10.0,word,1693743160.8739123,600.0,400.00000000000006,10.44030650891055,25.0,0.0,12,0
18,0903-8-py,10.0,word,1693743160.9054203,591.0000000000003,397.00000000000006,9.486832980505138,25.0,0.0,11,0
19,0903-8-py,10.0,word,1693743160.9378147,591.0000000000001,396.00000000000006,1.0,25.0,0.0,11,0
20,0903-8-py,10.0,word,1693743160.9711618,596.0000000000001,394.0000000000001,5.385164807134504,25.0,0.0,12,0
21,0903-8-py,10.0,word,1693743161.0023067,599.0,393.00000000000006,3.1622776601683795,25.0,0.0,12,0
22,0903-8-py,10.0,word,1693743161.033725,600.0000000000001,393.0000000000001,1.0,25.0,0.0,12,0
23,0903-8-py,10.0,word,1693743161.066883,600.0000000000002,392.00000000000017,1.0,25.0,0.0,12,0
24,0903-8-py,10.0,word,1693743161.081869,601.0,392.0,1.0,25.0,0.0,12,0
25,0903-8-py,10.0,word,1693743161.1142972,602.0000000000001,389.00000000000006,3.1622776601683795,25.0,0.0,12,0
26,0903-8-py,10.0,word,1693743161.3059306,681.0000000000001,430.0000000000001,89.00561780022652,25.0,0.0,5,1
27,0903-8-py,10.0,word,1693743161.3380702,686.0000000000001,429.0,5.0990195135927845,25.0,0.0,5,1
28,0903-8-py,10.0,word,1693743161.3541842,696.0000000000001,420.0000000000001,13.45362404707371,25.0,0.0,6,1
29,0903-8-py,10.0,word,1693743161.38555,708.0000000000002,408.00000000000006,16.97056274847714,25.0,0.0,6,0
30,0903-8-py,10.0,word,1693743161.4176652,718.0,402.0000000000001,11.6619037896906,25.0,0.0,6,0
31,0903-8-py,10.0,word,1693743161.4496446,726.0000000000001,398.00000000000006,8.94427190999916,25.0,0.0,6,0
32,0903-8-py,10.0,word,1693743161.4821332,753.0000000000002,392.0000000000001,27.65863337187866,25.0,0.0,5,0
33,0903-8-py,10.0,word,1693743161.5133407,797.0000000000001,387.0,44.28317965096906,25.0,0.0,3,0
34,0903-8-py,10.0,word,1693743161.5464838,829.9999999999999,384.00000000000006,33.13608305156178,25.0,0.0,4,0
35,0903-8-py,10.0,word,1693743161.5786366,849.0000000000002,381.00000000000006,19.235384061671343,25.0,0.0,5,0
36,0903-8-py,10.0,word,1693743161.610636,862.0000000000002,380.00000000000006,13.038404810405298,25.0,0.0,4,0
37,0903-8-py,10.0,word,1693743161.625584,871.0000000000001,381.0,9.055385138137416,25.0,0.0,4,0
38,0903-8-py,10.0,word,1693743161.6581683,898.0000000000002,382.00000000000006,27.018512172212592,25.0,0.0,4,0
39,0903-8-py,10.0,word,1693743161.6902118,951.0000000000005,381.0,53.009433122794285,25.0,0.0,2,0
40,0903-8-py,10.0,word,1693743161.7213476,993.0000000000005,379.0000000000001,42.04759208325728,25.0,0.0,4,0
41,0903-8-py,10.0,word,1693743161.7537704,1019.0000000000002,378.0000000000001,26.019223662515376,25.0,0.0,4,0
42,0903-8-py,10.0,word,1693743161.7860322,1036.0000000000002,378.0000000000001,17.0,25.0,0.0,4,0
43,0903-8-py,10.0,word,1693743161.8174102,1047.0000000000002,378.00000000000006,11.0,25.0,0.0,5,0
44,0903-8-py,10.0,word,1693743161.8499124,1067.0000000000005,379.00000000000006,20.024984394500787,25.0,0.0,5,0
45,0903-8-py,10.0,word,1693743161.8821824,1100.0000000000002,379.0000000000001,33.0,25.0,0.0,6,0
46,0903-8-py,10.0,word,1693743161.9133637,1126.0,380.00000000000006,26.019223662515376,25.0,0.0,8,0
47,0903-8-py,10.0,word,1693743161.9296064,1140.0000000000002,381.0000000000001,14.0356688476182,25.0,0.0,9,0
48,0903-8-py,10.0,word,1693743161.9620564,1150.0,382.0,10.04987562112089,25.0,0.0,12,0
49,0903-8-py,10.0,word,1693743161.9941916,1157.0,383.0000000000001,7.071067811865476,25.0,0.0,16,0
50,0903-8-py,10.0,word,1693743162.0253978,1164.0000000000002,384.0000000000001,7.071067811865476,25.0,0.0,15,0
51,0903-8-py,10.0,word,1693743162.0575392,1172.0000000000002,385.00000000000006,8.06225774829855,25.0,0.0,15,0
52,0903-8-py,10.0,word,1693743162.0895357,1184.0,384.0000000000001,12.041594578792296,25.0,0.0,16,0
53,0903-8-py,10.0,word,1693743162.1218812,1195.0,383.00000000000006,11.04536101718726,25.0,0.0,15,0
54,0903-8-py,10.0,word,1693743162.153867,1201.0000000000002,383.00000000000006,6.0,25.0,0.0,15,0
55,0903-8-py,10.0,word,1693743162.1701355,1206.0000000000005,383.00000000000006,5.0,25.0,0.0,14,0
56,0903-8-py,10.0,word,1693743162.2020216,1210.0,383.00000000000006,4.0,25.0,0.0,14,0
57,0903-8-py,10.0,word,1693743162.2332983,1213.0,383.0,3.0,25.0,0.0,14,0
58,0903-8-py,10.0,word,1693743162.26589,1214.9999999999998,383.0,2.0,25.0,0.0,13,0
59,0903-8-py,10.0,word,1693743162.2979228,1217.0000000000002,382.0000000000001,2.23606797749979,25.0,0.0,13,0
60,0903-8-py,10.0,word,1693743162.3301888,1217.9999999999998,382.00000000000006,1.0,25.0,0.0,13,0
61,0903-8-py,10.0,word,1693743162.3613596,1220.0000000000002,382.00000000000006,2.0,25.0,0.0,13,0
