original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0903-8-py,16.0,word,1693743385.569073,749.0,409.0,0.0,31.0,0.0,5
1,0903-8-py,16.0,word,1693743385.5941856,748.0000000000002,411.00000000000006,2.23606797749979,31.0,0.0,5
2,0903-8-py,16.0,word,1693743385.626043,743.0,423.00000000000006,13.0,31.0,0.0,5
3,0903-8-py,16.0,word,1693743385.6574051,737.0,438.0,16.15549442140351,31.0,0.0,6
4,0903-8-py,16.0,word,1693743385.6735234,730.0000000000001,451.00000000000006,14.7648230602334,31.0,0.0,6
5,0903-8-py,16.0,word,1693743385.7055163,725.0000000000002,462.00000000000006,12.083045973594572,31.0,0.0,6
6,0903-8-py,16.0,word,1693743385.7376883,721.0000000000002,471.00000000000006,9.848857801796104,31.0,0.0,9
7,0903-8-py,16.0,word,1693743385.769837,719.0000000000003,477.0000000000001,6.324555320336759,31.0,0.0,8
8,0903-8-py,16.0,word,1693743385.8015862,705.0000000000002,473.00000000000006,14.560219778561036,31.0,0.0,11
9,0903-8-py,16.0,word,1693743385.8335938,677.0000000000001,462.0,30.083217912982647,31.0,0.0,4
10,0903-8-py,16.0,word,1693743385.8665855,648.0000000000001,453.00000000000006,30.364452901377952,31.0,0.0,4
11,0903-8-py,16.0,word,1693743385.8977983,627.0000000000002,445.0,22.47220505424423,31.0,0.0,5
12,0903-8-py,16.0,word,1693743385.929889,612.0000000000001,438.00000000000006,16.55294535724685,31.0,0.0,10
13,0903-8-py,16.0,word,1693743385.961917,600.0,433.00000000000006,13.0,31.0,0.0,11
14,0903-8-py,16.0,word,1693743385.9778163,589.0000000000001,428.00000000000006,12.083045973594572,31.0,0.0,12
15,0903-8-py,16.0,word,1693743386.0099308,578.0000000000001,425.0,11.40175425099138,31.0,0.0,12
16,0903-8-py,16.0,word,1693743386.0414069,568.0000000000001,423.00000000000006,10.198039027185567,31.0,0.0,9
17,0903-8-py,16.0,word,1693743386.074304,559.0,420.00000000000006,9.486832980505138,31.0,0.0,7
18,0903-8-py,16.0,word,1693743386.1057987,554.0000000000001,418.0000000000001,5.385164807134504,31.0,0.0,7
19,0903-8-py,16.0,word,1693743386.1376257,554.9999999999999,417.00000000000006,1.4142135623730951,31.0,0.0,7
20,0903-8-py,16.0,word,1693743386.1700392,571.0000000000001,414.0000000000001,16.278820596099706,31.0,0.0,8
21,0903-8-py,16.0,word,1693743386.2013588,590.0,409.0000000000001,19.6468827043885,31.0,0.0,10
22,0903-8-py,16.0,word,1693743386.2335532,612.0000000000002,404.00000000000006,22.56102834535696,31.0,0.0,7
23,0903-8-py,16.0,word,1693743386.2495246,632.0000000000002,400.00000000000006,20.39607805437113,31.0,0.0,4
24,0903-8-py,16.0,word,1693743386.2819102,648.0000000000001,396.0000000000001,16.492422502470642,31.0,0.0,3
25,0903-8-py,16.0,word,1693743386.3134212,668.0000000000001,394.00000000000006,20.09975124224178,31.0,0.0,3
26,0903-8-py,16.0,word,1693743386.3461506,747.0000000000001,387.00000000000006,79.30952023559341,31.0,0.0,4
27,0903-8-py,16.0,word,1693743386.3780508,837.0,376.0,90.6697303403953,31.0,0.0,0
28,0903-8-py,16.0,word,1693743386.4095056,889.0000000000003,367.0000000000001,52.773099207835045,31.0,0.0,2
29,0903-8-py,16.0,word,1693743386.4421086,921.0,360.00000000000006,32.7566787083184,31.0,0.0,11
30,0903-8-py,16.0,word,1693743386.473561,942.0000000000002,356.00000000000006,21.37755832643195,31.0,0.0,9
31,0903-8-py,16.0,word,1693743386.489489,954.0000000000005,354.0000000000001,12.16552506059644,31.0,0.0,9
32,0903-8-py,16.0,word,1693743386.5217896,960.0,354.00000000000006,6.0,31.0,0.0,9
33,0903-8-py,16.0,word,1693743386.5537906,956.0000000000002,358.0000000000001,5.656854249492381,31.0,0.0,9
34,0903-8-py,16.0,word,1693743386.5858765,951.0000000000002,360.00000000000017,5.385164807134504,31.0,0.0,9
35,0903-8-py,16.0,word,1693743386.617472,948.0000000000005,361.0000000000001,3.1622776601683795,31.0,0.0,9
36,0903-8-py,16.0,word,1693743386.6495607,945.0000000000002,363.00000000000006,3.605551275463989,31.0,0.0,9
37,0903-8-py,16.0,word,1693743386.682273,944.0,364.0,1.4142135623730951,31.0,0.0,9
38,0903-8-py,16.0,word,1693743386.713308,940.0000000000005,366.0,4.47213595499958,31.0,0.0,9
39,0903-8-py,16.0,word,1693743386.7293072,897.0000000000002,377.0000000000001,44.384682042344295,31.0,0.0,2
40,0903-8-py,16.0,word,1693743386.761694,783.0000000000002,404.0000000000001,117.15374513859982,31.0,0.0,3
41,0903-8-py,16.0,word,1693743386.7936883,693.0000000000001,424.00000000000006,92.19544457292888,31.0,0.0,1
42,0903-8-py,16.0,word,1693743386.8256717,636.0000000000001,438.0,58.69412236331676,31.0,0.0,6
43,0903-8-py,16.0,word,1693743386.858164,605.0000000000001,448.0000000000001,32.57299494980466,31.0,0.0,7
44,0903-8-py,16.0,word,1693743386.8894546,587.0,453.0000000000001,18.68154169226941,31.0,0.0,6
45,0903-8-py,16.0,word,1693743386.9218364,567.0000000000001,498.0000000000001,49.24428900898052,31.0,0.0,0
46,0903-8-py,16.0,word,1693743387.0978043,888.0000000000001,687.0,372.5077180408481,31.0,0.0,0
47,0903-8-py,16.0,word,1693743387.130763,907.0,596.0000000000001,92.9623579735368,31.0,0.0,2
48,0903-8-py,16.0,word,1693743387.1616695,914.0000000000005,581.0,16.55294535724685,31.0,0.0,7
49,0903-8-py,16.0,word,1693743387.1948557,922.0000000000002,562.0000000000001,20.615528128088304,31.0,0.0,8
50,0903-8-py,16.0,word,1693743387.227005,931.0,539.0,24.698178070456937,31.0,0.0,8
51,0903-8-py,16.0,word,1693743387.259005,941.0,517.0000000000001,24.166091947189145,31.0,0.0,3
52,0903-8-py,16.0,word,1693743387.290186,950.0000000000002,500.00000000000017,19.235384061671343,31.0,0.0,2
53,0903-8-py,16.0,word,1693743387.3054495,1000.0000000000002,488.00000000000006,51.419840528729765,31.0,0.0,3
54,0903-8-py,16.0,word,1693743387.3388274,1082.0000000000002,476.00000000000006,82.87339742040264,31.0,0.0,3
55,0903-8-py,16.0,word,1693743387.3698225,1136.0000000000002,468.00000000000006,54.589376255824725,31.0,0.0,2
56,0903-8-py,16.0,word,1693743387.4029708,1165.0,463.00000000000006,29.42787793912432,31.0,0.0,4
57,0903-8-py,16.0,word,1693743387.4341242,1181.0000000000002,460.00000000000006,16.278820596099706,31.0,0.0,2
58,0903-8-py,16.0,word,1693743387.4653673,1197.0000000000002,461.0000000000002,16.0312195418814,31.0,0.0,3
59,0903-8-py,16.0,word,1693743387.4983735,1228.0000000000005,460.00000000000006,31.016124838541646,31.0,0.0,2
60,0903-8-py,16.0,word,1693743387.5305858,1254.0000000000002,459.00000000000006,26.019223662515376,31.0,0.0,4
61,0903-8-py,16.0,word,1693743387.5618927,1271.0000000000002,459.00000000000006,17.0,31.0,0.0,4
62,0903-8-py,16.0,word,1693743387.577804,1282.0000000000005,460.00000000000017,11.04536101718726,31.0,0.0,5
63,0903-8-py,16.0,word,1693743387.610038,1288.0000000000005,460.0000000000001,6.0,31.0,0.0,6
64,0903-8-py,16.0,word,1693743387.6418774,1295.0000000000002,460.0,7.0,31.0,0.0,5
65,0903-8-py,16.0,word,1693743387.6749296,1314.0000000000002,461.0,19.026297590440446,31.0,0.0,6
66,0903-8-py,16.0,word,1693743387.7061908,1335.0000000000005,461.00000000000006,21.0,31.0,0.0,5
67,0903-8-py,16.0,word,1693743387.7382317,1352.0000000000002,460.0000000000001,17.029386365926403,31.0,0.0,6
68,0903-8-py,16.0,word,1693743387.7696702,1360.0,460.00000000000006,8.0,31.0,0.0,5
69,0903-8-py,16.0,word,1693743387.8017871,1368.0000000000005,460.0000000000001,8.0,31.0,0.0,5
70,0903-8-py,16.0,word,1693743387.8346877,1381.0000000000002,460.00000000000006,13.0,31.0,0.0,5
71,0903-8-py,16.0,word,1693743387.8496776,1402.0000000000002,461.00000000000006,21.02379604162864,31.0,0.0,5
72,0903-8-py,16.0,word,1693743387.8812895,1417.0,462.0000000000001,15.033296378372908,31.0,0.0,9
73,0903-8-py,16.0,word,1693743387.9134018,1428.0000000000002,463.0,11.04536101718726,31.0,0.0,8
74,0903-8-py,16.0,word,1693743387.9453976,1437.0000000000002,463.00000000000006,9.0,31.0,0.0,8
75,0903-8-py,16.0,word,1693743387.9787571,1442.0000000000005,464.0000000000001,5.0990195135927845,31.0,0.0,7
76,0903-8-py,16.0,word,1693743388.0100214,1447.0,463.00000000000006,5.0990195135927845,31.0,0.0,7
77,0903-8-py,16.0,word,1693743388.042155,1451.0000000000002,463.00000000000006,4.0,31.0,0.0,7
78,0903-8-py,16.0,word,1693743388.0737789,1451.0000000000002,463.00000000000006,0.0,31.0,0.0,7
79,0903-8-py,16.0,word,1693743388.089792,1442.0000000000002,463.00000000000006,9.0,31.0,0.0,7
80,0903-8-py,16.0,word,1693743388.1229763,1324.0000000000002,466.00000000000006,118.03812943282352,31.0,0.0,6
81,0903-8-py,16.0,word,1693743388.1538446,1019.0000000000005,481.0000000000002,305.3686296920494,31.0,0.0,3
