index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-9-wxy,4,cali,1693747689.8274665,failed,failed,2.0,17,3
0,0903-9-wxy,4,cali,1693747689.9552042,1114,402,2.23606797749979,17,3
1,0903-9-wxy,4,cali,1693747689.9873905,1114,400,2.0,17,3
2,0903-9-wxy,4,cali,1693747690.0193913,1114,399,1.0,17,3
3,0903-9-wxy,4,cali,1693747690.0355694,1115,398,1.4142135623730951,17,3
4,0903-9-wxy,4,cali,1693747690.0679495,1115,398,0.0,17,3
5,0903-9-wxy,4,cali,1693747690.0996826,1115,397,1.0,17,3
6,0903-9-wxy,4,cali,1693747690.1317508,1115,396,1.0,17,3
7,0903-9-wxy,4,cali,1693747690.1636362,1115,396,0.0,17,3
8,0903-9-wxy,4,cali,1693747690.195308,1116,396,1.0,17,3
9,0903-9-wxy,4,cali,1693747690.2274997,1116,395,1.0,17,3
10,0903-9-wxy,4,cali,1693747690.259871,1116,395,0.0,17,3
11,0903-9-wxy,4,cali,1693747690.291162,1116,395,0.0,17,3
12,0903-9-wxy,4,cali,1693747690.3071365,1116,395,0.0,17,3
13,0903-9-wxy,4,cali,1693747690.339535,1116,395,0.0,17,3
14,0903-9-wxy,4,cali,1693747690.371749,1116,396,1.0,17,3
15,0903-9-wxy,4,cali,1693747690.4039123,1116,396,0.0,17,3
16,0903-9-wxy,4,cali,1693747690.4358773,1117,396,1.0,17,3
17,0903-9-wxy,4,cali,1693747690.4672513,1116,396,1.0,17,3
18,0903-9-wxy,4,cali,1693747690.4992769,1116,396,0.0,17,3
19,0903-9-wxy,4,cali,1693747690.5316727,1116,395,1.0,17,3
20,0903-9-wxy,4,cali,1693747690.5637321,1117,395,1.0,17,3
21,0903-9-wxy,4,cali,1693747690.5798426,1117,395,0.0,17,3
22,0903-9-wxy,4,cali,1693747690.6117616,1117,394,1.0,17,3
23,0903-9-wxy,4,cali,1693747690.643854,1117,394,0.0,17,3
24,0903-9-wxy,4,cali,1693747690.6753526,1117,393,1.0,17,3
