original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0903-9-wxy,17.0,word,1693748405.382648,685.0,279.99999999999994,0.0,23.0,0.0,9,2
1,0903-9-wxy,17.0,word,1693748405.4119968,686.0,281.0,1.4142135623730951,23.0,0.0,9,2
2,0903-9-wxy,17.0,word,1693748405.4433675,686.0,280.00000000000006,1.0,23.0,0.0,9,2
3,0903-9-wxy,17.0,word,1693748405.475895,685.0,279.99999999999994,1.0,23.0,0.0,9,2
4,0903-9-wxy,17.0,word,1693748405.5071657,685.0,279.99999999999994,0.0,23.0,0.0,9,2
5,0903-9-wxy,17.0,word,1693748405.5401702,685.0,279.99999999999994,0.0,23.0,0.0,9,2
6,0903-9-wxy,17.0,word,1693748405.57208,685.0,279.99999999999994,0.0,23.0,0.0,9,2
7,0903-9-wxy,17.0,word,1693748405.5872066,683.0000000000001,279.0,2.23606797749979,23.0,0.0,9,2
8,0903-9-wxy,17.0,word,1693748405.6193883,668.9999999999998,273.99999999999994,14.866068747318506,23.0,0.0,10,2
9,0903-9-wxy,17.0,word,1693748405.651771,645.0,268.9999999999999,24.515301344262525,23.0,0.0,11,2
10,0903-9-wxy,17.0,word,1693748405.683913,619.9999999999999,261.99999999999994,25.96150997149434,23.0,0.0,5,2
11,0903-9-wxy,17.0,word,1693748405.715575,598.0,255.0,23.08679276123039,23.0,0.0,6,1
12,0903-9-wxy,17.0,word,1693748405.7477107,580.0,250.0,18.68154169226941,23.0,0.0,8,1
13,0903-9-wxy,17.0,word,1693748405.779132,565.9999999999999,244.99999999999991,14.866068747318506,23.0,0.0,14,1
14,0903-9-wxy,17.0,word,1693748405.8122878,552.0,240.99999999999983,14.560219778561036,23.0,0.0,30,1
15,0903-9-wxy,17.0,word,1693748405.8433132,542.0000000000001,237.0,10.770329614269007,23.0,0.0,30,1
16,0903-9-wxy,17.0,word,1693748405.8592825,533.9999999999999,234.0,8.54400374531753,23.0,0.0,28,1
17,0903-9-wxy,17.0,word,1693748405.891431,527.9999999999999,230.99999999999991,6.708203932499369,23.0,0.0,28,1
18,0903-9-wxy,17.0,word,1693748405.9234543,521.9999999999999,229.0,6.324555320336759,23.0,0.0,28,1
19,0903-9-wxy,17.0,word,1693748405.9557378,520.0,226.00000000000003,3.605551275463989,23.0,0.0,27,1
20,0903-9-wxy,17.0,word,1693748405.9872148,518.0,222.0,4.47213595499958,23.0,0.0,27,1
21,0903-9-wxy,17.0,word,1693748406.0192535,515.0,220.0,3.605551275463989,23.0,0.0,27,1
22,0903-9-wxy,17.0,word,1693748406.0517027,514.0,218.0,2.23606797749979,23.0,0.0,27,1
23,0903-9-wxy,17.0,word,1693748406.0837028,512.0000000000001,216.0,2.8284271247461903,23.0,0.0,27,1
24,0903-9-wxy,17.0,word,1693748406.099974,510.0,214.99999999999991,2.23606797749979,23.0,0.0,27,1
25,0903-9-wxy,17.0,word,1693748406.131353,508.9999999999999,213.99999999999991,1.4142135623730951,23.0,0.0,26,1
26,0903-9-wxy,17.0,word,1693748406.1633968,508.0,214.0,1.0,23.0,0.0,25,1
27,0903-9-wxy,17.0,word,1693748406.1958416,507.0,213.99999999999991,1.0,23.0,0.0,25,1
28,0903-9-wxy,17.0,word,1693748406.228138,507.0,213.99999999999991,0.0,23.0,0.0,25,1
29,0903-9-wxy,17.0,word,1693748406.2592945,507.00000000000006,214.9999999999999,1.0,23.0,0.0,25,1
30,0903-9-wxy,17.0,word,1693748406.2915075,506.00000000000017,215.0,1.0,23.0,0.0,25,1
31,0903-9-wxy,17.0,word,1693748406.323145,506.0,216.0,1.0,23.0,0.0,25,1
32,0903-9-wxy,17.0,word,1693748406.355489,506.0,216.0,0.0,23.0,0.0,25,1
33,0903-9-wxy,17.0,word,1693748406.371451,508.0,216.0,2.0,23.0,0.0,25,1
34,0903-9-wxy,17.0,word,1693748406.403735,510.0,217.0,2.23606797749979,23.0,0.0,27,1
35,0903-9-wxy,17.0,word,1693748406.4351752,513.0,219.0,3.605551275463989,23.0,0.0,27,1
36,0903-9-wxy,17.0,word,1693748406.467655,515.9999999999999,220.0,3.1622776601683795,23.0,0.0,27,1
37,0903-9-wxy,17.0,word,1693748406.4998026,519.0000000000001,222.0,3.605551275463989,23.0,0.0,27,1
38,0903-9-wxy,17.0,word,1693748406.5312593,524.9999999999999,222.0,6.0,23.0,0.0,28,1
39,0903-9-wxy,17.0,word,1693748406.563534,546.0,218.0,21.37755832643195,23.0,0.0,30,1
40,0903-9-wxy,17.0,word,1693748406.5958364,572.9999999999999,213.99999999999991,27.29468812791236,23.0,0.0,8,1
41,0903-9-wxy,17.0,word,1693748406.6278474,599.0,210.0,26.30589287593181,23.0,0.0,6,1
42,0903-9-wxy,17.0,word,1693748406.6437323,621.0000000000001,209.0,22.02271554554524,23.0,0.0,7,1
43,0903-9-wxy,17.0,word,1693748406.6760297,638.0,208.0,17.029386365926403,23.0,0.0,7,1
44,0903-9-wxy,17.0,word,1693748406.708082,650.9999999999999,208.0,13.0,23.0,0.0,8,1
45,0903-9-wxy,17.0,word,1693748406.739359,657.9999999999999,208.0,7.0,23.0,0.0,8,1
46,0903-9-wxy,17.0,word,1693748406.7715716,665.0,209.0,7.071067811865476,23.0,0.0,7,1
47,0903-9-wxy,17.0,word,1693748406.803887,673.0,209.0,8.0,23.0,0.0,8,1
48,0903-9-wxy,17.0,word,1693748406.8353052,689.9999999999999,208.0,17.029386365926403,23.0,0.0,7,1
49,0903-9-wxy,17.0,word,1693748406.86749,707.0,206.0,17.11724276862369,23.0,0.0,6,1
50,0903-9-wxy,17.0,word,1693748406.8992248,730.0,205.0,23.021728866442675,23.0,0.0,3,1
51,0903-9-wxy,17.0,word,1693748406.9152317,808.0,204.0,78.00640999302557,23.0,0.0,0,1
52,0903-9-wxy,17.0,word,1693748406.947492,897.0,204.0,89.0,23.0,0.0,1,1
53,0903-9-wxy,17.0,word,1693748406.9797232,959.0,205.0,62.00806399170998,23.0,0.0,3,1
54,0903-9-wxy,17.0,word,1693748407.012066,998.0,205.0,39.0,23.0,0.0,19,1
55,0903-9-wxy,17.0,word,1693748407.0434806,1022.0000000000002,205.0,24.0,23.0,0.0,20,1
56,0903-9-wxy,17.0,word,1693748407.0760863,1036.0,204.0,14.0356688476182,23.0,0.0,20,1
57,0903-9-wxy,17.0,word,1693748407.1072493,1041.0,202.99999999999991,5.0990195135927845,23.0,0.0,20,1
58,0903-9-wxy,17.0,word,1693748407.139814,1029.0,202.0,12.041594578792296,23.0,0.0,20,1
59,0903-9-wxy,17.0,word,1693748407.1720364,1015.0,200.99999999999991,14.0356688476182,23.0,0.0,20,1
60,0903-9-wxy,17.0,word,1693748407.1871617,1007.0,201.0,8.0,23.0,0.0,19,1
61,0903-9-wxy,17.0,word,1693748407.2197573,1004.0,200.0,3.1622776601683795,23.0,0.0,19,1
62,0903-9-wxy,17.0,word,1693748407.2519994,1000.9999999999998,199.99999999999991,3.0,23.0,0.0,19,1
63,0903-9-wxy,17.0,word,1693748407.2840042,998.0,199.99999999999991,3.0,23.0,0.0,19,1
64,0903-9-wxy,17.0,word,1693748407.3153894,994.0,200.0,4.0,23.0,0.0,19,1
65,0903-9-wxy,17.0,word,1693748407.3479283,990.0,200.0,4.0,23.0,0.0,18,1
66,0903-9-wxy,17.0,word,1693748407.3792546,986.0,200.0,4.0,23.0,0.0,18,1
67,0903-9-wxy,17.0,word,1693748407.411189,982.0,198.99999999999991,4.123105625617661,23.0,0.0,18,1
68,0903-9-wxy,17.0,word,1693748407.443217,985.0,199.99999999999991,3.1622776601683795,23.0,0.0,18,1
69,0903-9-wxy,17.0,word,1693748407.4594822,992.0,200.0,7.0,23.0,0.0,18,1
70,0903-9-wxy,17.0,word,1693748407.4916923,1010.0,201.99999999999991,18.110770276274835,23.0,0.0,19,1
71,0903-9-wxy,17.0,word,1693748407.5236857,1033.0,202.9999999999999,23.021728866442675,23.0,0.0,20,1
72,0903-9-wxy,17.0,word,1693748407.5552645,1056.0,204.0,23.021728866442675,23.0,0.0,4,1
73,0903-9-wxy,17.0,word,1693748407.5876398,1075.9999999999998,205.0,20.024984394500787,23.0,0.0,4,1
74,0903-9-wxy,17.0,word,1693748407.6195445,1090.9999999999998,204.99999999999991,15.0,23.0,0.0,4,1
75,0903-9-wxy,17.0,word,1693748407.6517434,1138.0,207.0,47.042533945356304,23.0,0.0,2,1
76,0903-9-wxy,17.0,word,1693748407.6839094,1221.9999999999998,212.0,84.1486779456457,23.0,0.0,0,1
77,0903-9-wxy,17.0,word,1693748407.6999104,1296.0000000000002,216.0,74.10802925459562,23.0,0.0,1,1
78,0903-9-wxy,17.0,word,1693748407.7319093,1344.0000000000002,220.0,48.16637831516918,23.0,0.0,4,1
79,0903-9-wxy,17.0,word,1693748407.7640762,1374.0000000000005,221.00000000000003,30.01666203960727,23.0,0.0,5,1
80,0903-9-wxy,17.0,word,1693748407.7956462,1390.9999999999998,220.0,17.029386365926403,23.0,0.0,6,1
81,0903-9-wxy,17.0,word,1693748407.8282263,1402.0,217.9999999999999,11.180339887498947,23.0,0.0,7,1
82,0903-9-wxy,17.0,word,1693748407.859615,1410.0,215.99999999999991,8.246211251235321,23.0,0.0,7,1
83,0903-9-wxy,17.0,word,1693748407.8915606,1426.9999999999995,217.00000000000003,17.029386365926403,23.0,0.0,9,1
84,0903-9-wxy,17.0,word,1693748407.9239063,1447.0,213.9999999999999,20.223748416156685,23.0,0.0,11,1
85,0903-9-wxy,17.0,word,1693748407.9558835,1461.0,211.0,14.317821063276352,23.0,0.0,10,1
86,0903-9-wxy,17.0,word,1693748407.9718826,1472.0,207.0,11.704699910719626,23.0,0.0,9,1
87,0903-9-wxy,17.0,word,1693748408.0038838,1481.0,202.0,10.295630140987,23.0,0.0,8,1
88,0903-9-wxy,17.0,word,1693748408.036079,1487.9999999999998,198.0,8.06225774829855,23.0,0.0,8,1
89,0903-9-wxy,17.0,word,1693748408.0675714,1494.0000000000002,194.0,7.211102550927978,23.0,0.0,7,1
90,0903-9-wxy,17.0,word,1693748408.0996437,1489.9999999999998,188.0,7.211102550927978,23.0,0.0,7,1
91,0903-9-wxy,17.0,word,1693748408.131525,1453.0,185.0,37.12142238654117,23.0,0.0,10,1
92,0903-9-wxy,17.0,word,1693748408.1637852,1242.0,185.0,211.0,23.0,0.0,0,1
