original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0903-9-wxy,7.0,word,1693747858.7476408,558.0,200.99999999999991,15.620499351813308,7.0,0.0,20
1,0903-9-wxy,7.0,word,1693747858.7557569,550.9999999999999,193.99999999999994,9.899494936611664,7.0,0.0,26
2,0903-9-wxy,7.0,word,1693747858.7876432,549.0,186.99999999999994,7.280109889280518,7.0,0.0,31
3,0903-9-wxy,7.0,word,1693747858.803645,547.0000000000001,180.99999999999994,6.324555320336759,7.0,0.0,32
4,0903-9-wxy,7.0,word,1693747858.8358116,545.0,175.99999999999991,5.385164807134504,7.0,0.0,30
5,0903-9-wxy,7.0,word,1693747858.8673887,543.0,171.99999999999994,4.47213595499958,7.0,0.0,30
6,0903-9-wxy,7.0,word,1693747858.899697,540.0000000000001,168.99999999999997,4.242640687119285,7.0,0.0,29
7,0903-9-wxy,7.0,word,1693747858.9320462,539.9999999999999,166.99999999999991,2.0,7.0,0.0,29
8,0903-9-wxy,7.0,word,1693747858.9632285,538.9999999999999,164.99999999999997,2.23606797749979,7.0,0.0,28
9,0903-9-wxy,7.0,word,1693747858.99575,536.0000000000001,166.0,3.1622776601683795,7.0,0.0,27
10,0903-9-wxy,7.0,word,1693747859.028082,534.0,163.99999999999997,2.8284271247461903,7.0,0.0,27
11,0903-9-wxy,7.0,word,1693747859.0592422,532.0,162.99999999999991,2.23606797749979,7.0,0.0,27
12,0903-9-wxy,7.0,word,1693747859.075431,531.0,160.99999999999997,2.23606797749979,7.0,0.0,26
13,0903-9-wxy,7.0,word,1693747859.107658,534.0000000000001,158.0,4.242640687119285,7.0,0.0,27
14,0903-9-wxy,7.0,word,1693747859.1396658,540.0,154.99999999999997,6.708203932499369,7.0,0.0,27
15,0903-9-wxy,7.0,word,1693747859.172105,545.0,152.99999999999997,5.385164807134504,7.0,0.0,29
16,0903-9-wxy,7.0,word,1693747859.2032456,549.0,151.0,4.47213595499958,7.0,0.0,29
17,0903-9-wxy,7.0,word,1693747859.2354207,554.0,148.99999999999991,5.385164807134504,7.0,0.0,29
18,0903-9-wxy,7.0,word,1693747859.2676628,560.9999999999999,145.99999999999997,7.615773105863909,7.0,0.0,30
19,0903-9-wxy,7.0,word,1693747859.2991395,577.9999999999999,139.99999999999997,18.027756377319943,7.0,0.0,18
20,0903-9-wxy,7.0,word,1693747859.331293,598.0,131.99999999999994,21.54065922853801,7.0,0.0,8
21,0903-9-wxy,7.0,word,1693747859.363207,614.9999999999999,123.99999999999996,18.788294228055936,7.0,0.0,5
22,0903-9-wxy,7.0,word,1693747859.379555,629.0,116.99999999999994,15.652475842498529,7.0,0.0,4
23,0903-9-wxy,7.0,word,1693747859.4118085,639.0,111.99999999999997,11.180339887498947,7.0,0.0,3
24,0903-9-wxy,7.0,word,1693747859.4439714,649.0,108.00000000000003,10.770329614269007,7.0,0.0,3
25,0903-9-wxy,7.0,word,1693747859.4751534,697.0000000000001,99.0,48.83646178829912,7.0,0.0,0
37,0903-9-wxy,7.0,word,1693747859.843747,884.0,96.99999999999996,2.23606797749979,7.0,0.0,13
38,0903-9-wxy,7.0,word,1693747859.8760438,883.0000000000001,96.99999999999999,1.0,7.0,0.0,13
39,0903-9-wxy,7.0,word,1693747859.8921251,885.9999999999999,96.99999999999997,3.0,7.0,0.0,13
46,0903-9-wxy,7.0,word,1693747860.115522,1031.9999999999998,98.99999999999999,30.4138126514911,7.0,0.0,3
47,0903-9-wxy,7.0,word,1693747860.1478708,1055.0000000000002,102.99999999999997,23.345235059857504,7.0,0.0,5
48,0903-9-wxy,7.0,word,1693747860.163938,1072.0000000000002,104.0,17.029386365926403,7.0,0.0,5
49,0903-9-wxy,7.0,word,1693747860.1952813,1085.0,104.99999999999999,13.038404810405298,7.0,0.0,6
50,0903-9-wxy,7.0,word,1693747860.2273262,1094.0,105.0,9.0,7.0,0.0,6
51,0903-9-wxy,7.0,word,1693747860.2594223,1105.0,107.99999999999997,11.40175425099138,7.0,0.0,5
52,0903-9-wxy,7.0,word,1693747860.2915368,1122.0,109.99999999999996,17.11724276862369,7.0,0.0,5
53,0903-9-wxy,7.0,word,1693747860.3234577,1139.9999999999998,107.99999999999999,18.110770276274835,7.0,0.0,4
