,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0903-9-wxy,22.0,word,1693748611.9199476,763.0,249.0,20.12461179749811,22.0,0.0
1,0903-9-wxy,22.0,word,1693748611.9391952,752.0,231.0,21.095023109728988,22.0,0.0
2,0903-9-wxy,22.0,word,1693748611.9714077,744.0,216.0,17.0,22.0,0.0
3,0903-9-wxy,22.0,word,1693748612.0035307,741.0,207.0,9.486832980505138,22.0,0.0
4,0903-9-wxy,22.0,word,1693748612.035669,739.0,201.0,6.324555320336759,22.0,0.0
5,0903-9-wxy,22.0,word,1693748612.0679445,738.0,196.0,5.0990195135927845,22.0,0.0
6,0903-9-wxy,22.0,word,1693748612.0840578,738.0,193.0,3.0,22.0,0.0
7,0903-9-wxy,22.0,word,1693748612.1151624,737.0,190.0,3.1622776601683795,22.0,0.0
8,0903-9-wxy,22.0,word,1693748612.1480153,719.0,190.0,18.0,22.0,0.0
9,0903-9-wxy,22.0,word,1693748612.1792266,680.0,195.0,39.319206502675,22.0,0.0
10,0903-9-wxy,22.0,word,1693748612.211648,638.0,202.0,42.579337712087536,22.0,0.0
11,0903-9-wxy,22.0,word,1693748612.2438023,602.0,206.0,36.22154055254967,22.0,0.0
12,0903-9-wxy,22.0,word,1693748612.2758603,575.0,209.0,27.16615541441225,22.0,0.0
13,0903-9-wxy,22.0,word,1693748612.3071527,556.0,211.0,19.1049731745428,22.0,0.0
14,0903-9-wxy,22.0,word,1693748612.3398376,540.0,211.0,16.0,22.0,0.0
15,0903-9-wxy,22.0,word,1693748612.3557925,529.0,211.0,11.0,22.0,0.0
16,0903-9-wxy,22.0,word,1693748612.3875217,521.0,211.0,8.0,22.0,0.0
17,0903-9-wxy,22.0,word,1693748612.420149,514.0,211.0,7.0,22.0,0.0
18,0903-9-wxy,22.0,word,1693748612.4520612,510.0,209.0,4.47213595499958,22.0,0.0
19,0903-9-wxy,22.0,word,1693748612.483453,506.0,208.0,4.123105625617661,22.0,0.0
20,0903-9-wxy,22.0,word,1693748612.5156713,504.0,206.0,2.8284271247461903,22.0,0.0
21,0903-9-wxy,22.0,word,1693748612.5478282,502.0,204.0,2.8284271247461903,22.0,0.0
22,0903-9-wxy,22.0,word,1693748612.5795343,501.0,202.0,2.23606797749979,22.0,0.0
23,0903-9-wxy,22.0,word,1693748612.6117198,499.0,201.0,2.23606797749979,22.0,0.0
24,0903-9-wxy,22.0,word,1693748612.6274514,497.0,199.0,2.8284271247461903,22.0,0.0
25,0903-9-wxy,22.0,word,1693748612.6598701,495.0,197.0,2.8284271247461903,22.0,0.0
26,0903-9-wxy,22.0,word,1693748612.692182,494.0,194.0,3.1622776601683795,22.0,0.0
27,0903-9-wxy,22.0,word,1693748612.723714,497.0,192.0,3.605551275463989,22.0,0.0
28,0903-9-wxy,22.0,word,1693748612.755871,499.0,190.0,2.8284271247461903,22.0,0.0
29,0903-9-wxy,22.0,word,1693748612.787355,503.0,187.0,5.0,22.0,0.0
30,0903-9-wxy,22.0,word,1693748612.819834,507.0,185.0,4.47213595499958,22.0,0.0
31,0903-9-wxy,22.0,word,1693748612.85175,509.0,184.0,2.23606797749979,22.0,0.0
32,0903-9-wxy,22.0,word,1693748612.8834605,512.0,182.0,3.605551275463989,22.0,0.0
33,0903-9-wxy,22.0,word,1693748612.89945,515.0,179.0,4.242640687119285,22.0,0.0
34,0903-9-wxy,22.0,word,1693748612.9314554,545.0,173.0,30.59411708155671,22.0,0.0
35,0903-9-wxy,22.0,word,1693748612.9635942,587.0,169.0,42.190046219457976,22.0,0.0
36,0903-9-wxy,22.0,word,1693748612.995509,624.0,168.0,37.013511046643494,22.0,0.0
37,0903-9-wxy,22.0,word,1693748613.0274804,651.0,174.0,27.65863337187866,22.0,0.0
38,0903-9-wxy,22.0,word,1693748613.0595102,669.0,177.0,18.24828759089466,22.0,0.0
39,0903-9-wxy,22.0,word,1693748613.0914805,685.0,179.0,16.1245154965971,22.0,0.0
40,0903-9-wxy,22.0,word,1693748613.1238039,746.0,177.0,61.032778078668514,22.0,0.0
41,0903-9-wxy,22.0,word,1693748613.1557736,829.0,179.0,83.02409288875127,22.0,0.0
42,0903-9-wxy,22.0,word,1693748613.17203,886.0,177.0,57.0350769263968,22.0,0.0
