index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0905-1-hm,4,cali,1693879700.153124,failed,failed,2.23606797749979,23,4
0,0905-1-hm,4,cali,1693879700.2174785,1329,479,1.0,23,4
1,0905-1-hm,4,cali,1693879700.2495227,1331,479,2.0,23,4
2,0905-1-hm,4,cali,1693879700.2816458,1333,478,2.23606797749979,23,4
3,0905-1-hm,4,cali,1693879700.3139818,1335,478,2.0,23,4
4,0905-1-hm,4,cali,1693879700.3291402,1336,478,1.0,23,4
5,0905-1-hm,4,cali,1693879700.3611646,1336,478,0.0,23,4
6,0905-1-hm,4,cali,1693879700.3931413,1337,477,1.4142135623730951,23,4
7,0905-1-hm,4,cali,1693879700.4256165,1337,475,2.0,23,4
8,0905-1-hm,4,cali,1693879700.4576461,1338,474,1.4142135623730951,23,4
9,0905-1-hm,4,cali,1693879700.489617,1339,473,1.4142135623730951,23,4
10,0905-1-hm,4,cali,1693879700.5218806,1339,471,2.0,23,4
11,0905-1-hm,4,cali,1693879700.5537999,1340,471,1.0,23,4
12,0905-1-hm,4,cali,1693879700.5858653,1340,470,1.0,23,4
13,0905-1-hm,4,cali,1693879700.6018956,1341,469,1.4142135623730951,23,4
14,0905-1-hm,4,cali,1693879700.633373,1341,468,1.0,23,4
15,0905-1-hm,4,cali,1693879700.6653445,1341,468,0.0,23,4
16,0905-1-hm,4,cali,1693879700.6975195,1341,468,0.0,23,4
17,0905-1-hm,4,cali,1693879700.7296648,1342,468,1.0,23,4
18,0905-1-hm,4,cali,1693879700.7619638,1342,468,0.0,23,4
19,0905-1-hm,4,cali,1693879700.7931178,1342,468,0.0,23,4
20,0905-1-hm,4,cali,1693879700.8251157,1342,468,0.0,23,4
21,0905-1-hm,4,cali,1693879700.8574572,1342,468,0.0,23,4
22,0905-1-hm,4,cali,1693879700.873428,1342,467,1.0,23,4
23,0905-1-hm,4,cali,1693879700.9057107,1342,467,0.0,23,4
24,0905-1-hm,4,cali,1693879700.937855,1342,467,0.0,23,4
25,0905-1-hm,4,cali,1693879700.9700046,1343,467,1.0,23,4
26,0905-1-hm,4,cali,1693879701.00119,1343,467,0.0,23,4
27,0905-1-hm,4,cali,1693879701.0336769,1343,467,0.0,23,4
28,0905-1-hm,4,cali,1693879701.065823,1343,467,0.0,23,4
29,0905-1-hm,4,cali,1693879701.0978034,1343,467,0.0,23,4
30,0905-1-hm,4,cali,1693879701.1138036,1343,467,0.0,23,4
