username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0905-1-hm,38.0,word,1693881515.9286373,1113.0,965.0,2.23606797749979,19.0,0.0
0905-1-hm,38.0,word,1693881515.945649,1110.0,965.0,3.0,19.0,0.0
0905-1-hm,38.0,word,1693881515.978047,1108.0,965.0,2.0,19.0,0.0
0905-1-hm,38.0,word,1693881516.0099332,1107.0,964.0,1.4142135623730951,19.0,0.0
0905-1-hm,38.0,word,1693881516.041238,1106.0,963.0,1.4142135623730951,19.0,0.0
0905-1-hm,38.0,word,1693881516.0735002,1101.0,955.0,9.433981132056603,19.0,0.0
0905-1-hm,38.0,word,1693881516.0900905,1070.0,874.0,86.7294644281861,19.0,0.0
0905-1-hm,38.0,word,1693881516.121151,992.0,676.0,212.8097742116184,19.0,0.0
0905-1-hm,38.0,word,1693881516.1532145,953.0,558.0,124.27791436936812,19.0,0.0
0905-1-hm,38.0,word,1693881516.1856756,914.0,453.0,112.0089282155668,19.0,0.0
0905-1-hm,38.0,word,1693881516.2177098,868.0,358.0,105.55093557141026,19.0,0.0
0905-1-hm,38.0,word,1693881516.2497103,840.0,315.0,51.31276644267,19.0,0.0
0905-1-hm,38.0,word,1693881516.2817423,832.0,300.0,17.0,19.0,0.0
0905-1-hm,38.0,word,1693881516.2979546,795.0,290.0,38.3275357934736,19.0,0.0
0905-1-hm,38.0,word,1693881516.32914,728.0,284.0,67.26812023536856,19.0,0.0
0905-1-hm,38.0,word,1693881516.3613677,683.0,284.0,45.0,19.0,0.0
0905-1-hm,38.0,word,1693881516.3935163,663.0,287.0,20.223748416156685,19.0,0.0
0905-1-hm,38.0,word,1693881516.4257138,652.0,286.0,11.04536101718726,19.0,0.0
0905-1-hm,38.0,word,1693881516.4577105,649.0,289.0,4.242640687119285,19.0,0.0
0905-1-hm,38.0,word,1693881516.4900413,645.0,288.0,4.123105625617661,19.0,0.0
0905-1-hm,38.0,word,1693881516.5213563,642.0,288.0,3.0,19.0,0.0
0905-1-hm,38.0,word,1693881516.553375,657.0,282.0,16.15549442140351,19.0,0.0
0905-1-hm,38.0,word,1693881516.5853827,677.0,275.0,21.18962010041709,19.0,0.0
0905-1-hm,38.0,word,1693881516.6016774,694.0,269.0,18.027756377319943,19.0,0.0
0905-1-hm,38.0,word,1693881516.633856,709.0,264.0,15.811388300841896,19.0,0.0
0905-1-hm,38.0,word,1693881516.6660078,723.0,262.0,14.142135623730953,19.0,0.0
0905-1-hm,38.0,word,1693881516.69728,780.0,254.0,57.55866572463264,19.0,0.0
0905-1-hm,38.0,word,1693881516.72978,847.0,243.0,67.89698078707183,19.0,0.0
0905-1-hm,38.0,word,1693881516.7618165,903.0,238.0,56.22277118748239,19.0,0.0
