original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-1-hm,14.0,word,1693880455.038997,484.00000000000006,351.0,71.449282711585,10.0,0.0,3,2
1,0905-1-hm,14.0,word,1693880455.065334,498.0,354.0,14.317821063276352,10.0,0.0,4,2
2,0905-1-hm,14.0,word,1693880455.0973608,507.0,346.9999999999999,11.40175425099138,10.0,0.0,4,2
3,0905-1-hm,14.0,word,1693880455.1296916,529.0000000000001,331.99999999999994,26.627053911388696,10.0,0.0,8,2
4,0905-1-hm,14.0,word,1693880455.1611743,546.9999999999999,321.0,21.095023109728988,10.0,0.0,10,2
5,0905-1-hm,14.0,word,1693880455.1936312,560.9999999999999,311.99999999999994,16.64331697709324,10.0,0.0,12,1
6,0905-1-hm,14.0,word,1693880455.2259655,571.0,306.99999999999994,11.180339887498947,10.0,0.0,14,1
7,0905-1-hm,14.0,word,1693880455.2420738,579.0,302.99999999999994,8.94427190999916,10.0,0.0,15,1
8,0905-1-hm,14.0,word,1693880455.2733486,579.0,294.00000000000006,9.0,10.0,0.0,15,1
9,0905-1-hm,14.0,word,1693880455.3055134,575.9999999999999,281.9999999999999,12.36931687685298,10.0,0.0,14,1
10,0905-1-hm,14.0,word,1693880455.337522,573.0,271.99999999999994,10.44030650891055,10.0,0.0,15,1
11,0905-1-hm,14.0,word,1693880455.369518,571.0,266.0,6.324555320336759,10.0,0.0,15,0
12,0905-1-hm,14.0,word,1693880455.4015155,570.0,260.0,6.082762530298219,10.0,0.0,14,0
13,0905-1-hm,14.0,word,1693880455.4335148,567.0,257.0,4.242640687119285,10.0,0.0,14,0
14,0905-1-hm,14.0,word,1693880455.4495144,563.0,253.99999999999991,5.0,10.0,0.0,14,0
15,0905-1-hm,14.0,word,1693880455.4816744,562.9999999999999,249.0,5.0,10.0,0.0,14,0
16,0905-1-hm,14.0,word,1693880455.513913,563.0000000000001,247.0,2.0,10.0,0.0,13,0
17,0905-1-hm,14.0,word,1693880455.546081,564.0,245.0,2.23606797749979,10.0,0.0,13,0
18,0905-1-hm,14.0,word,1693880455.577967,584.9999999999999,242.0,21.213203435596427,10.0,0.0,12,0
19,0905-1-hm,14.0,word,1693880455.6091146,621.9999999999998,235.99999999999991,37.48332962798263,10.0,0.0,10,0
20,0905-1-hm,14.0,word,1693880455.641196,657.0000000000001,232.0,35.22782990761707,10.0,0.0,3,0
21,0905-1-hm,14.0,word,1693880455.6736505,687.9999999999998,229.0,31.14482300479488,10.0,0.0,14,0
22,0905-1-hm,14.0,word,1693880455.7056272,711.0,228.0,23.021728866442675,10.0,0.0,15,0
23,0905-1-hm,14.0,word,1693880455.721627,724.9999999999999,228.0,14.0,10.0,0.0,14,0
24,0905-1-hm,14.0,word,1693880455.7531328,735.9999999999999,227.0,11.04536101718726,10.0,0.0,14,0
25,0905-1-hm,14.0,word,1693880455.7854247,743.9999999999999,229.0,8.246211251235321,10.0,0.0,14,0
26,0905-1-hm,14.0,word,1693880455.8177352,747.9999999999999,228.0,4.123105625617661,10.0,0.0,14,0
27,0905-1-hm,14.0,word,1693880455.849944,749.9999999999999,229.00000000000003,2.23606797749979,10.0,0.0,14,0
28,0905-1-hm,14.0,word,1693880455.881425,739.0,229.00000000000003,11.0,10.0,0.0,14,0
29,0905-1-hm,14.0,word,1693880455.9133592,732.9999999999999,230.0,6.082762530298219,10.0,0.0,14,0
30,0905-1-hm,14.0,word,1693880455.945351,729.0,230.0,4.0,10.0,0.0,14,0
31,0905-1-hm,14.0,word,1693880455.9777555,722.9999999999999,230.0,6.0,10.0,0.0,14,0
32,0905-1-hm,14.0,word,1693880455.993767,715.0000000000001,231.0,8.06225774829855,10.0,0.0,15,0
33,0905-1-hm,14.0,word,1693880456.025787,709.0000000000001,232.0,6.082762530298219,10.0,0.0,15,0
34,0905-1-hm,14.0,word,1693880456.0572617,719.0000000000001,233.0,10.04987562112089,10.0,0.0,15,0
35,0905-1-hm,14.0,word,1693880456.0892596,766.0,229.0,47.16990566028302,10.0,0.0,13,0
36,0905-1-hm,14.0,word,1693880456.121296,837.0,224.0,71.17583859709698,10.0,0.0,1,0
37,0905-1-hm,14.0,word,1693880456.153499,895.9999999999999,225.0,59.00847396772772,10.0,0.0,2,0
38,0905-1-hm,14.0,word,1693880456.1857998,942.9999999999998,225.0,47.0,10.0,0.0,4,0
39,0905-1-hm,14.0,word,1693880456.2180753,981.0,222.00000000000003,38.11823710509184,10.0,0.0,4,0
