original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
2,0905-2-fwh,7.0,word,1693884067.0003676,457.0,175.99999999999997,255.5621255194126,7.0,0.0,0,0
3,0905-2-fwh,7.0,word,1693884067.0320475,635.9999999999998,228.0,186.40010729610648,7.0,0.0,0,0
4,0905-2-fwh,7.0,word,1693884067.0639813,727.0000000000001,256.99999999999994,95.50916186418976,7.0,0.0,1,0
5,0905-2-fwh,7.0,word,1693884067.0952926,768.0,270.00000000000006,43.01162633521314,7.0,0.0,7,0
6,0905-2-fwh,7.0,word,1693884067.1274762,787.9999999999999,277.0,21.18962010041709,7.0,0.0,5,0
7,0905-2-fwh,7.0,word,1693884067.159664,797.0,279.0,9.219544457292889,7.0,0.0,4,0
8,0905-2-fwh,7.0,word,1693884067.1915753,787.9999999999999,280.00000000000006,9.055385138137416,7.0,0.0,5,0
9,0905-2-fwh,7.0,word,1693884067.223608,750.0,279.99999999999994,38.0,7.0,0.0,9,0
10,0905-2-fwh,7.0,word,1693884067.239808,725.9999999999999,280.99999999999994,24.020824298928627,7.0,0.0,7,0
11,0905-2-fwh,7.0,word,1693884067.271883,713.0000000000001,280.99999999999994,13.0,7.0,0.0,6,0
12,0905-2-fwh,7.0,word,1693884067.3038533,703.0,280.99999999999994,10.0,7.0,0.0,6,0
13,0905-2-fwh,7.0,word,1693884067.336057,694.0000000000001,280.9999999999999,9.0,7.0,0.0,6,0
14,0905-2-fwh,7.0,word,1693884067.3681629,686.0,280.99999999999994,8.0,7.0,0.0,5,0
15,0905-2-fwh,7.0,word,1693884067.3995054,678.0000000000001,280.9999999999999,8.0,7.0,0.0,5,0
16,0905-2-fwh,7.0,word,1693884067.5118475,793.0,203.0,138.95682782792647,7.0,0.0,0,0
17,0905-2-fwh,7.0,word,1693884067.5440602,724.9999999999999,282.9999999999999,104.9952379872535,7.0,0.0,3,0
18,0905-2-fwh,7.0,word,1693884067.5759392,725.0000000000002,280.99999999999994,2.0,7.0,0.0,3,0
19,0905-2-fwh,7.0,word,1693884067.608003,726.0,277.0,4.123105625617661,7.0,0.0,3,0
20,0905-2-fwh,7.0,word,1693884067.6391966,738.9999999999999,273.99999999999994,13.341664064126334,7.0,0.0,3,0
21,0905-2-fwh,7.0,word,1693884067.671479,814.9999999999999,266.99999999999994,76.32168761236873,7.0,0.0,0,0
22,0905-2-fwh,7.0,word,1693884067.703746,915.0,257.99999999999994,100.40418317978587,7.0,0.0,0,0
23,0905-2-fwh,7.0,word,1693884067.7358422,987.0,251.0,72.3394774656273,7.0,0.0,1,0
24,0905-2-fwh,7.0,word,1693884067.7680223,1033.0,247.00000000000003,46.17358552246078,7.0,0.0,3,0
25,0905-2-fwh,7.0,word,1693884067.784021,1061.0000000000002,244.0,28.16025568065745,7.0,0.0,3,0
26,0905-2-fwh,7.0,word,1693884067.8160205,1076.9999999999998,244.0,16.0,7.0,0.0,3,0
27,0905-2-fwh,7.0,word,1693884067.8480444,1123.0,245.0,46.01086828130936,7.0,0.0,3,0
28,0905-2-fwh,7.0,word,1693884067.880172,1168.0,244.9999999999999,45.0,7.0,0.0,6,0
29,0905-2-fwh,7.0,word,1693884067.91132,1199.0000000000002,242.0,31.14482300479488,7.0,0.0,4,0
30,0905-2-fwh,7.0,word,1693884067.943468,1216.9999999999998,243.0,18.027756377319943,7.0,0.0,4,0
31,0905-2-fwh,7.0,word,1693884067.9754596,1184.0,243.0,33.0,7.0,0.0,6,0
32,0905-2-fwh,7.0,word,1693884068.007485,1158.0,244.0,26.019223662515376,7.0,0.0,6,0
33,0905-2-fwh,7.0,word,1693884068.0394838,1125.0,244.0,33.0,7.0,0.0,3,0
34,0905-2-fwh,7.0,word,1693884068.0554595,1074.0,245.0,51.0098029794274,7.0,0.0,2,0
35,0905-2-fwh,7.0,word,1693884068.0876057,1027.9999999999998,243.99999999999991,46.01086828130936,7.0,0.0,3,0
36,0905-2-fwh,7.0,word,1693884068.1197147,991.0,245.0,37.01351104664349,7.0,0.0,3,0
37,0905-2-fwh,7.0,word,1693884068.1516318,965.0,246.0,26.019223662515376,7.0,0.0,3,0
38,0905-2-fwh,7.0,word,1693884068.1838963,947.0,252.0,18.97366596101028,7.0,0.0,2,0
39,0905-2-fwh,7.0,word,1693884068.2641163,1041.9999999999998,490.9999999999999,257.1886467167631,7.0,0.0,1,4
40,0905-2-fwh,7.0,word,1693884068.2952716,1023.0,444.0,50.69516742254631,7.0,0.0,2,3
41,0905-2-fwh,7.0,word,1693884068.3275435,1029.0,412.0,32.55764119219941,7.0,0.0,2,3
42,0905-2-fwh,7.0,word,1693884068.3597312,1029.0,365.0,47.0,7.0,0.0,2,2
43,0905-2-fwh,7.0,word,1693884068.3920596,1028.9999999999998,319.9999999999999,45.0,7.0,0.0,3,1
44,0905-2-fwh,7.0,word,1693884068.424049,1027.0,286.0,34.058772731852805,7.0,0.0,4,1
45,0905-2-fwh,7.0,word,1693884068.4560692,1024.0,263.0,23.194827009486403,7.0,0.0,4,0
46,0905-2-fwh,7.0,word,1693884068.4876308,1030.0,250.0,14.317821063276352,7.0,0.0,4,0
