original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0905-2-fwh,8.0,word,1693884171.3037832,1024.0,303.99999999999994,41.04875150354759,8.0,0.0,16
1,0905-2-fwh,8.0,word,1693884171.3358524,1013.0000000000001,326.9999999999999,25.495097567963924,8.0,0.0,18
2,0905-2-fwh,8.0,word,1693884171.3678486,1003.0,331.9999999999999,11.180339887498947,8.0,0.0,20
3,0905-2-fwh,8.0,word,1693884171.3991802,995.0000000000001,334.0,8.246211251235321,8.0,0.0,19
4,0905-2-fwh,8.0,word,1693884171.431967,990.9999999999999,335.99999999999994,4.47213595499958,8.0,0.0,13
5,0905-2-fwh,8.0,word,1693884171.4632494,987.9999999999999,337.99999999999994,3.605551275463989,8.0,0.0,12
6,0905-2-fwh,8.0,word,1693884171.4956996,985.0,338.9999999999999,3.1622776601683795,8.0,0.0,11
7,0905-2-fwh,8.0,word,1693884171.528025,967.9999999999999,330.99999999999994,18.788294228055936,8.0,0.0,10
8,0905-2-fwh,8.0,word,1693884171.559299,902.0,309.0,69.57010852370435,8.0,0.0,7
9,0905-2-fwh,8.0,word,1693884171.575591,837.0,287.0,68.62215385719105,8.0,0.0,19
10,0905-2-fwh,8.0,word,1693884171.608041,792.0,273.99999999999994,46.84015371452148,8.0,0.0,6
11,0905-2-fwh,8.0,word,1693884171.6392517,764.0,264.99999999999994,29.410882339705484,8.0,0.0,5
12,0905-2-fwh,8.0,word,1693884171.671585,732.9999999999999,262.9999999999999,31.064449134018133,8.0,0.0,5
13,0905-2-fwh,8.0,word,1693884171.703822,698.0,260.99999999999994,35.05709628591621,8.0,0.0,13
14,0905-2-fwh,8.0,word,1693884171.7360308,672.0,259.9999999999999,26.019223662515376,8.0,0.0,18
15,0905-2-fwh,8.0,word,1693884171.7673674,656.0,260.9999999999999,16.0312195418814,8.0,0.0,21
16,0905-2-fwh,8.0,word,1693884171.7999706,644.0,260.9999999999999,12.0,8.0,0.0,23
17,0905-2-fwh,8.0,word,1693884171.8313067,637.0,261.0,7.0,8.0,0.0,22
18,0905-2-fwh,8.0,word,1693884171.8632178,645.0,258.99999999999994,8.246211251235321,8.0,0.0,22
19,0905-2-fwh,8.0,word,1693884171.8792176,658.9999999999999,254.9999999999999,14.560219778561036,8.0,0.0,20
