original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-3-hfx,2.0,word,1693887820.6356406,656.0,182.00000000000009,3.0,2.0,0.0,17,1
1,0905-3-hfx,2.0,word,1693887820.6517873,656.0,180.00000000000003,2.0,2.0,0.0,17,1
2,0905-3-hfx,2.0,word,1693887820.6837862,655.0,180.0,1.0,2.0,0.0,17,1
3,0905-3-hfx,2.0,word,1693887820.715954,654.9999999999999,177.99999999999994,2.0,2.0,0.0,17,1
4,0905-3-hfx,2.0,word,1693887820.747196,653.9999999999998,176.99999999999994,1.4142135623730951,2.0,0.0,17,1
5,0905-3-hfx,2.0,word,1693887820.7792184,653.9999999999999,176.00000000000009,1.0,2.0,0.0,17,1
6,0905-3-hfx,2.0,word,1693887820.8122275,653.9999999999999,176.00000000000009,0.0,2.0,0.0,17,1
7,0905-3-hfx,2.0,word,1693887820.8441453,653.9999999999999,174.99999999999994,1.0,2.0,0.0,17,1
8,0905-3-hfx,2.0,word,1693887820.8603015,648.9999999999999,173.00000000000003,5.385164807134504,2.0,0.0,17,1
9,0905-3-hfx,2.0,word,1693887820.8915458,639.9999999999999,169.0,9.848857801796104,2.0,0.0,17,1
10,0905-3-hfx,2.0,word,1693887820.9239192,631.0,162.99999999999994,10.816653826391969,2.0,0.0,17,1
11,0905-3-hfx,2.0,word,1693887820.955922,624.0,157.00000000000003,9.219544457292889,2.0,0.0,17,1
12,0905-3-hfx,2.0,word,1693887820.9878922,617.0,153.00000000000009,8.06225774829855,2.0,0.0,17,1
13,0905-3-hfx,2.0,word,1693887821.0200076,611.0,148.99999999999997,7.211102550927978,2.0,0.0,16,1
14,0905-3-hfx,2.0,word,1693887821.0519674,624.0,142.00000000000003,14.7648230602334,2.0,0.0,17,1
15,0905-3-hfx,2.0,word,1693887821.0832198,642.0,136.00000000000003,18.97366596101028,2.0,0.0,23,1
16,0905-3-hfx,2.0,word,1693887821.1156638,658.0,131.00000000000009,16.76305461424021,2.0,0.0,23,0
17,0905-3-hfx,2.0,word,1693887821.131925,672.0,123.0,16.1245154965971,2.0,0.0,8,0
18,0905-3-hfx,2.0,word,1693887821.1641178,684.0,117.99999999999991,13.0,2.0,0.0,7,0
19,0905-3-hfx,2.0,word,1693887821.1952286,693.0,115.0,9.486832980505138,2.0,0.0,7,0
20,0905-3-hfx,2.0,word,1693887821.227395,690.9999999999998,114.0,2.23606797749979,2.0,0.0,7,0
21,0905-3-hfx,2.0,word,1693887821.2596972,670.9999999999999,115.0,20.024984394500787,2.0,0.0,8,0
22,0905-3-hfx,2.0,word,1693887821.2918878,639.0,115.99999999999996,32.01562118716424,2.0,0.0,19,0
23,0905-3-hfx,2.0,word,1693887821.3240943,598.9999999999998,115.0,40.01249804748511,2.0,0.0,2,0
24,0905-3-hfx,2.0,word,1693887821.3554423,557.9999999999999,114.99999999999994,41.0,2.0,0.0,3,0
25,0905-3-hfx,2.0,word,1693887821.3877003,527.0,112.0,31.14482300479488,2.0,0.0,5,0
26,0905-3-hfx,2.0,word,1693887821.40408,503.0,111.00000000000004,24.020824298928627,2.0,0.0,6,0
27,0905-3-hfx,2.0,word,1693887821.4353738,484.9999999999999,107.99999999999996,18.24828759089466,2.0,0.0,6,0
28,0905-3-hfx,2.0,word,1693887821.4676142,472.9999999999999,107.0,12.041594578792296,2.0,0.0,6,0
29,0905-3-hfx,2.0,word,1693887821.5000696,465.0000000000001,105.0,8.246211251235321,2.0,0.0,7,0
30,0905-3-hfx,2.0,word,1693887821.5312028,456.0,123.0,20.12461179749811,2.0,0.0,7,0
31,0905-3-hfx,2.0,word,1693887821.5634053,445.0,143.00000000000003,22.825424421026653,2.0,0.0,10,1
32,0905-3-hfx,2.0,word,1693887821.5956943,435.00000000000006,159.99999999999997,19.72308292331602,2.0,0.0,14,1
33,0905-3-hfx,2.0,word,1693887821.6272333,428.00000000000006,173.0,14.7648230602334,2.0,0.0,13,1
