index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0905-4-cjx,4,cali,1693894122.5057735,failed,failed,2.8284271247461903,22,0
0,0905-4-cjx,4,cali,1693894123.0494936,failed,failed,2.8284271247461903,22,0
0,0905-4-cjx,4,cali,1693894123.4337158,1265,276,2.8284271247461903,22,0
1,0905-4-cjx,4,cali,1693894123.4657493,1267,275,2.23606797749979,22,0
2,0905-4-cjx,4,cali,1693894123.4980462,1268,274,1.4142135623730951,22,0
3,0905-4-cjx,4,cali,1693894123.5302007,1269,274,1.0,22,0
4,0905-4-cjx,4,cali,1693894123.5613482,1269,274,0.0,22,0
5,0905-4-cjx,4,cali,1693894123.5934942,1270,274,1.0,22,0
6,0905-4-cjx,4,cali,1693894123.6257718,1270,274,0.0,22,0
7,0905-4-cjx,4,cali,1693894123.6416547,1270,274,0.0,22,0
8,0905-4-cjx,4,cali,1693894123.673882,1271,273,1.4142135623730951,22,0
9,0905-4-cjx,4,cali,1693894123.7060626,1271,273,0.0,22,0
10,0905-4-cjx,4,cali,1693894123.738065,1271,273,0.0,22,0
11,0905-4-cjx,4,cali,1693894123.769947,1271,273,0.0,22,0
12,0905-4-cjx,4,cali,1693894123.8012812,1271,273,0.0,22,0
13,0905-4-cjx,4,cali,1693894123.8337722,1271,274,1.0,22,0
14,0905-4-cjx,4,cali,1693894123.865897,1271,274,0.0,22,0
15,0905-4-cjx,4,cali,1693894123.8981912,1271,274,0.0,22,0
16,0905-4-cjx,4,cali,1693894123.9133074,1271,274,0.0,22,0
17,0905-4-cjx,4,cali,1693894123.9454641,1271,274,0.0,22,0
18,0905-4-cjx,4,cali,1693894123.977788,1272,274,1.0,22,0
19,0905-4-cjx,4,cali,1693894124.00927,1272,274,0.0,22,0
20,0905-4-cjx,4,cali,1693894124.041672,1272,274,0.0,22,0
21,0905-4-cjx,4,cali,1693894124.0738869,1272,274,0.0,22,0
22,0905-4-cjx,4,cali,1693894124.1061604,1272,273,1.0,22,0
23,0905-4-cjx,4,cali,1693894124.1380816,1273,273,1.0,22,0
24,0905-4-cjx,4,cali,1693894124.169389,1273,273,0.0,22,0
25,0905-4-cjx,4,cali,1693894124.1854663,1273,272,1.0,22,0
26,0905-4-cjx,4,cali,1693894124.2175384,1273,272,0.0,22,0
27,0905-4-cjx,4,cali,1693894124.249682,1273,272,0.0,22,0
28,0905-4-cjx,4,cali,1693894124.2818263,1274,272,1.0,22,0
29,0905-4-cjx,4,cali,1693894124.3142364,1274,271,1.0,22,0
30,0905-4-cjx,4,cali,1693894124.3454134,1274,271,0.0,22,0
31,0905-4-cjx,4,cali,1693894124.3775861,1275,271,1.0,22,0
32,0905-4-cjx,4,cali,1693894124.4097602,1275,270,1.0,22,0
33,0905-4-cjx,4,cali,1693894124.441732,1275,270,0.0,22,0
34,0905-4-cjx,4,cali,1693894124.4578426,1276,270,1.0,22,0
35,0905-4-cjx,4,cali,1693894124.4899404,1276,270,0.0,22,0
36,0905-4-cjx,4,cali,1693894124.5221472,1276,270,0.0,22,0
