original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-4-cjx,11.0,word,1693894785.0737286,829.9999999999999,463.99999999999983,14.866068747318506,28.0,0.0,11,3
1,0905-4-cjx,11.0,word,1693894785.0978787,838.0,458.0,10.0,28.0,0.0,11,3
2,0905-4-cjx,11.0,word,1693894785.1294775,844.0,451.0,9.219544457292889,28.0,0.0,11,3
3,0905-4-cjx,11.0,word,1693894785.161477,848.9999999999997,446.9999999999999,6.4031242374328485,28.0,0.0,11,3
4,0905-4-cjx,11.0,word,1693894785.1937473,851.9999999999999,443.9999999999999,4.242640687119285,28.0,0.0,11,3
5,0905-4-cjx,11.0,word,1693894785.225733,853.9999999999999,443.0,2.23606797749979,28.0,0.0,11,3
6,0905-4-cjx,11.0,word,1693894785.241733,855.9999999999999,440.9999999999999,2.8284271247461903,28.0,0.0,11,3
7,0905-4-cjx,11.0,word,1693894785.2738883,857.9999999999999,439.99999999999983,2.23606797749979,28.0,0.0,11,3
8,0905-4-cjx,11.0,word,1693894785.305387,859.0,439.0,1.4142135623730951,28.0,0.0,11,3
9,0905-4-cjx,11.0,word,1693894785.337412,859.9999999999999,437.9999999999999,1.4142135623730951,28.0,0.0,11,3
10,0905-4-cjx,11.0,word,1693894785.3695362,861.0,438.0,1.0,28.0,0.0,11,3
11,0905-4-cjx,11.0,word,1693894785.401652,845.0000000000001,425.0,20.615528128088304,28.0,0.0,12,3
12,0905-4-cjx,11.0,word,1693894785.4337957,798.9999999999999,397.0,53.85164807134504,28.0,0.0,2,2
13,0905-4-cjx,11.0,word,1693894785.465906,751.0000000000001,369.0,55.569775957799216,28.0,0.0,2,2
14,0905-4-cjx,11.0,word,1693894785.4979117,716.0000000000001,348.0,40.8166632639171,28.0,0.0,4,1
15,0905-4-cjx,11.0,word,1693894785.513882,693.0,332.99999999999994,27.459060435491963,28.0,0.0,4,1
16,0905-4-cjx,11.0,word,1693894785.5452423,676.9999999999999,320.99999999999994,20.0,28.0,0.0,5,1
17,0905-4-cjx,11.0,word,1693894785.5775554,668.0000000000001,313.0,12.041594578792296,28.0,0.0,5,1
18,0905-4-cjx,11.0,word,1693894785.6098928,644.0,308.99999999999994,24.33105012119288,28.0,0.0,6,1
19,0905-4-cjx,11.0,word,1693894785.6420972,617.0000000000001,304.00000000000006,27.459060435491963,28.0,0.0,6,1
20,0905-4-cjx,11.0,word,1693894785.6741226,597.9999999999999,299.99999999999994,19.4164878389476,28.0,0.0,4,1
21,0905-4-cjx,11.0,word,1693894785.7060976,582.9999999999999,296.99999999999994,15.297058540778355,28.0,0.0,4,0
22,0905-4-cjx,11.0,word,1693894785.7376783,579.9999999999999,319.0,22.20360331117452,28.0,0.0,3,1
23,0905-4-cjx,11.0,word,1693894785.8495529,606.9999999999999,406.99999999999983,92.04890004774636,28.0,0.0,4,2
24,0905-4-cjx,11.0,word,1693894785.8816512,610.9999999999999,402.0,6.4031242374328485,28.0,0.0,4,2
