original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
1,0905-5-lyy,8.0,word,1693897481.1849952,1121.0000000000005,466.00000000000017,511.57501893661697,8.0,0.0,0,5
2,0905-5-lyy,8.0,word,1693897481.2176075,1070.0000000000002,267.00000000000006,205.43125370790105,8.0,0.0,1,3
3,0905-5-lyy,8.0,word,1693897481.2495852,1055.0000000000002,207.00000000000009,61.84658438426491,8.0,0.0,6,2
4,0905-5-lyy,8.0,word,1693897481.281607,1053.0000000000002,188.0,19.1049731745428,8.0,0.0,5,1
5,0905-5-lyy,8.0,word,1693897481.3136532,1048.0,183.0,7.071067811865476,8.0,0.0,5,1
6,0905-5-lyy,8.0,word,1693897481.3448818,1046.0,186.00000000000009,3.605551275463989,8.0,0.0,5,1
7,0905-5-lyy,8.0,word,1693897481.3768818,1048.0000000000002,188.00000000000003,2.8284271247461903,8.0,0.0,5,1
8,0905-5-lyy,8.0,word,1693897481.408882,1037.0000000000002,186.0,11.180339887498947,8.0,0.0,5,1
9,0905-5-lyy,8.0,word,1693897481.4248834,950.0,182.0,87.09190547921202,8.0,0.0,0,1
10,0905-5-lyy,8.0,word,1693897481.456882,834.9999999999999,173.99999999999991,115.27792503337317,8.0,0.0,0,1
11,0905-5-lyy,8.0,word,1693897481.488881,762.9999999999999,169.99999999999997,72.11102550927978,8.0,0.0,1,1
12,0905-5-lyy,8.0,word,1693897481.521051,719.0,166.99999999999997,44.10215414239989,8.0,0.0,5,1
13,0905-5-lyy,8.0,word,1693897481.5533955,695.0,164.0,24.186773244895647,8.0,0.0,5,1
14,0905-5-lyy,8.0,word,1693897481.584787,680.0000000000001,161.99999999999994,15.132745950421556,8.0,0.0,6,1
15,0905-5-lyy,8.0,word,1693897481.6173942,671.0,161.0,9.055385138137416,8.0,0.0,6,1
16,0905-5-lyy,8.0,word,1693897481.6497593,667.0,161.0,4.0,8.0,0.0,6,1
17,0905-5-lyy,8.0,word,1693897481.664808,649.9999999999999,159.99999999999997,17.029386365926403,8.0,0.0,6,1
18,0905-5-lyy,8.0,word,1693897481.697096,618.0000000000001,155.99999999999997,32.2490309931942,8.0,0.0,6,1
19,0905-5-lyy,8.0,word,1693897481.729097,590.0000000000001,152.99999999999997,28.16025568065745,8.0,0.0,9,1
20,0905-5-lyy,8.0,word,1693897481.7612114,568.0,149.00000000000009,22.36067977499789,8.0,0.0,8,1
21,0905-5-lyy,8.0,word,1693897481.793117,554.0,145.99999999999994,14.317821063276352,8.0,0.0,7,1
22,0905-5-lyy,8.0,word,1693897481.826603,543.0,145.99999999999994,11.0,8.0,0.0,7,1
23,0905-5-lyy,8.0,word,1693897481.8567774,536.0,145.0,7.071067811865476,8.0,0.0,6,1
24,0905-5-lyy,8.0,word,1693897481.8889315,531.0,145.00000000000003,5.0,8.0,0.0,6,1
25,0905-5-lyy,8.0,word,1693897481.9053342,529.0000000000001,150.99999999999994,6.324555320336759,8.0,0.0,6,1
26,0905-5-lyy,8.0,word,1693897481.937404,559.9999999999999,207.00000000000003,64.00781202322104,8.0,0.0,0,2
27,0905-5-lyy,8.0,word,1693897481.9697075,687.0,424.00000000000006,251.4318993286253,8.0,0.0,1,5
41,0905-5-lyy,8.0,word,1693897482.4009347,690.9999999999998,392.0000000000001,396.8500976439341,8.0,0.0,1,4
42,0905-5-lyy,8.0,word,1693897482.433165,595.9999999999999,253.0,168.36270370839262,8.0,0.0,1,2
43,0905-5-lyy,8.0,word,1693897482.4492292,560.0,202.0,62.42595614005443,8.0,0.0,8,1
44,0905-5-lyy,8.0,word,1693897482.481317,546.0,183.00000000000003,23.600847442411894,8.0,0.0,7,1
45,0905-5-lyy,8.0,word,1693897482.5146203,540.0000000000001,177.00000000000003,8.48528137423857,8.0,0.0,7,1
46,0905-5-lyy,8.0,word,1693897482.5449755,540.9999999999999,178.0,1.4142135623730951,8.0,0.0,7,1
47,0905-5-lyy,8.0,word,1693897482.5772777,536.0000000000001,184.0,7.810249675906654,8.0,0.0,7,1
48,0905-5-lyy,8.0,word,1693897482.60964,519.0,192.0,18.788294228055936,8.0,0.0,7,1
49,0905-5-lyy,8.0,word,1693897482.6415713,506.0,192.0,13.0,8.0,0.0,7,1
50,0905-5-lyy,8.0,word,1693897482.817608,539.0,235.00000000000003,54.20332093147061,8.0,0.0,14,2
51,0905-5-lyy,8.0,word,1693897482.848778,513.0,257.00000000000006,34.058772731852805,8.0,0.0,6,2
52,0905-5-lyy,8.0,word,1693897482.880957,509.00000000000006,247.0,10.770329614269007,8.0,0.0,10,2
53,0905-5-lyy,8.0,word,1693897482.9129963,502.00000000000006,231.0,17.46424919657298,8.0,0.0,15,2
54,0905-5-lyy,8.0,word,1693897482.9455004,494.00000000000006,221.0,12.806248474865695,8.0,0.0,19,2
55,0905-5-lyy,8.0,word,1693897482.97681,489.0,212.0,10.295630140987,8.0,0.0,21,2
56,0905-5-lyy,8.0,word,1693897483.008966,486.00000000000006,205.00000000000009,7.615773105863909,8.0,0.0,22,2
57,0905-5-lyy,8.0,word,1693897483.0249608,482.9999999999999,199.00000000000003,6.708203932499369,8.0,0.0,14,1
58,0905-5-lyy,8.0,word,1693897483.0571115,480.0000000000001,195.00000000000003,5.0,8.0,0.0,15,1
59,0905-5-lyy,8.0,word,1693897483.0892482,479.0,190.00000000000003,5.0990195135927845,8.0,0.0,14,1
60,0905-5-lyy,8.0,word,1693897483.121519,479.0,184.00000000000003,6.0,8.0,0.0,14,1
61,0905-5-lyy,8.0,word,1693897483.1527276,479.0,178.00000000000003,6.0,8.0,0.0,14,1
62,0905-5-lyy,8.0,word,1693897483.184785,480.0,173.0000000000001,5.0990195135927845,8.0,0.0,14,1
63,0905-5-lyy,8.0,word,1693897483.2169409,480.0,167.00000000000006,6.0,8.0,0.0,13,1
64,0905-5-lyy,8.0,word,1693897483.2493153,478.0,160.00000000000003,7.280109889280518,8.0,0.0,13,1
65,0905-5-lyy,8.0,word,1693897483.2653947,477.0,153.00000000000006,7.071067811865476,8.0,0.0,12,1
66,0905-5-lyy,8.0,word,1693897483.2976873,477.0,146.99999999999991,6.0,8.0,0.0,11,1
67,0905-5-lyy,8.0,word,1693897483.3289742,499.0,136.0,24.596747752497688,8.0,0.0,9,0
68,0905-5-lyy,8.0,word,1693897483.3610854,581.0,114.99999999999994,84.64632301523794,8.0,0.0,0,0
69,0905-5-lyy,8.0,word,1693897483.3932054,676.0000000000001,103.0,95.75489543621256,8.0,0.0,0,0
70,0905-5-lyy,8.0,word,1693897483.4248717,747.0000000000001,97.0,71.25307010929424,8.0,0.0,1,0
71,0905-5-lyy,8.0,word,1693897483.457064,794.0000000000001,92.0,47.265209192385896,8.0,0.0,9,0
72,0905-5-lyy,8.0,word,1693897483.4890416,820.9999999999999,90.00000000000003,27.073972741361768,8.0,0.0,7,0
73,0905-5-lyy,8.0,word,1693897483.5215757,838.0000000000002,90.00000000000007,17.0,8.0,0.0,6,0
74,0905-5-lyy,8.0,word,1693897483.552826,849.0,90.99999999999996,11.04536101718726,8.0,0.0,6,0
75,0905-5-lyy,8.0,word,1693897483.5690782,817.9999999999999,92.0,31.016124838541646,8.0,0.0,7,0
76,0905-5-lyy,8.0,word,1693897483.600978,798.0000000000001,93.00000000000004,20.024984394500787,8.0,0.0,9,0
77,0905-5-lyy,8.0,word,1693897483.632965,786.0,93.99999999999996,12.041594578792296,8.0,0.0,9,0
78,0905-5-lyy,8.0,word,1693897483.665135,768.0,96.00000000000004,18.110770276274835,8.0,0.0,5,0
79,0905-5-lyy,8.0,word,1693897483.6973915,747.0,99.0,21.213203435596427,8.0,0.0,4,0
80,0905-5-lyy,8.0,word,1693897483.730646,721.0000000000001,103.00000000000004,26.30589287593181,8.0,0.0,3,0
81,0905-5-lyy,8.0,word,1693897483.7607353,671.0000000000002,107.00000000000004,50.15974481593781,8.0,0.0,2,0
82,0905-5-lyy,8.0,word,1693897483.792735,623.0000000000001,110.00000000000004,48.0936586256442,8.0,0.0,3,0
83,0905-5-lyy,8.0,word,1693897483.824838,586.0,110.99999999999996,37.01351104664349,8.0,0.0,5,0
84,0905-5-lyy,8.0,word,1693897483.8409042,560.0000000000001,113.0,26.0768096208106,8.0,0.0,10,0
85,0905-5-lyy,8.0,word,1693897483.872812,542.9999999999999,113.0,17.0,8.0,0.0,9,0
86,0905-5-lyy,8.0,word,1693897483.9048378,532.0000000000002,114.00000000000004,11.04536101718726,8.0,0.0,8,0
