username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0905-6-jc,36.0,word,1693901821.9843793,41.0,27.0,28.16025568065745,15.0,0.0
0905-6-jc,36.0,word,1693901822.0005236,90.0,43.0,51.54609587543949,15.0,0.0
0905-6-jc,36.0,word,1693901822.0319314,138.0,58.0,50.28916384272063,15.0,0.0
0905-6-jc,36.0,word,1693901822.063839,175.0,70.0,38.897300677553446,15.0,0.0
0905-6-jc,36.0,word,1693901822.0958457,199.0,77.0,25.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.1279576,214.0,81.0,15.524174696260024,15.0,0.0
0905-6-jc,36.0,word,1693901822.1602292,226.0,85.0,12.649110640673518,15.0,0.0
0905-6-jc,36.0,word,1693901822.1921115,274.0,115.0,56.60388679233962,15.0,0.0
0905-6-jc,36.0,word,1693901822.2243848,326.0,148.0,61.587336360651285,15.0,0.0
0905-6-jc,36.0,word,1693901822.2402697,362.0,174.0,44.40720662234904,15.0,0.0
0905-6-jc,36.0,word,1693901822.2723005,385.0,190.0,28.0178514522438,15.0,0.0
0905-6-jc,36.0,word,1693901822.3043847,390.0,190.0,5.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.336293,392.0,189.0,2.23606797749979,15.0,0.0
0905-6-jc,36.0,word,1693901822.36773,391.0,188.0,1.4142135623730951,15.0,0.0
0905-6-jc,36.0,word,1693901822.4001544,392.0,188.0,1.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.4322944,392.0,187.0,1.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.463538,392.0,188.0,1.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.4955778,392.0,187.0,1.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.5275774,392.0,187.0,0.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.5435762,393.0,188.0,1.4142135623730951,15.0,0.0
0905-6-jc,36.0,word,1693901822.5756032,404.0,189.0,11.04536101718726,15.0,0.0
0905-6-jc,36.0,word,1693901822.6076024,426.0,186.0,22.20360331117452,15.0,0.0
0905-6-jc,36.0,word,1693901822.639886,448.0,182.0,22.360679774997894,15.0,0.0
0905-6-jc,36.0,word,1693901822.6720517,468.0,180.0,20.09975124224178,15.0,0.0
0905-6-jc,36.0,word,1693901822.7041986,484.0,177.0,16.278820596099706,15.0,0.0
0905-6-jc,36.0,word,1693901822.7361608,498.0,176.0,14.0356688476182,15.0,0.0
0905-6-jc,36.0,word,1693901822.76813,508.0,176.0,10.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.80013,516.0,176.0,8.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.8163152,539.0,174.0,23.08679276123039,15.0,0.0
0905-6-jc,36.0,word,1693901822.8482983,566.0,173.0,27.018512172212592,15.0,0.0
0905-6-jc,36.0,word,1693901822.8804731,586.0,171.0,20.09975124224178,15.0,0.0
0905-6-jc,36.0,word,1693901822.9115405,602.0,171.0,16.0,15.0,0.0
0905-6-jc,36.0,word,1693901822.9438117,615.0,170.0,13.038404810405298,15.0,0.0
0905-6-jc,36.0,word,1693901822.97637,623.0,170.0,8.0,15.0,0.0
0905-6-jc,36.0,word,1693901823.008371,620.0,170.0,3.0,15.0,0.0
0905-6-jc,36.0,word,1693901823.0404816,617.0,170.0,3.0,15.0,0.0
