original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-6-jc,38.0,word,1693901895.7855196,336.0000000000001,184.0,2.23606797749979,38.0,0.0,10,0
1,0905-6-jc,38.0,word,1693901895.807661,335.9999999999999,184.9999999999999,1.0,38.0,0.0,10,0
2,0905-6-jc,38.0,word,1693901895.8400474,335.0,185.0,1.0,38.0,0.0,10,0
3,0905-6-jc,38.0,word,1693901895.856046,333.9999999999999,185.00000000000003,1.0,38.0,0.0,10,0
4,0905-6-jc,38.0,word,1693901895.888318,333.9999999999999,185.00000000000003,0.0,38.0,0.0,10,0
5,0905-6-jc,38.0,word,1693901895.9202166,332.99999999999994,184.99999999999991,1.0,38.0,0.0,10,0
6,0905-6-jc,38.0,word,1693901895.952197,332.99999999999994,184.99999999999991,0.0,38.0,0.0,10,0
7,0905-6-jc,38.0,word,1693901895.9842029,335.00000000000006,186.0,2.23606797749979,38.0,0.0,10,0
8,0905-6-jc,38.0,word,1693901896.0162306,347.99999999999994,186.99999999999991,13.038404810405298,38.0,0.0,10,0
9,0905-6-jc,38.0,word,1693901896.048396,369.0,188.0,21.02379604162864,38.0,0.0,11,0
10,0905-6-jc,38.0,word,1693901896.0797224,392.9999999999999,189.0,24.020824298928627,38.0,0.0,18,0
11,0905-6-jc,38.0,word,1693901896.111903,415.9999999999999,192.0,23.194827009486403,38.0,0.0,10,0
12,0905-6-jc,38.0,word,1693901896.1278784,433.9999999999999,193.0,18.027756377319943,38.0,0.0,11,0
13,0905-6-jc,38.0,word,1693901896.1599045,439.9999999999999,192.0,6.082762530298219,38.0,0.0,11,0
14,0905-6-jc,38.0,word,1693901896.1918786,443.0,191.0,3.1622776601683795,38.0,0.0,12,0
15,0905-6-jc,38.0,word,1693901896.224169,446.0,190.99999999999991,3.0,38.0,0.0,12,0
16,0905-6-jc,38.0,word,1693901896.2561696,447.0000000000001,190.0,1.4142135623730951,38.0,0.0,12,0
17,0905-6-jc,38.0,word,1693901896.288169,448.99999999999983,190.0,2.0,38.0,0.0,12,0
18,0905-6-jc,38.0,word,1693901896.320371,454.0,190.0,5.0,38.0,0.0,13,0
19,0905-6-jc,38.0,word,1693901896.3515458,467.9999999999999,190.0,14.0,38.0,0.0,16,0
20,0905-6-jc,38.0,word,1693901896.38356,481.0,190.0,13.0,38.0,0.0,18,0
21,0905-6-jc,38.0,word,1693901896.3995595,493.99999999999983,189.0,13.038404810405298,38.0,0.0,18,0
22,0905-6-jc,38.0,word,1693901896.4317598,504.9999999999999,188.00000000000003,11.04536101718726,38.0,0.0,17,0
23,0905-6-jc,38.0,word,1693901896.4637463,514.0,188.0,9.0,38.0,0.0,13,0
24,0905-6-jc,38.0,word,1693901896.4957342,519.9999999999999,189.0,6.082762530298219,38.0,0.0,12,0
25,0905-6-jc,38.0,word,1693901896.5277348,525.0000000000001,189.00000000000003,5.0,38.0,0.0,13,0
26,0905-6-jc,38.0,word,1693901896.55993,528.9999999999999,190.00000000000009,4.123105625617661,38.0,0.0,13,0
27,0905-6-jc,38.0,word,1693901896.592018,531.9999999999999,190.0,3.0,38.0,0.0,13,0
28,0905-6-jc,38.0,word,1693901896.6241405,534.0,191.0,2.23606797749979,38.0,0.0,12,0
29,0905-6-jc,38.0,word,1693901896.65632,537.0,192.0,3.1622776601683795,38.0,0.0,12,0
30,0905-6-jc,38.0,word,1693901896.6723204,539.0000000000001,192.0,2.0,38.0,0.0,12,0
31,0905-6-jc,38.0,word,1693901896.7043502,560.0,190.0,21.095023109728988,38.0,0.0,11,0
32,0905-6-jc,38.0,word,1693901896.7364328,587.0,187.0,27.16615541441225,38.0,0.0,10,0
33,0905-6-jc,38.0,word,1693901896.768432,611.9999999999999,185.00000000000003,25.079872407968907,38.0,0.0,18,0
34,0905-6-jc,38.0,word,1693901896.8003497,630.9999999999998,184.0,19.026297590440446,38.0,0.0,14,0
35,0905-6-jc,38.0,word,1693901896.832322,644.0,182.0,13.152946437965904,38.0,0.0,13,0
36,0905-6-jc,38.0,word,1693901896.864431,652.9999999999999,179.00000000000006,9.486832980505138,38.0,0.0,11,0
37,0905-6-jc,38.0,word,1693901896.895591,648.9999999999999,179.99999999999994,4.123105625617661,38.0,0.0,12,0
38,0905-6-jc,38.0,word,1693901896.9275465,642.9999999999999,181.0,6.082762530298219,38.0,0.0,13,0
39,0905-6-jc,38.0,word,1693901896.9445145,638.9999999999999,183.0,4.47213595499958,38.0,0.0,13,0
40,0905-6-jc,38.0,word,1693901896.9760594,633.9999999999998,183.0,5.0,38.0,0.0,14,0
41,0905-6-jc,38.0,word,1693901897.008405,625.9999999999998,183.9999999999999,8.06225774829855,38.0,0.0,15,0
42,0905-6-jc,38.0,word,1693901897.0395443,615.9999999999999,186.0,10.198039027185567,38.0,0.0,17,0
43,0905-6-jc,38.0,word,1693901897.0720098,602.9999999999999,188.0,13.152946437965904,38.0,0.0,19,0
44,0905-6-jc,38.0,word,1693901897.1044557,592.0,191.0,11.40175425099138,38.0,0.0,26,0
45,0905-6-jc,38.0,word,1693901897.1356938,581.9999999999999,192.0,10.04987562112089,38.0,0.0,16,0
46,0905-6-jc,38.0,word,1693901897.1679776,573.0,194.0,9.219544457292889,38.0,0.0,20,0
47,0905-6-jc,38.0,word,1693901897.1999807,565.0,195.00000000000003,8.06225774829855,38.0,0.0,34,0
48,0905-6-jc,38.0,word,1693901897.215978,559.9999999999999,195.9999999999999,5.0990195135927845,38.0,0.0,35,0
49,0905-6-jc,38.0,word,1693901897.248249,552.0000000000001,198.0,8.246211251235321,38.0,0.0,36,0
50,0905-6-jc,38.0,word,1693901897.2803638,542.9999999999999,198.0,9.0,38.0,0.0,66,0
51,0905-6-jc,38.0,word,1693901897.3125062,535.9999999999999,199.00000000000003,7.071067811865476,38.0,0.0,64,0
52,0905-6-jc,38.0,word,1693901897.3436434,529.9999999999999,199.0,6.0,38.0,0.0,63,0
53,0905-6-jc,38.0,word,1693901897.3756316,524.9999999999999,199.0,5.0,38.0,0.0,62,0
54,0905-6-jc,38.0,word,1693901897.4076617,520.9999999999999,199.0,4.0,38.0,0.0,61,0
55,0905-6-jc,38.0,word,1693901897.4396534,517.9999999999999,199.00000000000009,3.0,38.0,0.0,60,0
56,0905-6-jc,38.0,word,1693901897.471656,516.0,199.0,2.0,38.0,0.0,60,0
57,0905-6-jc,38.0,word,1693901897.487747,513.9999999999999,199.00000000000003,2.0,38.0,0.0,59,0
58,0905-6-jc,38.0,word,1693901897.5198088,512.9999999999999,199.0,1.0,38.0,0.0,59,0
59,0905-6-jc,38.0,word,1693901897.5518105,510.9999999999999,198.99999999999991,2.0,38.0,0.0,59,0
60,0905-6-jc,38.0,word,1693901897.584207,509.99999999999983,199.0,1.0,38.0,0.0,59,0
61,0905-6-jc,38.0,word,1693901897.6165824,509.0,198.99999999999991,1.0,38.0,0.0,58,0
62,0905-6-jc,38.0,word,1693901897.6477387,506.99999999999983,199.0,2.0,38.0,0.0,57,0
63,0905-6-jc,38.0,word,1693901897.6798716,509.9999999999999,197.99999999999991,3.1622776601683795,38.0,0.0,59,0
64,0905-6-jc,38.0,word,1693901897.7121978,512.0,198.0,2.0,38.0,0.0,59,0
