original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
3,0905-6-ym,7.0,word,1693902689.070554,981.9999999999998,133.99999999999997,14.0,7.0,0.0,5,0
4,0905-6-ym,7.0,word,1693902689.1016293,980.9999999999998,144.99999999999994,11.04536101718726,7.0,0.0,5,0
5,0905-6-ym,7.0,word,1693902689.1340768,981.0,152.99999999999997,8.0,7.0,0.0,5,0
6,0905-6-ym,7.0,word,1693902689.1660776,981.0,158.99999999999997,6.0,7.0,0.0,5,0
7,0905-6-ym,7.0,word,1693902689.1984355,980.0,162.0,3.1622776601683795,7.0,0.0,5,0
8,0905-6-ym,7.0,word,1693902689.2303374,971.0,163.0,9.055385138137416,7.0,0.0,5,0
9,0905-6-ym,7.0,word,1693902689.2624311,896.0,175.0,75.95393340703298,7.0,0.0,0,0
10,0905-6-ym,7.0,word,1693902689.2943614,794.9999999999998,190.0,102.1077861869505,7.0,0.0,0,0
11,0905-6-ym,7.0,word,1693902689.3256326,723.0,198.0,72.44308110509934,7.0,0.0,1,0
12,0905-6-ym,7.0,word,1693902689.341648,680.0,202.00000000000003,43.18564576337837,7.0,0.0,3,0
13,0905-6-ym,7.0,word,1693902689.3756475,655.0,203.0,25.019992006393608,7.0,0.0,2,0
14,0905-6-ym,7.0,word,1693902689.405649,620.0000000000001,211.0,35.90264614203248,7.0,0.0,4,0
15,0905-6-ym,7.0,word,1693902689.438038,585.9999999999999,215.00000000000003,34.23448553724738,7.0,0.0,18,0
16,0905-6-ym,7.0,word,1693902689.4695013,564.9999999999999,218.99999999999991,21.37755832643195,7.0,0.0,18,0
17,0905-6-ym,7.0,word,1693902689.501811,554.0,220.00000000000003,11.04536101718726,7.0,0.0,17,0
18,0905-6-ym,7.0,word,1693902689.534114,546.9999999999999,221.0,7.071067811865476,7.0,0.0,17,0
19,0905-6-ym,7.0,word,1693902689.5662842,543.0,223.0,4.47213595499958,7.0,0.0,17,0
20,0905-6-ym,7.0,word,1693902689.597767,539.0,223.0,4.0,7.0,0.0,17,0
21,0905-6-ym,7.0,word,1693902689.6138957,537.9999999999999,223.0,1.0,7.0,0.0,17,0
22,0905-6-ym,7.0,word,1693902689.646253,536.9999999999999,224.00000000000009,1.4142135623730951,7.0,0.0,17,0
23,0905-6-ym,7.0,word,1693902689.6775503,534.9999999999999,224.0,2.0,7.0,0.0,17,0
24,0905-6-ym,7.0,word,1693902689.709881,533.9999999999999,224.0,1.0,7.0,0.0,17,0
25,0905-6-ym,7.0,word,1693902689.7420306,532.9999999999999,225.0,1.4142135623730951,7.0,0.0,17,0
26,0905-6-ym,7.0,word,1693902689.7742562,532.0,224.00000000000003,1.4142135623730951,7.0,0.0,17,0
27,0905-6-ym,7.0,word,1693902689.8064563,535.9999999999999,223.00000000000003,4.123105625617661,7.0,0.0,17,0
28,0905-6-ym,7.0,word,1693902689.837602,538.9999999999999,222.00000000000003,3.1622776601683795,7.0,0.0,17,0
29,0905-6-ym,7.0,word,1693902689.8697069,544.9999999999999,222.0,6.0,7.0,0.0,17,0
30,0905-6-ym,7.0,word,1693902689.8860812,550.9999999999999,220.0,6.324555320336759,7.0,0.0,17,0
31,0905-6-ym,7.0,word,1693902689.9181185,559.0,220.0,8.0,7.0,0.0,18,0
32,0905-6-ym,7.0,word,1693902689.9503906,574.9999999999999,219.0,16.0312195418814,7.0,0.0,18,0
33,0905-6-ym,7.0,word,1693902689.9816947,679.0,209.0,104.47966309287182,7.0,0.0,0,0
34,0905-6-ym,7.0,word,1693902690.01361,799.9999999999999,198.0,121.49897118905989,7.0,0.0,0,0
35,0905-6-ym,7.0,word,1693902690.0455823,876.9999999999999,190.0,77.41446893184762,7.0,0.0,1,0
36,0905-6-ym,7.0,word,1693902690.0776906,920.0,188.0,43.04648650006177,7.0,0.0,12,0
37,0905-6-ym,7.0,word,1693902690.1097314,944.0,188.0,24.0,7.0,0.0,12,0
38,0905-6-ym,7.0,word,1693902690.1420982,958.9999999999998,188.0,15.0,7.0,0.0,12,0
39,0905-6-ym,7.0,word,1693902690.1583395,967.0,188.0,8.0,7.0,0.0,12,0
40,0905-6-ym,7.0,word,1693902690.1903963,971.0,188.0,4.0,7.0,0.0,12,0
41,0905-6-ym,7.0,word,1693902690.2218006,969.0,189.0,2.23606797749979,7.0,0.0,12,0
42,0905-6-ym,7.0,word,1693902690.2541783,958.0000000000002,191.0,11.180339887498947,7.0,0.0,12,0
43,0905-6-ym,7.0,word,1693902690.2863114,951.0,192.0,7.071067811865476,7.0,0.0,12,0
44,0905-6-ym,7.0,word,1693902690.317526,947.0,193.0,4.123105625617661,7.0,0.0,12,0
45,0905-6-ym,7.0,word,1693902690.3499217,945.0,194.0,2.23606797749979,7.0,0.0,12,0
46,0905-6-ym,7.0,word,1693902690.3820236,944.0,194.0,1.0,7.0,0.0,12,0
47,0905-6-ym,7.0,word,1693902690.4141366,962.9999999999995,194.99999999999991,19.026297590440446,7.0,0.0,12,0
48,0905-6-ym,7.0,word,1693902690.4301665,1004.9999999999998,198.0,42.1070065428546,7.0,0.0,12,0
49,0905-6-ym,7.0,word,1693902690.4621377,1046.9999999999998,201.0,42.1070065428546,7.0,0.0,3,0
50,0905-6-ym,7.0,word,1693902690.493526,1077.0,204.0,30.14962686336267,7.0,0.0,3,0
51,0905-6-ym,7.0,word,1693902690.5254967,1100.9999999999998,206.0,24.08318915758459,7.0,0.0,3,0
52,0905-6-ym,7.0,word,1693902690.557644,1125.9999999999998,210.0,25.317977802344327,7.0,0.0,3,0
53,0905-6-ym,7.0,word,1693902690.5898974,1177.0,215.00000000000003,51.24451190127583,7.0,0.0,2,0
54,0905-6-ym,7.0,word,1693902690.6220548,1220.0,221.0,43.41658669218482,7.0,0.0,3,0
55,0905-6-ym,7.0,word,1693902690.6539652,1245.9999999999998,225.00000000000003,26.30589287593181,7.0,0.0,3,0
56,0905-6-ym,7.0,word,1693902690.6859574,1262.0000000000002,229.00000000000003,16.492422502470642,7.0,0.0,3,0
57,0905-6-ym,7.0,word,1693902690.7020535,1293.9999999999998,235.00000000000003,32.55764119219941,7.0,0.0,2,0
58,0905-6-ym,7.0,word,1693902690.7340896,1361.9999999999998,243.0,68.46897107449476,7.0,0.0,1,0
59,0905-6-ym,7.0,word,1693902690.7657108,1416.9999999999998,249.00000000000003,55.326304774492215,7.0,0.0,5,0
60,0905-6-ym,7.0,word,1693902690.797711,1448.0,253.0,31.25699921617557,7.0,0.0,11,0
61,0905-6-ym,7.0,word,1693902690.8298614,1464.9999999999998,254.0,17.029386365926403,7.0,0.0,12,0
62,0905-6-ym,7.0,word,1693902690.862087,1474.9999999999998,253.0,10.04987562112089,7.0,0.0,15,0
63,0905-6-ym,7.0,word,1693902690.8942268,1480.0,252.0,5.0990195135927845,7.0,0.0,15,0
64,0905-6-ym,7.0,word,1693902690.926373,1483.9999999999995,251.0,4.123105625617661,7.0,0.0,14,0
65,0905-6-ym,7.0,word,1693902690.9423497,1486.9999999999998,250.0,3.1622776601683795,7.0,0.0,14,0
66,0905-6-ym,7.0,word,1693902690.9737947,1487.9999999999998,250.0,1.0,7.0,0.0,14,0
67,0905-6-ym,7.0,word,1693902691.0062392,1489.9999999999995,250.0,2.0,7.0,0.0,14,0
68,0905-6-ym,7.0,word,1693902691.037729,1491.0,249.00000000000009,1.4142135623730951,7.0,0.0,14,0
