original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
0,0905-6-ym,14.0,word,1693903077.8213778,829.9999999999999,360.00000000000006,2.23606797749979,34.0,0.0,10
1,0905-6-ym,14.0,word,1693903077.838493,828.9999999999999,359.00000000000006,1.4142135623730951,34.0,0.0,10
2,0905-6-ym,14.0,word,1693903077.8704066,828.0,359.0,1.0,34.0,0.0,10
3,0905-6-ym,14.0,word,1693903077.9024324,826.9999999999999,359.0,1.0,34.0,0.0,10
4,0905-6-ym,14.0,word,1693903077.933563,826.9999999999998,357.99999999999994,1.0,34.0,0.0,10
5,0905-6-ym,14.0,word,1693903077.9657073,826.0,357.00000000000017,1.4142135623730951,34.0,0.0,10
6,0905-6-ym,14.0,word,1693903077.9979837,826.0,358.0000000000001,1.0,34.0,0.0,10
7,0905-6-ym,14.0,word,1693903078.0303595,825.0000000000001,357.00000000000006,1.4142135623730951,34.0,0.0,10
8,0905-6-ym,14.0,word,1693903078.0623286,809.9999999999999,343.99999999999994,19.849433241279208,34.0,0.0,10
9,0905-6-ym,14.0,word,1693903078.093747,785.9999999999999,323.0,31.89043743820395,34.0,0.0,5
10,0905-6-ym,14.0,word,1693903078.1096334,764.0,303.0,29.73213749463701,34.0,0.0,8
11,0905-6-ym,14.0,word,1693903078.1416347,747.0,287.00000000000006,23.345235059857504,34.0,0.0,7
12,0905-6-ym,14.0,word,1693903078.1740773,734.0,276.0000000000001,17.029386365926403,34.0,0.0,5
13,0905-6-ym,14.0,word,1693903078.205963,704.0,272.00000000000006,30.26549190084312,34.0,0.0,7
14,0905-6-ym,14.0,word,1693903078.238077,664.9999999999999,269.00000000000006,39.11521443121589,34.0,0.0,7
15,0905-6-ym,14.0,word,1693903078.2702866,641.0,269.00000000000006,24.0,34.0,0.0,7
16,0905-6-ym,14.0,word,1693903078.3024657,624.0,267.00000000000006,17.11724276862369,34.0,0.0,6
17,0905-6-ym,14.0,word,1693903078.3337798,611.9999999999999,265.99999999999994,12.041594578792296,34.0,0.0,5
18,0905-6-ym,14.0,word,1693903078.3662755,628.0,259.0,17.46424919657298,34.0,0.0,7
19,0905-6-ym,14.0,word,1693903078.3823028,658.9999999999999,251.00000000000003,32.01562118716424,34.0,0.0,7
20,0905-6-ym,14.0,word,1693903078.4136434,687.9999999999999,245.0,29.61418578992169,34.0,0.0,7
21,0905-6-ym,14.0,word,1693903078.4456434,714.0000000000001,238.0,26.92582403567252,34.0,0.0,5
22,0905-6-ym,14.0,word,1693903078.477836,736.0000000000001,232.00000000000003,22.80350850198276,34.0,0.0,3
23,0905-6-ym,14.0,word,1693903078.510353,753.9999999999998,228.0,18.43908891458577,34.0,0.0,3
24,0905-6-ym,14.0,word,1693903078.5416305,780.9999999999999,224.00000000000003,27.29468812791236,34.0,0.0,3
25,0905-6-ym,14.0,word,1693903078.5736065,817.0000000000001,220.0,36.22154055254967,34.0,0.0,3
