index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0,0905-7-lxt,4,cali,1693908470.1575227,failed,failed,2.0,11,1
0,0905-7-lxt,4,cali,1693908470.2061489,860,325,1.0,11,1
1,0905-7-lxt,4,cali,1693908470.2374163,859,326,1.4142135623730951,11,1
2,0905-7-lxt,4,cali,1693908470.2693877,859,327,1.0,11,1
3,0905-7-lxt,4,cali,1693908470.301564,859,327,0.0,11,1
4,0905-7-lxt,4,cali,1693908470.333747,859,327,0.0,11,1
5,0905-7-lxt,4,cali,1693908470.365849,859,327,0.0,11,1
6,0905-7-lxt,4,cali,1693908470.3978422,859,327,0.0,11,1
7,0905-7-lxt,4,cali,1693908470.4299774,859,328,1.0,11,1
8,0905-7-lxt,4,cali,1693908470.4461987,858,328,1.0,11,1
9,0905-7-lxt,4,cali,1693908470.477466,858,328,0.0,11,1
10,0905-7-lxt,4,cali,1693908470.5098355,858,328,0.0,11,1
11,0905-7-lxt,4,cali,1693908470.5420222,858,328,0.0,11,1
12,0905-7-lxt,4,cali,1693908470.5739887,858,328,0.0,11,1
13,0905-7-lxt,4,cali,1693908470.605294,858,328,0.0,11,1
14,0905-7-lxt,4,cali,1693908470.6374521,858,328,0.0,11,1
15,0905-7-lxt,4,cali,1693908470.6696842,858,327,1.0,11,1
16,0905-7-lxt,4,cali,1693908470.7017465,858,328,1.0,11,1
17,0905-7-lxt,4,cali,1693908470.7178695,858,328,0.0,11,1
18,0905-7-lxt,4,cali,1693908470.7498791,858,327,1.0,11,1
19,0905-7-lxt,4,cali,1693908470.7820168,858,327,0.0,11,1
20,0905-7-lxt,4,cali,1693908470.8142507,858,327,0.0,11,1
21,0905-7-lxt,4,cali,1693908470.8455563,858,327,0.0,11,1
22,0905-7-lxt,4,cali,1693908470.8777022,858,327,0.0,11,1
23,0905-7-lxt,4,cali,1693908470.9096699,858,327,0.0,11,1
24,0905-7-lxt,4,cali,1693908470.9416964,857,327,1.0,11,1
25,0905-7-lxt,4,cali,1693908470.9579647,857,326,1.0,11,1
26,0905-7-lxt,4,cali,1693908470.9902847,858,326,1.0,11,1
27,0905-7-lxt,4,cali,1693908471.0214303,858,326,0.0,11,1
28,0905-7-lxt,4,cali,1693908471.0534651,857,326,1.0,11,1
29,0905-7-lxt,4,cali,1693908471.0853796,857,325,1.0,11,1
30,0905-7-lxt,4,cali,1693908471.1174355,857,324,1.0,11,1
31,0905-7-lxt,4,cali,1693908471.1498225,857,323,1.0,11,1
32,0905-7-lxt,4,cali,1693908471.1819777,857,322,1.0,11,1
33,0905-7-lxt,4,cali,1693908471.2150583,857,321,1.0,11,1
34,0905-7-lxt,4,cali,1693908471.23121,857,321,0.0,11,1
35,0905-7-lxt,4,cali,1693908471.2622101,858,320,1.4142135623730951,11,1
36,0905-7-lxt,4,cali,1693908471.294239,858,320,0.0,11,1
0,0905-7-lxt,4,cali,1693908472.0457845,failed,failed,2.23606797749979,0,0
0,0905-7-lxt,4,cali,1693908472.1418169,419,269,2.23606797749979,0,0
1,0905-7-lxt,4,cali,1693908472.1738172,420,268,1.4142135623730951,0,0
2,0905-7-lxt,4,cali,1693908472.2059686,419,268,1.0,0,0
3,0905-7-lxt,4,cali,1693908472.237991,419,267,1.0,0,0
4,0905-7-lxt,4,cali,1693908472.2699652,419,267,0.0,0,0
5,0905-7-lxt,4,cali,1693908472.3023822,419,267,0.0,0,0
6,0905-7-lxt,4,cali,1693908472.3172913,419,268,1.0,0,0
7,0905-7-lxt,4,cali,1693908472.3503826,419,268,0.0,0,0
8,0905-7-lxt,4,cali,1693908472.3813825,420,268,1.0,0,0
9,0905-7-lxt,4,cali,1693908472.4137578,420,269,1.0,0,0
10,0905-7-lxt,4,cali,1693908472.4453645,420,269,0.0,0,0
11,0905-7-lxt,4,cali,1693908472.477664,419,269,1.0,0,0
12,0905-7-lxt,4,cali,1693908472.5099921,419,268,1.0,0,0
13,0905-7-lxt,4,cali,1693908472.5429628,418,268,1.0,0,0
14,0905-7-lxt,4,cali,1693908472.5739868,417,267,1.4142135623730951,0,0
15,0905-7-lxt,4,cali,1693908472.5899637,416,267,1.0,0,0
16,0905-7-lxt,4,cali,1693908472.6219914,415,266,1.4142135623730951,0,0
17,0905-7-lxt,4,cali,1693908472.6540759,414,266,1.0,0,0
18,0905-7-lxt,4,cali,1693908472.6859922,413,265,1.4142135623730951,0,0
19,0905-7-lxt,4,cali,1693908472.7181475,412,263,2.23606797749979,0,0
20,0905-7-lxt,4,cali,1693908472.7503002,411,262,1.4142135623730951,0,0
21,0905-7-lxt,4,cali,1693908472.7816522,410,262,1.0,0,0
22,0905-7-lxt,4,cali,1693908472.8138607,410,261,1.0,0,0
23,0905-7-lxt,4,cali,1693908472.845862,410,260,1.0,0,0
24,0905-7-lxt,4,cali,1693908472.8619509,410,260,0.0,0,0
25,0905-7-lxt,4,cali,1693908472.893329,410,260,0.0,0,0
26,0905-7-lxt,4,cali,1693908472.925681,409,260,1.0,0,0
27,0905-7-lxt,4,cali,1693908472.9577224,409,261,1.0,0,0
28,0905-7-lxt,4,cali,1693908472.989999,409,261,0.0,0,0
29,0905-7-lxt,4,cali,1693908473.0220644,409,260,1.0,0,0
30,0905-7-lxt,4,cali,1693908473.0541782,409,260,0.0,0,0
31,0905-7-lxt,4,cali,1693908473.0860946,409,260,0.0,0,0
32,0905-7-lxt,4,cali,1693908473.118088,409,260,0.0,0,0
33,0905-7-lxt,4,cali,1693908473.1340644,409,260,0.0,0,0
34,0905-7-lxt,4,cali,1693908473.1662188,409,260,0.0,0,0
35,0905-7-lxt,4,cali,1693908473.198245,410,259,1.4142135623730951,0,0
36,0905-7-lxt,4,cali,1693908473.229394,410,259,0.0,0,0
0,0905-7-lxt,4,cali,1693908473.902348,failed,failed,2.0,4,4
0,0905-7-lxt,4,cali,1693908473.9493785,563,506,1.4142135623730951,4,4
1,0905-7-lxt,4,cali,1693908473.981526,564,507,1.4142135623730951,4,4
2,0905-7-lxt,4,cali,1693908474.0138617,564,507,0.0,4,4
3,0905-7-lxt,4,cali,1693908474.0461657,564,507,0.0,4,4
4,0905-7-lxt,4,cali,1693908474.0773919,564,508,1.0,4,4
5,0905-7-lxt,4,cali,1693908474.1098454,564,508,0.0,4,4
6,0905-7-lxt,4,cali,1693908474.1418564,563,509,1.4142135623730951,4,4
7,0905-7-lxt,4,cali,1693908474.1740165,563,508,1.0,4,4
8,0905-7-lxt,4,cali,1693908474.190006,563,508,0.0,4,4
9,0905-7-lxt,4,cali,1693908474.2220047,563,508,0.0,4,4
10,0905-7-lxt,4,cali,1693908474.25412,564,507,1.4142135623730951,4,4
11,0905-7-lxt,4,cali,1693908474.2861836,564,507,0.0,4,4
12,0905-7-lxt,4,cali,1693908474.3176384,563,507,1.0,4,4
13,0905-7-lxt,4,cali,1693908474.3500078,563,507,0.0,4,4
14,0905-7-lxt,4,cali,1693908474.3821054,563,507,0.0,4,4
15,0905-7-lxt,4,cali,1693908474.4132981,563,507,0.0,4,4
16,0905-7-lxt,4,cali,1693908474.44532,563,506,1.0,4,4
17,0905-7-lxt,4,cali,1693908474.477772,563,506,0.0,4,4
18,0905-7-lxt,4,cali,1693908474.4937482,563,506,0.0,4,4
19,0905-7-lxt,4,cali,1693908474.5259233,562,506,1.0,4,4
20,0905-7-lxt,4,cali,1693908474.5579002,562,506,0.0,4,4
21,0905-7-lxt,4,cali,1693908474.5898993,562,506,0.0,4,4
22,0905-7-lxt,4,cali,1693908474.6220083,563,506,1.0,4,4
23,0905-7-lxt,4,cali,1693908474.6540525,563,507,1.0,4,4
24,0905-7-lxt,4,cali,1693908474.6856537,563,507,0.0,4,4
25,0905-7-lxt,4,cali,1693908474.7179701,564,507,1.0,4,4
26,0905-7-lxt,4,cali,1693908474.7339783,564,507,0.0,4,4
27,0905-7-lxt,4,cali,1693908474.765322,564,508,1.0,4,4
28,0905-7-lxt,4,cali,1693908474.797655,564,508,0.0,4,4
29,0905-7-lxt,4,cali,1693908474.8299587,564,508,0.0,4,4
30,0905-7-lxt,4,cali,1693908474.8622668,564,508,0.0,4,4
31,0905-7-lxt,4,cali,1693908474.8932981,564,508,0.0,4,4
32,0905-7-lxt,4,cali,1693908474.9255888,564,508,0.0,4,4
33,0905-7-lxt,4,cali,1693908474.9575927,564,507,1.0,4,4
34,0905-7-lxt,4,cali,1693908474.9895678,564,507,0.0,4,4
35,0905-7-lxt,4,cali,1693908475.021661,564,507,0.0,4,4
36,0905-7-lxt,4,cali,1693908475.0375986,565,507,1.0,4,4
0,0905-7-lxt,4,cali,1693908475.5498445,failed,failed,2.23606797749979,2,5
0,0905-7-lxt,4,cali,1693908475.6452923,485,565,2.23606797749979,2,5
1,0905-7-lxt,4,cali,1693908475.6777093,484,566,1.4142135623730951,2,5
2,0905-7-lxt,4,cali,1693908475.709803,484,567,1.0,2,5
3,0905-7-lxt,4,cali,1693908475.7420475,483,568,1.4142135623730951,2,5
4,0905-7-lxt,4,cali,1693908475.7734308,482,568,1.0,2,5
5,0905-7-lxt,4,cali,1693908475.8055217,481,568,1.0,2,5
6,0905-7-lxt,4,cali,1693908475.821764,481,569,1.0,2,5
7,0905-7-lxt,4,cali,1693908475.853723,481,569,0.0,2,5
8,0905-7-lxt,4,cali,1693908475.8862033,481,570,1.0,2,5
9,0905-7-lxt,4,cali,1693908475.9176605,481,570,0.0,2,5
10,0905-7-lxt,4,cali,1693908475.9498677,481,571,1.0,2,5
11,0905-7-lxt,4,cali,1693908475.9821835,481,572,1.0,2,5
12,0905-7-lxt,4,cali,1693908476.0135932,481,571,1.0,2,5
13,0905-7-lxt,4,cali,1693908476.046967,481,570,1.0,2,5
14,0905-7-lxt,4,cali,1693908476.077454,481,570,0.0,2,5
15,0905-7-lxt,4,cali,1693908476.0934274,481,570,0.0,2,5
16,0905-7-lxt,4,cali,1693908476.1258693,481,570,0.0,2,5
17,0905-7-lxt,4,cali,1693908476.1578977,481,570,0.0,2,5
18,0905-7-lxt,4,cali,1693908476.1899118,481,570,0.0,2,5
19,0905-7-lxt,4,cali,1693908476.221639,481,570,0.0,2,5
20,0905-7-lxt,4,cali,1693908476.2537382,481,569,1.0,2,5
21,0905-7-lxt,4,cali,1693908476.2860568,481,568,1.0,2,5
22,0905-7-lxt,4,cali,1693908476.3173528,482,567,1.4142135623730951,2,5
23,0905-7-lxt,4,cali,1693908476.3495312,481,566,1.4142135623730951,2,5
24,0905-7-lxt,4,cali,1693908476.365695,481,566,0.0,2,5
25,0905-7-lxt,4,cali,1693908476.3976872,481,566,0.0,2,5
26,0905-7-lxt,4,cali,1693908476.4296932,481,566,0.0,2,5
27,0905-7-lxt,4,cali,1693908476.461947,481,566,0.0,2,5
28,0905-7-lxt,4,cali,1693908476.493297,482,566,1.0,2,5
29,0905-7-lxt,4,cali,1693908476.5252926,482,566,0.0,2,5
30,0905-7-lxt,4,cali,1693908476.557653,482,567,1.0,2,5
31,0905-7-lxt,4,cali,1693908476.589915,482,567,0.0,2,5
32,0905-7-lxt,4,cali,1693908476.6219695,482,567,0.0,2,5
33,0905-7-lxt,4,cali,1693908476.6381626,482,567,0.0,2,5
34,0905-7-lxt,4,cali,1693908476.67117,483,567,1.0,2,5
35,0905-7-lxt,4,cali,1693908476.7022016,483,567,0.0,2,5
36,0905-7-lxt,4,cali,1693908476.7341886,484,568,1.4142135623730951,2,5
0,0905-7-lxt,4,cali,1693908477.2455597,failed,failed,1.4142135623730951,21,4
0,0905-7-lxt,4,cali,1693908477.3095737,1255,508,0.0,21,4
1,0905-7-lxt,4,cali,1693908477.3418686,1256,507,1.4142135623730951,21,4
2,0905-7-lxt,4,cali,1693908477.3738678,1256,507,0.0,21,4
3,0905-7-lxt,4,cali,1693908477.4061923,1256,507,0.0,21,4
4,0905-7-lxt,4,cali,1693908477.437343,1257,506,1.4142135623730951,21,4
5,0905-7-lxt,4,cali,1693908477.4533198,1258,506,1.0,21,4
6,0905-7-lxt,4,cali,1693908477.4859667,1258,505,1.0,21,4
7,0905-7-lxt,4,cali,1693908477.5179746,1258,504,1.0,21,4
8,0905-7-lxt,4,cali,1693908477.5502381,1258,504,0.0,21,4
9,0905-7-lxt,4,cali,1693908477.581544,1259,503,1.4142135623730951,21,4
10,0905-7-lxt,4,cali,1693908477.6135778,1258,502,1.4142135623730951,21,4
11,0905-7-lxt,4,cali,1693908477.6455634,1258,502,0.0,21,4
12,0905-7-lxt,4,cali,1693908477.67778,1259,501,1.4142135623730951,21,4
13,0905-7-lxt,4,cali,1693908477.6940906,1259,500,1.0,21,4
14,0905-7-lxt,4,cali,1693908477.7255003,1260,499,1.4142135623730951,21,4
15,0905-7-lxt,4,cali,1693908477.7578037,1261,498,1.4142135623730951,21,4
16,0905-7-lxt,4,cali,1693908477.7899458,1261,497,1.0,21,4
17,0905-7-lxt,4,cali,1693908477.854215,1261,493,1.0,21,4
18,0905-7-lxt,4,cali,1693908477.8856127,1261,491,2.0,21,4
19,0905-7-lxt,4,cali,1693908477.9176593,1262,490,1.4142135623730951,21,4
20,0905-7-lxt,4,cali,1693908477.9498127,1262,490,0.0,21,4
21,0905-7-lxt,4,cali,1693908477.9657848,1263,489,1.4142135623730951,21,4
22,0905-7-lxt,4,cali,1693908477.998162,1263,488,1.0,21,4
23,0905-7-lxt,4,cali,1693908478.0294988,1263,488,0.0,21,4
24,0905-7-lxt,4,cali,1693908478.0614667,1263,487,1.0,21,4
25,0905-7-lxt,4,cali,1693908478.0934653,1263,486,1.0,21,4
26,0905-7-lxt,4,cali,1693908478.125643,1263,486,0.0,21,4
27,0905-7-lxt,4,cali,1693908478.1576467,1263,485,1.0,21,4
28,0905-7-lxt,4,cali,1693908478.1896434,1262,485,1.0,21,4
29,0905-7-lxt,4,cali,1693908478.221882,1262,484,1.0,21,4
30,0905-7-lxt,4,cali,1693908478.2533846,1262,484,0.0,21,4
31,0905-7-lxt,4,cali,1693908478.2694197,1262,484,0.0,21,4
32,0905-7-lxt,4,cali,1693908478.3014193,1263,484,1.0,21,4
33,0905-7-lxt,4,cali,1693908478.3336236,1263,484,0.0,21,4
34,0905-7-lxt,4,cali,1693908478.3660553,1263,484,0.0,21,4
35,0905-7-lxt,4,cali,1693908478.3982348,1263,484,0.0,21,4
36,0905-7-lxt,4,cali,1693908478.4293864,1264,484,1.0,21,4
0,0905-7-lxt,4,cali,1693908479.5980003,failed,failed,0.0,27,1
0,0905-7-lxt,4,cali,1693908479.6617196,1499,319,1.0,27,1
1,0905-7-lxt,4,cali,1693908479.6939082,1498,321,2.23606797749979,27,1
2,0905-7-lxt,4,cali,1693908479.7259424,1498,322,1.0,27,1
3,0905-7-lxt,4,cali,1693908479.757365,1498,322,0.0,27,1
4,0905-7-lxt,4,cali,1693908479.7893922,1496,322,2.0,27,1
5,0905-7-lxt,4,cali,1693908479.8215084,1495,322,1.0,27,1
6,0905-7-lxt,4,cali,1693908479.853843,1494,322,1.0,27,1
7,0905-7-lxt,4,cali,1693908479.8697937,1492,323,2.23606797749979,27,1
8,0905-7-lxt,4,cali,1693908479.9018264,1491,324,1.4142135623730951,27,1
9,0905-7-lxt,4,cali,1693908479.9338245,1491,325,1.0,27,1
10,0905-7-lxt,4,cali,1693908479.9658527,1491,326,1.0,27,1
11,0905-7-lxt,4,cali,1693908479.997844,1491,327,1.0,27,1
12,0905-7-lxt,4,cali,1693908480.0298524,1490,328,1.4142135623730951,27,1
13,0905-7-lxt,4,cali,1693908480.0620077,1490,329,1.0,27,1
14,0905-7-lxt,4,cali,1693908480.0940096,1490,329,0.0,27,1
15,0905-7-lxt,4,cali,1693908480.125978,1489,330,1.4142135623730951,27,1
16,0905-7-lxt,4,cali,1693908480.141565,1489,331,1.0,27,1
17,0905-7-lxt,4,cali,1693908480.1736896,1489,332,1.0,27,1
18,0905-7-lxt,4,cali,1693908480.2057483,1489,332,0.0,27,1
19,0905-7-lxt,4,cali,1693908480.239209,1489,332,0.0,27,1
20,0905-7-lxt,4,cali,1693908480.2704065,1489,332,0.0,27,1
21,0905-7-lxt,4,cali,1693908480.301427,1489,332,0.0,27,1
22,0905-7-lxt,4,cali,1693908480.3335285,1490,332,1.0,27,1
23,0905-7-lxt,4,cali,1693908480.365885,1490,332,0.0,27,1
24,0905-7-lxt,4,cali,1693908480.3979638,1490,332,0.0,27,1
25,0905-7-lxt,4,cali,1693908480.4139373,1491,331,1.4142135623730951,27,1
26,0905-7-lxt,4,cali,1693908480.446091,1492,331,1.0,27,1
27,0905-7-lxt,4,cali,1693908480.4782748,1492,330,1.0,27,1
28,0905-7-lxt,4,cali,1693908480.5094352,1493,329,1.4142135623730951,27,1
29,0905-7-lxt,4,cali,1693908480.5415819,1493,329,0.0,27,1
30,0905-7-lxt,4,cali,1693908480.5736105,1493,329,0.0,27,1
31,0905-7-lxt,4,cali,1693908480.6056063,1494,329,1.0,27,1
32,0905-7-lxt,4,cali,1693908480.6380837,1495,328,1.4142135623730951,27,1
33,0905-7-lxt,4,cali,1693908480.669399,1496,327,1.4142135623730951,27,1
34,0905-7-lxt,4,cali,1693908480.685486,1497,326,1.4142135623730951,27,1
35,0905-7-lxt,4,cali,1693908480.7173982,1496,325,1.4142135623730951,27,1
36,0905-7-lxt,4,cali,1693908480.749729,1496,324,1.0,27,1
0,0905-7-lxt,4,cali,1693908481.4541829,failed,failed,2.23606797749979,4,5
0,0905-7-lxt,4,cali,1693908481.5018678,564,578,1.0,4,5
1,0905-7-lxt,4,cali,1693908481.5337915,563,577,1.4142135623730951,4,5
2,0905-7-lxt,4,cali,1693908481.5657942,564,576,1.4142135623730951,4,5
3,0905-7-lxt,4,cali,1693908481.5979722,563,574,2.23606797749979,4,5
4,0905-7-lxt,4,cali,1693908481.6294732,563,573,1.0,4,5
5,0905-7-lxt,4,cali,1693908481.6618965,562,573,1.0,4,5
6,0905-7-lxt,4,cali,1693908481.6938953,563,573,1.0,4,5
7,0905-7-lxt,4,cali,1693908481.725782,562,572,1.4142135623730951,4,5
8,0905-7-lxt,4,cali,1693908481.7417815,562,572,0.0,4,5
9,0905-7-lxt,4,cali,1693908481.7737823,562,571,1.0,4,5
10,0905-7-lxt,4,cali,1693908481.8058066,561,571,1.0,4,5
