original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-7-lxt,35.0,word,1693910188.1894517,982.0,462.00000000000006,2.23606797749979,12.0,0.0,7,3
1,0905-7-lxt,35.0,word,1693910188.2217717,981.0,460.0000000000001,2.23606797749979,12.0,0.0,7,3
2,0905-7-lxt,35.0,word,1693910188.2538943,979.9999999999998,460.00000000000006,1.0,12.0,0.0,7,3
3,0905-7-lxt,35.0,word,1693910188.2862737,978.9999999999998,460.0,1.0,12.0,0.0,7,3
4,0905-7-lxt,35.0,word,1693910188.3178213,978.9999999999998,460.0,0.0,12.0,0.0,7,3
5,0905-7-lxt,35.0,word,1693910188.333947,977.9999999999998,456.00000000000006,4.123105625617661,12.0,0.0,7,3
6,0905-7-lxt,35.0,word,1693910188.3658493,978.0,454.00000000000006,2.0,12.0,0.0,7,3
7,0905-7-lxt,35.0,word,1693910188.3979995,960.0,435.00000000000006,26.1725046566048,12.0,0.0,7,3
8,0905-7-lxt,35.0,word,1693910188.4296348,910.9999999999998,393.0,64.53681120105021,12.0,0.0,1,2
9,0905-7-lxt,35.0,word,1693910188.461779,863.9999999999998,352.0,62.369864518050704,12.0,0.0,2,1
10,0905-7-lxt,35.0,word,1693910188.4937766,829.9999999999998,325.0,43.41658669218482,12.0,0.0,2,1
11,0905-7-lxt,35.0,word,1693910188.52618,808.9999999999998,309.00000000000006,26.40075756488817,12.0,0.0,2,0
12,0905-7-lxt,35.0,word,1693910188.5574794,764.9999999999997,304.0,44.28317965096906,12.0,0.0,2,0
13,0905-7-lxt,35.0,word,1693910188.5894842,710.9999999999997,303.99999999999994,54.0,12.0,0.0,3,0
14,0905-7-lxt,35.0,word,1693910188.621564,675.9999999999999,304.0,35.0,12.0,0.0,7,0
15,0905-7-lxt,35.0,word,1693910188.6374843,653.9999999999998,304.00000000000006,22.0,12.0,0.0,6,0
16,0905-7-lxt,35.0,word,1693910188.6695642,638.9999999999997,301.0,15.297058540778355,12.0,0.0,5,0
17,0905-7-lxt,35.0,word,1693910188.7020042,629.9999999999998,296.99999999999994,9.848857801796104,12.0,0.0,5,0
18,0905-7-lxt,35.0,word,1693910188.7340229,646.9999999999998,299.99999999999994,17.26267650163207,12.0,0.0,5,0
19,0905-7-lxt,35.0,word,1693910188.7661748,678.9999999999999,300.0,32.0,12.0,0.0,7,0
20,0905-7-lxt,35.0,word,1693910188.7975054,725.9999999999999,298.00000000000006,47.042533945356304,12.0,0.0,2,0
21,0905-7-lxt,35.0,word,1693910188.829875,783.9999999999998,295.0,58.077534382926416,12.0,0.0,2,0
22,0905-7-lxt,35.0,word,1693910188.8622212,833.9999999999998,294.0,50.00999900019995,12.0,0.0,3,0
23,0905-7-lxt,35.0,word,1693910188.8936777,869.9999999999999,291.00000000000006,36.12478373637688,12.0,0.0,3,0
24,0905-7-lxt,35.0,word,1693910188.909598,894.9999999999998,287.99999999999994,25.179356624028344,12.0,0.0,3,0
25,0905-7-lxt,35.0,word,1693910188.941874,930.9999999999995,288.99999999999994,36.013886210738214,12.0,0.0,5,0
26,0905-7-lxt,35.0,word,1693910188.973978,959.9999999999998,289.0,29.0,12.0,0.0,6,0
27,0905-7-lxt,35.0,word,1693910189.0052912,980.0,290.0,20.024984394500787,12.0,0.0,6,0
28,0905-7-lxt,35.0,word,1693910189.0375087,993.9999999999998,291.0,14.0356688476182,12.0,0.0,6,0
29,0905-7-lxt,35.0,word,1693910189.0699818,1004.9999999999998,290.99999999999994,11.0,12.0,0.0,5,0
30,0905-7-lxt,35.0,word,1693910189.101887,1010.9999999999995,292.99999999999994,6.324555320336759,12.0,0.0,5,0
31,0905-7-lxt,35.0,word,1693910189.1339865,1020.0,294.99999999999994,9.219544457292889,12.0,0.0,6,0
32,0905-7-lxt,35.0,word,1693910189.1502275,1074.9999999999998,298.0000000000001,55.08175741568164,12.0,0.0,1,0
33,0905-7-lxt,35.0,word,1693910189.1815116,1143.999999999999,299.0,69.00724599634447,12.0,0.0,1,0
