original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density
8,0905-7-lxt,23.0,word,1693909603.7097244,942.0,590.0,63.52952069707436,35.0,0.0,3
9,0905-7-lxt,23.0,word,1693909603.7417176,860.9999999999998,455.0,157.4357011608231,35.0,0.0,4
10,0905-7-lxt,23.0,word,1693909603.77373,803.9999999999999,363.0,108.2266141020775,35.0,0.0,6
11,0905-7-lxt,23.0,word,1693909603.8060942,776.9999999999999,315.0,55.072679252057455,35.0,0.0,16
12,0905-7-lxt,23.0,word,1693909603.8374312,762.9999999999999,290.99999999999994,27.784887978899608,35.0,0.0,22
13,0905-7-lxt,23.0,word,1693909603.853408,755.9999999999999,277.0,15.652475842498529,35.0,0.0,20
14,0905-7-lxt,23.0,word,1693909603.885717,726.0,277.0,30.0,35.0,0.0,17
15,0905-7-lxt,23.0,word,1693909603.9186933,689.9999999999998,290.99999999999994,38.62641583165593,35.0,0.0,13
16,0905-7-lxt,23.0,word,1693909603.9500282,673.9999999999998,296.99999999999994,17.08800749063506,35.0,0.0,15
17,0905-7-lxt,23.0,word,1693909603.9822285,661.9999999999997,299.0,12.16552506059644,35.0,0.0,14
18,0905-7-lxt,23.0,word,1693909604.0133238,654.9999999999997,300.99999999999994,7.280109889280518,35.0,0.0,14
19,0905-7-lxt,23.0,word,1693909604.0462086,650.9999999999998,301.0,4.0,35.0,0.0,13
20,0905-7-lxt,23.0,word,1693909604.0782382,647.9999999999998,302.99999999999994,3.605551275463989,35.0,0.0,14
21,0905-7-lxt,23.0,word,1693909604.1098902,663.9999999999999,303.0,16.0,35.0,0.0,14
22,0905-7-lxt,23.0,word,1693909604.1258006,678.9999999999998,303.0,15.0,35.0,0.0,15
23,0905-7-lxt,23.0,word,1693909604.1578083,696.9999999999999,303.0,18.0,35.0,0.0,14
24,0905-7-lxt,23.0,word,1693909604.1902623,715.9999999999999,304.00000000000006,19.026297590440446,35.0,0.0,17
