original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
0,0905-8-dcx,21.0,word,1693912552.815481,824.0000000000002,246.9999999999999,65.73431371817918,34.0,0.0,7,3
1,0905-8-dcx,21.0,word,1693912552.8404803,826.0000000000002,255.00000000000009,8.246211251235321,34.0,0.0,7,3
2,0905-8-dcx,21.0,word,1693912552.8728228,824.0000000000002,259.00000000000006,4.47213595499958,34.0,0.0,7,3
3,0905-8-dcx,21.0,word,1693912552.9048567,823.0,258.0,1.4142135623730951,34.0,0.0,7,3
4,0905-8-dcx,21.0,word,1693912552.9371202,824.0000000000002,257.99999999999994,1.0,34.0,0.0,7,3
5,0905-8-dcx,21.0,word,1693912552.9690452,823.0000000000002,255.00000000000003,3.1622776601683795,34.0,0.0,7,3
6,0905-8-dcx,21.0,word,1693912553.0012786,822.0,254.0,1.4142135623730951,34.0,0.0,7,3
7,0905-8-dcx,21.0,word,1693912553.033277,820.0000000000001,253.00000000000003,2.23606797749979,34.0,0.0,8,3
8,0905-8-dcx,21.0,word,1693912553.0643916,761.0000000000002,229.0000000000001,63.69458375717672,34.0,0.0,1,3
9,0905-8-dcx,21.0,word,1693912553.0968006,693.9999999999999,201.99999999999991,72.2357252334328,34.0,0.0,1,2
10,0905-8-dcx,21.0,word,1693912553.112698,652.0,184.0,45.69463863518345,34.0,0.0,10,2
11,0905-8-dcx,21.0,word,1693912553.1451423,627.0000000000001,172.00000000000003,27.73084924772409,34.0,0.0,8,2
12,0905-8-dcx,21.0,word,1693912553.176514,610.9999999999999,165.99999999999997,17.08800749063506,34.0,0.0,8,2
13,0905-8-dcx,21.0,word,1693912553.208642,601.0,161.99999999999994,10.770329614269007,34.0,0.0,8,1
14,0905-8-dcx,21.0,word,1693912553.2407827,599.0000000000002,158.00000000000003,4.47213595499958,34.0,0.0,8,1
15,0905-8-dcx,21.0,word,1693912553.2728,602.0000000000001,151.99999999999997,6.708203932499369,34.0,0.0,8,1
16,0905-8-dcx,21.0,word,1693912553.3046827,604.0,146.99999999999997,5.385164807134504,34.0,0.0,8,1
17,0905-8-dcx,21.0,word,1693912553.3368816,606.0000000000001,142.0,5.385164807134504,34.0,0.0,8,1
18,0905-8-dcx,21.0,word,1693912553.3689964,637.0000000000001,135.0,31.78049716414141,34.0,0.0,9,1
19,0905-8-dcx,21.0,word,1693912553.3852034,678.0000000000001,128.99999999999997,41.43669871020132,34.0,0.0,2,1
20,0905-8-dcx,21.0,word,1693912553.4173205,716.0000000000001,124.00000000000006,38.3275357934736,34.0,0.0,2,1
21,0905-8-dcx,21.0,word,1693912553.4487686,748.0000000000001,119.99999999999989,32.2490309931942,34.0,0.0,1,1
22,0905-8-dcx,21.0,word,1693912553.5768924,961.0000000000002,207.0,230.08259386576813,34.0,0.0,3,2
23,0905-8-dcx,21.0,word,1693912553.6088262,976.0,188.0,24.20743687382041,34.0,0.0,5,2
24,0905-8-dcx,21.0,word,1693912553.640829,988.0,170.0,21.633307652783937,34.0,0.0,6,2
25,0905-8-dcx,21.0,word,1693912553.6568043,996.0,156.0,16.1245154965971,34.0,0.0,6,1
26,0905-8-dcx,21.0,word,1693912553.6888337,1002.0000000000002,144.00000000000003,13.41640786499874,34.0,0.0,5,1
27,0905-8-dcx,21.0,word,1693912553.7211022,1004.0,134.0,10.198039027185567,34.0,0.0,6,1
28,0905-8-dcx,21.0,word,1693912553.7532089,1008.0,128.0,7.211102550927978,34.0,0.0,5,1
29,0905-8-dcx,21.0,word,1693912553.7853408,1063.0,118.99999999999991,55.731499172371095,34.0,0.0,2,1
30,0905-8-dcx,21.0,word,1693912553.8166077,1140.0000000000002,114.0,77.1621668954417,34.0,0.0,1,1
31,0905-8-dcx,21.0,word,1693912553.8487537,1199.0000000000002,110.00000000000004,59.13543776789008,34.0,0.0,2,1
32,0905-8-dcx,21.0,word,1693912553.8806765,1237.0,107.99999999999989,38.05259518088089,34.0,0.0,9,1
33,0905-8-dcx,21.0,word,1693912553.9127982,1263.0000000000002,104.9999999999999,26.1725046566048,34.0,0.0,7,0
34,0905-8-dcx,21.0,word,1693912553.928369,1279.0,104.0,16.0312195418814,34.0,0.0,7,0
35,0905-8-dcx,21.0,word,1693912553.9606571,1289.0000000000002,103.00000000000006,10.04987562112089,34.0,0.0,7,0
36,0905-8-dcx,21.0,word,1693912553.992638,1296.0000000000002,103.00000000000004,7.0,34.0,0.0,6,0
37,0905-8-dcx,21.0,word,1693912554.0247345,1275.0000000000005,101.0,21.095023109728988,34.0,0.0,7,0
38,0905-8-dcx,21.0,word,1693912554.0570388,1253.0000000000002,99.99999999999991,22.02271554554524,34.0,0.0,9,0
39,0905-8-dcx,21.0,word,1693912554.0901968,1227.0000000000005,97.99999999999996,26.0768096208106,34.0,0.0,3,0
40,0905-8-dcx,21.0,word,1693912554.1211967,1190.0,93.99999999999996,37.21558813185679,34.0,0.0,2,0
41,0905-8-dcx,21.0,word,1693912554.152476,1056.0000000000005,95.99999999999996,134.01492454200763,34.0,0.0,0,0
42,0905-8-dcx,21.0,word,1693912554.168629,818.0,108.0,238.3023289856816,34.0,0.0,0,1
43,0905-8-dcx,21.0,word,1693912554.2007434,646.0,116.0,172.18594600024707,34.0,0.0,0,1
44,0905-8-dcx,21.0,word,1693912554.2327995,559.0,118.0,87.02298546935747,34.0,0.0,2,1
45,0905-8-dcx,21.0,word,1693912554.2643816,518.0,121.00000000000004,41.10960958218893,34.0,0.0,13,1
46,0905-8-dcx,21.0,word,1693912554.2963777,496.0000000000001,120.00000000000004,22.02271554554524,34.0,0.0,13,1
47,0905-8-dcx,21.0,word,1693912554.32872,485.0,120.99999999999994,11.04536101718726,34.0,0.0,11,1
48,0905-8-dcx,21.0,word,1693912554.360988,479.00000000000017,122.0,6.082762530298219,34.0,0.0,11,1
49,0905-8-dcx,21.0,word,1693912554.392917,475.00000000000017,123.99999999999996,4.47213595499958,34.0,0.0,10,1
50,0905-8-dcx,21.0,word,1693912554.4253,474.00000000000017,125.00000000000004,1.4142135623730951,34.0,0.0,10,1
51,0905-8-dcx,21.0,word,1693912554.4565148,485.0000000000001,125.00000000000004,11.0,34.0,0.0,11,1
52,0905-8-dcx,21.0,word,1693912554.4727688,502.0000000000001,124.0,17.029386365926403,34.0,0.0,13,1
53,0905-8-dcx,21.0,word,1693912554.5046506,509.00000000000006,121.99999999999991,7.280109889280518,34.0,0.0,13,1
54,0905-8-dcx,21.0,word,1693912554.536818,516.0,120.99999999999996,7.071067811865476,34.0,0.0,13,1
55,0905-8-dcx,21.0,word,1693912554.5688193,528.0,118.0,12.36931687685298,34.0,0.0,13,1
56,0905-8-dcx,21.0,word,1693912554.6008198,541.0,113.99999999999996,13.601470508735444,34.0,0.0,6,1
57,0905-8-dcx,21.0,word,1693912554.632962,559.0,110.0,18.43908891458577,34.0,0.0,6,1
