username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y
0905-10-wzx,25.0,word,1693915297.0726364,475.0,1117.0,34.438350715445125,12.0,0.0
0905-10-wzx,25.0,word,1693915297.087751,500.0,1107.0,26.92582403567252,12.0,0.0
0905-10-wzx,25.0,word,1693915297.1197512,518.0,1100.0,19.313207915827967,12.0,0.0
0905-10-wzx,25.0,word,1693915297.151359,529.0,1095.0,12.083045973594572,12.0,0.0
0905-10-wzx,25.0,word,1693915297.1832435,537.0,1095.0,8.0,12.0,0.0
0905-10-wzx,25.0,word,1693915297.2155726,542.0,1091.0,6.4031242374328485,12.0,0.0
0905-10-wzx,25.0,word,1693915297.24701,547.0,1090.0,5.0990195135927845,12.0,0.0
0905-10-wzx,25.0,word,1693915297.2793095,553.0,1090.0,6.0,12.0,0.0
0905-10-wzx,25.0,word,1693915297.295225,619.0,1020.0,96.20810776644556,12.0,0.0
0905-10-wzx,25.0,word,1693915297.3277864,682.0,756.0,271.41296947640507,12.0,0.0
0905-10-wzx,25.0,word,1693915297.359701,678.0,512.0,244.0327846827143,12.0,0.0
0905-10-wzx,25.0,word,1693915297.3909707,681.0,394.0,118.03812943282352,12.0,0.0
0905-10-wzx,25.0,word,1693915297.4231665,675.0,361.0,33.54101966249684,12.0,0.0
0905-10-wzx,25.0,word,1693915297.4553337,676.0,350.0,11.04536101718726,12.0,0.0
0905-10-wzx,25.0,word,1693915297.4885974,677.0,349.0,1.4142135623730951,12.0,0.0
0905-10-wzx,25.0,word,1693915297.518977,641.0,340.0,37.10795063055895,12.0,0.0
0905-10-wzx,25.0,word,1693915297.5510912,605.0,333.0,36.6742416417845,12.0,0.0
0905-10-wzx,25.0,word,1693915297.5673163,583.0,328.0,22.56102834535696,12.0,0.0
0905-10-wzx,25.0,word,1693915297.5995464,568.0,324.0,15.524174696260024,12.0,0.0
0905-10-wzx,25.0,word,1693915297.6316326,550.0,311.0,22.20360331117452,12.0,0.0
0905-10-wzx,25.0,word,1693915297.6629694,536.0,302.0,16.64331697709324,12.0,0.0
0905-10-wzx,25.0,word,1693915297.6951408,527.0,297.0,10.295630140987,12.0,0.0
0905-10-wzx,25.0,word,1693915297.7274632,523.0,292.0,6.4031242374328485,12.0,0.0
0905-10-wzx,25.0,word,1693915297.759518,518.0,291.0,5.0990195135927845,12.0,0.0
0905-10-wzx,25.0,word,1693915297.7915168,515.0,294.0,4.242640687119285,12.0,0.0
