original_index,username,iteration,phase,time,gaze_x,gaze_y,speed,matrix_x,matrix_y,density,row_label
7,0905-10-wzx,17.0,word,1693914937.4073138,1023.0,617.9999999999999,15.811388300841896,37.0,0.0,0,5
8,0905-10-wzx,17.0,word,1693914937.4393451,938.0,580.0,93.1074647920348,37.0,0.0,0,5
9,0905-10-wzx,17.0,word,1693914937.4717426,726.0,474.9999999999999,236.57768280207665,37.0,0.0,0,3
10,0905-10-wzx,17.0,word,1693914937.5029552,564.0000000000001,397.0,179.79988876526036,37.0,0.0,0,2
11,0905-10-wzx,17.0,word,1693914937.5354173,487.00000000000006,358.0,86.31338250816034,37.0,0.0,4,1
12,0905-10-wzx,17.0,word,1693914937.5670056,456.0,341.00000000000006,35.35533905932738,37.0,0.0,4,1
13,0905-10-wzx,17.0,word,1693914937.599172,445.00000000000006,337.0,11.704699910719626,37.0,0.0,4,1
14,0905-10-wzx,17.0,word,1693914937.6315525,451.0,326.99999999999994,11.6619037896906,37.0,0.0,4,1
15,0905-10-wzx,17.0,word,1693914937.64744,484.0,301.00000000000006,42.01190307520001,37.0,0.0,6,0
16,0905-10-wzx,17.0,word,1693914937.679463,516.0000000000001,281.0,37.73592452822641,37.0,0.0,6,0
17,0905-10-wzx,17.0,word,1693914937.7116408,536.0,270.0,22.825424421026653,37.0,0.0,6,0
18,0905-10-wzx,17.0,word,1693914937.7436464,547.0,264.0,12.529964086141668,37.0,0.0,5,0
19,0905-10-wzx,17.0,word,1693914937.7756407,557.0,265.99999999999994,10.198039027185567,37.0,0.0,6,0
20,0905-10-wzx,17.0,word,1693914937.8078568,565.0000000000002,267.00000000000006,8.06225774829855,37.0,0.0,6,0
21,0905-10-wzx,17.0,word,1693914937.8393428,573.0000000000001,268.0,8.06225774829855,37.0,0.0,6,0
22,0905-10-wzx,17.0,word,1693914937.871446,617.0,265.0,44.10215414239989,37.0,0.0,4,0
23,0905-10-wzx,17.0,word,1693914937.903478,680.0,262.0,63.07138812488592,37.0,0.0,2,0
24,0905-10-wzx,17.0,word,1693914937.9196212,735.0,260.99999999999994,55.00909015790027,37.0,0.0,2,0
25,0905-10-wzx,17.0,word,1693914937.9509742,775.0,261.99999999999994,40.01249804748511,37.0,0.0,4,0
26,0905-10-wzx,17.0,word,1693914937.983169,802.0000000000001,265.0,27.16615541441225,37.0,0.0,12,0
27,0905-10-wzx,17.0,word,1693914938.015441,820.0,265.0,18.0,37.0,0.0,11,0
