para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length,depth
20,380.0,272.0,0,0,【,【,-1,1,0
20,420.0,272.0,0,1,酒,酒店评价,0,4,2
20,460.0,272.0,0,2,店,酒店评价,1,4,2
20,500.0,272.0,0,3,评,酒店评价,2,4,2
20,540.0,272.0,0,4,价,酒店评价,3,4,2
20,580.0,272.0,0,5,】,】,-1,1,0
20,380.0,336.0,1,0,  ,  ,-1,1,0
20,420.0,336.0,1,1,  ,  ,-1,1,0
20,460.0,336.0,1,2,早,早餐,0,2,3
20,500.0,336.0,1,3,餐,早餐,1,2,3
20,540.0,336.0,1,4,：,：,-1,1,0
20,580.0,336.0,1,5,早,早餐自助餐样式很丰富,0,10,3
20,620.0,336.0,1,6,餐,早餐自助餐样式很丰富,1,10,3
20,660.0,336.0,1,7,自,早餐自助餐样式很丰富,2,10,3
20,700.0,336.0,1,8,助,早餐自助餐样式很丰富,3,10,3
20,740.0,336.0,1,9,餐,早餐自助餐样式很丰富,4,10,3
20,780.0,336.0,1,10,样,早餐自助餐样式很丰富,5,10,3
20,820.0,336.0,1,11,式,早餐自助餐样式很丰富,6,10,3
20,860.0,336.0,1,12,很,早餐自助餐样式很丰富,7,10,4
20,900.0,336.0,1,13,丰,早餐自助餐样式很丰富,8,10,4
20,940.0,336.0,1,14,富,早餐自助餐样式很丰富,9,10,4
20,980.0,336.0,1,15,，,，,-1,1,0
20,1020.0,336.0,1,16,中,中西餐结合,0,5,3
20,1060.0,336.0,1,17,西,中西餐结合,1,5,3
20,1100.0,336.0,1,18,餐,中西餐结合,2,5,3
20,1140.0,336.0,1,19,结,中西餐结合,3,5,3
20,1180.0,336.0,1,20,合,中西餐结合,4,5,3
20,1220.0,336.0,1,21,，,，,-1,1,0
20,1260.0,336.0,1,22,尤,尤其喜欢煎饼果子,0,8,4
20,1300.0,336.0,1,23,其,尤其喜欢煎饼果子,1,8,4
20,1340.0,336.0,1,24,喜,尤其喜欢煎饼果子,2,8,4
20,1380.0,336.0,1,25,欢,尤其喜欢煎饼果子,3,8,4
20,1420.0,336.0,1,26,煎,尤其喜欢煎饼果子,4,8,5
20,1460.0,336.0,1,27,饼,尤其喜欢煎饼果子,5,8,5
20,1500.0,336.0,1,28,果,尤其喜欢煎饼果子,6,8,5
20,1540.0,336.0,1,29,子,尤其喜欢煎饼果子,7,8,5
20,380.0,400.0,2,0,  ,  ,-1,1,0
20,420.0,400.0,2,1,  ,  ,-1,1,0
20,460.0,400.0,2,2,餐,餐厅,0,2,2
20,500.0,400.0,2,3,厅,餐厅,1,2,2
20,540.0,400.0,2,4,：,：,-1,1,0
20,580.0,400.0,2,5,环,环境很棒,0,4,3
20,620.0,400.0,2,6,境,环境很棒,1,4,3
20,660.0,400.0,2,7,很,环境很棒,2,4,4
