para_id,x,y,row,col,word,sentence,word_index_in_sentence,sentence_length,constituency_depth
0,380.0,272.0,0,0,  ,  ,-1,1,0.0
0,420.0,272.0,0,1,  ,  ,-1,1,0.0
0,460.0,272.0,0,2,8,8月22日,0,4,2.0
0,500.0,272.0,0,3,月,8月22日,1,4,2.0
0,540.0,272.0,0,4,22,8月22日,2,4,2.0
0,580.0,272.0,0,5,日,8月22日,3,4,2.0
0,620.0,272.0,0,6,，,，,-1,1,0.0
0,660.0,272.0,0,7,据,据央视新闻报道,0,7,2.0
0,700.0,272.0,0,8,央,据央视新闻报道,1,7,5.0
0,740.0,272.0,0,9,视,据央视新闻报道,2,7,5.0
0,780.0,272.0,0,10,新,据央视新闻报道,3,7,5.0
0,820.0,272.0,0,11,闻,据央视新闻报道,4,7,5.0
0,860.0,272.0,0,12,报,据央视新闻报道,5,7,4.0
0,900.0,272.0,0,13,道,据央视新闻报道,6,7,4.0
0,940.0,272.0,0,14,，,，,-1,1,0.0
0,980.0,272.0,0,15,总,总台记者目击,0,6,4.0
0,1020.0,272.0,0,16,台,总台记者目击,1,6,4.0
0,1060.0,272.0,0,17,记,总台记者目击,2,6,4.0
0,1100.0,272.0,0,18,者,总台记者目击,3,6,4.0
0,1140.0,272.0,0,19,目,总台记者目击,4,6,3.0
0,1180.0,272.0,0,20,击,总台记者目击,5,6,3.0
0,1220.0,272.0,0,21,，,，,-1,1,0.0
0,1260.0,272.0,0,22,天,天津市位于南开区,0,8,3.0
0,1300.0,272.0,0,23,津,天津市位于南开区,1,8,3.0
0,1340.0,272.0,0,24,市,天津市位于南开区,2,8,3.0
0,1380.0,272.0,0,25,位,天津市位于南开区,3,8,3.0
0,1420.0,272.0,0,26,于,天津市位于南开区,4,8,3.0
0,1460.0,272.0,0,27,南,天津市位于南开区,5,8,4.0
0,1500.0,272.0,0,28,开,天津市位于南开区,6,8,4.0
0,1540.0,272.0,0,29,区,天津市位于南开区,7,8,4.0
0,380.0,336.0,1,0,南,南京路与万德庄南北街交口处的一栋大厦发生火情,0,22,7.0
0,420.0,336.0,1,1,京,南京路与万德庄南北街交口处的一栋大厦发生火情,1,22,7.0
0,460.0,336.0,1,2,路,南京路与万德庄南北街交口处的一栋大厦发生火情,2,22,7.0
0,500.0,336.0,1,3,与,南京路与万德庄南北街交口处的一栋大厦发生火情,3,22,6.0
0,540.0,336.0,1,4,万,南京路与万德庄南北街交口处的一栋大厦发生火情,4,22,7.0
0,580.0,336.0,1,5,德,南京路与万德庄南北街交口处的一栋大厦发生火情,5,22,7.0
0,620.0,336.0,1,6,庄,南京路与万德庄南北街交口处的一栋大厦发生火情,6,22,7.0
0,660.0,336.0,1,7,南,南京路与万德庄南北街交口处的一栋大厦发生火情,7,22,7.0
0,700.0,336.0,1,8,北,南京路与万德庄南北街交口处的一栋大厦发生火情,8,22,7.0
0,740.0,336.0,1,9,街,南京路与万德庄南北街交口处的一栋大厦发生火情,9,22,7.0
0,780.0,336.0,1,10,交,南京路与万德庄南北街交口处的一栋大厦发生火情,10,22,6.0
0,820.0,336.0,1,11,口,南京路与万德庄南北街交口处的一栋大厦发生火情,11,22,6.0
0,860.0,336.0,1,12,处,南京路与万德庄南北街交口处的一栋大厦发生火情,12,22,6.0
0,900.0,336.0,1,13,的,南京路与万德庄南北街交口处的一栋大厦发生火情,13,22,4.0
0,940.0,336.0,1,14,一,南京路与万德庄南北街交口处的一栋大厦发生火情,14,22,4.0
0,980.0,336.0,1,15,栋,南京路与万德庄南北街交口处的一栋大厦发生火情,15,22,5.0
0,1020.0,336.0,1,16,大,南京路与万德庄南北街交口处的一栋大厦发生火情,16,22,4.0
0,1060.0,336.0,1,17,厦,南京路与万德庄南北街交口处的一栋大厦发生火情,17,22,4.0
0,1100.0,336.0,1,18,发,南京路与万德庄南北街交口处的一栋大厦发生火情,18,22,3.0
0,1140.0,336.0,1,19,生,南京路与万德庄南北街交口处的一栋大厦发生火情,19,22,3.0
0,1180.0,336.0,1,20,火,南京路与万德庄南北街交口处的一栋大厦发生火情,20,22,4.0
0,1220.0,336.0,1,21,情,南京路与万德庄南北街交口处的一栋大厦发生火情,21,22,4.0
0,1260.0,336.0,1,22,，,，,-1,1,0.0
0,1300.0,336.0,1,23,目,目前从大楼的一,0,7,3.0
0,1340.0,336.0,1,24,前,目前从大楼的一,1,7,3.0
0,1380.0,336.0,1,25,从,目前从大楼的一,2,7,2.0
0,1420.0,336.0,1,26,大,目前从大楼的一,3,7,4.0
0,1460.0,336.0,1,27,楼,目前从大楼的一,4,7,4.0
0,1500.0,336.0,1,28,的,目前从大楼的一,5,7,3.0
0,1540.0,336.0,1,29,一,目前从大楼的一,6,7,3.0
0,380.0,400.0,2,0,侧,侧外立面到顶楼均可见明火,0,12,4.0
0,420.0,400.0,2,1,外,侧外立面到顶楼均可见明火,1,12,4.0
0,460.0,400.0,2,2,立,侧外立面到顶楼均可见明火,2,12,4.0
0,500.0,400.0,2,3,面,侧外立面到顶楼均可见明火,3,12,4.0
0,540.0,400.0,2,4,到,侧外立面到顶楼均可见明火,4,12,3.0
0,580.0,400.0,2,5,顶,侧外立面到顶楼均可见明火,5,12,4.0
0,620.0,400.0,2,6,楼,侧外立面到顶楼均可见明火,6,12,4.0
0,660.0,400.0,2,7,均,侧外立面到顶楼均可见明火,7,12,4.0
0,700.0,400.0,2,8,可,侧外立面到顶楼均可见明火,8,12,4.0
0,740.0,400.0,2,9,见,侧外立面到顶楼均可见明火,9,12,4.0
0,780.0,400.0,2,10,明,侧外立面到顶楼均可见明火,10,12,5.0
0,820.0,400.0,2,11,火,侧外立面到顶楼均可见明火,11,12,5.0
0,860.0,400.0,2,12,，,，,-1,1,0.0
0,900.0,400.0,2,13,消,消防部门正在全力进行灭火工作,0,14,3.0
0,940.0,400.0,2,14,防,消防部门正在全力进行灭火工作,1,14,3.0
0,980.0,400.0,2,15,部,消防部门正在全力进行灭火工作,2,14,3.0
0,1020.0,400.0,2,16,门,消防部门正在全力进行灭火工作,3,14,3.0
0,1060.0,400.0,2,17,正,消防部门正在全力进行灭火工作,4,14,4.0
0,1100.0,400.0,2,18,在,消防部门正在全力进行灭火工作,5,14,4.0
0,1140.0,400.0,2,19,全,消防部门正在全力进行灭火工作,6,14,4.0
0,1180.0,400.0,2,20,力,消防部门正在全力进行灭火工作,7,14,4.0
0,1220.0,400.0,2,21,进,消防部门正在全力进行灭火工作,8,14,4.0
0,1260.0,400.0,2,22,行,消防部门正在全力进行灭火工作,9,14,4.0
0,1300.0,400.0,2,23,灭,消防部门正在全力进行灭火工作,10,14,5.0
0,1340.0,400.0,2,24,火,消防部门正在全力进行灭火工作,11,14,5.0
0,1380.0,400.0,2,25,工,消防部门正在全力进行灭火工作,12,14,5.0
0,1420.0,400.0,2,26,作,消防部门正在全力进行灭火工作,13,14,5.0
0,1460.0,400.0,2,27,。,。,-1,1,0.0
0,380.0,464.0,3,0,  ,  ,-1,1,0.0
0,420.0,464.0,3,1,  ,  ,-1,1,0.0
0,460.0,464.0,3,2,据,据现场视频显示,0,7,2.0
0,500.0,464.0,3,3,现,据现场视频显示,1,7,4.0
0,540.0,464.0,3,4,场,据现场视频显示,2,7,4.0
0,580.0,464.0,3,5,视,据现场视频显示,3,7,4.0
0,620.0,464.0,3,6,频,据现场视频显示,4,7,4.0
0,660.0,464.0,3,7,显,据现场视频显示,5,7,4.0
