tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
    ,"[[0, 1]]",[0],0,passage_start,0,11,"[""<SOR>""]","[""\u5357\u901a\u5e02"", ""\u5d07\u5ddd\u533a"", ""\u89c2\u9633\u540d\u90b8\u5c0f\u533a""]","""<SOP>"""
南通市,"[[2, 3, 4]]",[0],0,middle,1,10,"[""<SOR>"", ""    ""]","[""\u5d07\u5ddd\u533a"", ""\u89c2\u9633\u540d\u90b8\u5c0f\u533a"", ""\u7684""]","""<SOP>    """
崇川区,"[[5, 6, 7]]",[0],0,middle,2,9,"[""<SOR>"", ""    "", ""\u5357\u901a\u5e02""]","[""\u89c2\u9633\u540d\u90b8\u5c0f\u533a"", ""\u7684"", ""\u4e00""]","""<SOP>    \u5357\u901a\u5e02"""
观阳名邸小区,"[[8, 9, 10, 11, 12, 13]]",[0],0,middle,3,8,"[""    "", ""\u5357\u901a\u5e02"", ""\u5d07\u5ddd\u533a""]","[""\u7684"", ""\u4e00"", ""\u5c45\u6c11\u697c""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a"""
的,[[14]],[0],0,middle,4,7,"[""\u5357\u901a\u5e02"", ""\u5d07\u5ddd\u533a"", ""\u89c2\u9633\u540d\u90b8\u5c0f\u533a""]","[""\u4e00"", ""\u5c45\u6c11\u697c"", ""\u7a81\u7136\u53d1\u751f""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a"""
一,[[15]],[0],0,middle,5,6,"[""\u5d07\u5ddd\u533a"", ""\u89c2\u9633\u540d\u90b8\u5c0f\u533a"", ""\u7684""]","[""\u5c45\u6c11\u697c"", ""\u7a81\u7136\u53d1\u751f"", ""\u706b\u707e""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684"""
居民楼,"[[16, 17, 18]]",[0],0,middle,6,5,"[""\u89c2\u9633\u540d\u90b8\u5c0f\u533a"", ""\u7684"", ""\u4e00""]","[""\u7a81\u7136\u53d1\u751f"", ""\u706b\u707e"", ""\u3002""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00"""
突然发生,"[[19, 20, 21, 22]]",[0],0,middle,7,4,"[""\u7684"", ""\u4e00"", ""\u5c45\u6c11\u697c""]","[""\u706b\u707e"", ""\u3002"", ""\u706b\u52bf""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c"""
火灾,"[[23, 24]]",[0],0,middle,8,3,"[""\u4e00"", ""\u5c45\u6c11\u697c"", ""\u7a81\u7136\u53d1\u751f""]","[""\u3002"", ""\u706b\u52bf"", ""\u8fc5\u901f""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f"""
。,[[25]],[0],0,middle,9,2,"[""\u5c45\u6c11\u697c"", ""\u7a81\u7136\u53d1\u751f"", ""\u706b\u707e""]","[""\u706b\u52bf"", ""\u8fc5\u901f"", ""<EOR>""]","""<SOP>    \u5357\u901a\u5e02\u5d07\u5ddd\u533a\u89c2\u9633\u540d\u90b8\u5c0f\u533a\u7684\u4e00\u5c45\u6c11\u697c\u7a81\u7136\u53d1\u751f\u706b\u707e"""
