tokens,text_unit_component,row,split,row_position,start_dist,end_dist,backward,forward,anterior_passage
【,[[0]],[0],0,passage_start,0,11,"[""<SOR>""]","[""\u5728"", ""\u8944\u9633"", ""\u88ab""]","""<SOP>"""
在,[[1]],[0],0,middle,1,10,"[""<SOR>"", ""\u3010""]","[""\u8944\u9633"", ""\u88ab"", ""2""]","""<SOP>\u3010"""
襄阳,"[[2, 3]]",[0],0,middle,2,9,"[""<SOR>"", ""\u3010"", ""\u5728""]","[""\u88ab"", ""2"", ""\u5757""]","""<SOP>\u3010\u5728"""
被,[[4]],[0],0,middle,3,8,"[""\u3010"", ""\u5728"", ""\u8944\u9633""]","[""2"", ""\u5757"", ""\u94b1""]","""<SOP>\u3010\u5728\u8944\u9633"""
2,[[5]],[0],0,middle,4,7,"[""\u5728"", ""\u8944\u9633"", ""\u88ab""]","[""\u5757"", ""\u94b1"", ""\u7684""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab"""
块,[[6]],[0],0,middle,5,6,"[""\u8944\u9633"", ""\u88ab"", ""2""]","[""\u94b1"", ""\u7684"", ""\u9ec4\u9152""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2"""
钱,[[7]],[0],0,middle,6,5,"[""\u88ab"", ""2"", ""\u5757""]","[""\u7684"", ""\u9ec4\u9152"", ""\u5e72\u5012""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757"""
的,[[8]],[0],0,middle,7,4,"[""2"", ""\u5757"", ""\u94b1""]","[""\u9ec4\u9152"", ""\u5e72\u5012"", ""\u4e86""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1"""
黄酒,"[[9, 10]]",[0],0,middle,8,3,"[""\u5757"", ""\u94b1"", ""\u7684""]","[""\u5e72\u5012"", ""\u4e86"", ""\u3011""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684"""
干倒,"[[11, 12]]",[0],0,middle,9,2,"[""\u94b1"", ""\u7684"", ""\u9ec4\u9152""]","[""\u4e86"", ""\u3011"", ""<EOR>""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152"""
了,[[13]],[0],0,middle,10,1,"[""\u7684"", ""\u9ec4\u9152"", ""\u5e72\u5012""]","[""\u3011"", ""<EOR>""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012"""
】,[[14]],[0],0,row_end,11,0,"[""\u9ec4\u9152"", ""\u5e72\u5012"", ""\u4e86""]","[""<EOR>""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012\u4e86"""
    ,"[[0, 1]]",[1],0,row_start,0,5,"[""<SOR>""]","[""\u8944\u9633"", ""\u8001\u54e5"", ""\u7684""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012\u4e86\u3011"""
襄阳,"[[2, 3]]",[1],0,middle,1,4,"[""<SOR>"", ""    ""]","[""\u8001\u54e5"", ""\u7684"", ""craft_rice_wine""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012\u4e86\u3011    """
老哥,"[[4, 5]]",[1],0,middle,2,3,"[""<SOR>"", ""    "", ""\u8944\u9633""]","[""\u7684"", ""craft_rice_wine"", ""\u3002""]","""<SOP>\u3010\u5728\u8944\u9633\u88ab2\u5757\u94b1\u7684\u9ec4\u9152\u5e72\u5012\u4e86\u3011    \u8944\u9633"""
